,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput
0,CN10,16G,1,1,728.0,956.0,1365.0,2133.0,1298.0,1479.0,1449.04,1520.2
1,CN10,16G,1,2,733.0,904.0,1103.0,1950.0,1261.0,1518.0,1465.31,1536.8
2,CN10,16G,1,4,748.0,901.0,1102.0,1834.0,1208.0,1536.0,1453.07,1523.8
3,CN10,16G,1,8,741.0,876.0,1080.0,6111.0,1293.0,1539.0,1463.29,1535.0
4,CN10,16G,1,12,740.0,873.0,1112.0,1896.0,1306.0,1520.0,1455.43,1526.0
5,CN10,16G,1,24,742.0,863.0,1105.0,1892.0,1332.0,1531.0,1462.08,1533.2
6,CN10,16G,2,1,779.0,894.0,1519.0,2607.0,1308.0,1475.0,1400.2,2921.6
7,CN10,16G,2,2,769.0,846.0,1072.0,1686.0,1274.0,1520.0,1438.73,3005.2
8,CN10,16G,2,4,805.0,876.0,1073.0,1712.0,1208.0,1476.0,1382.12,2874.8
9,CN10,16G,2,8,795.0,891.0,1103.0,1794.0,1259.0,1526.0,1408.08,2950.0
10,CN10,16G,2,12,791.0,863.0,1088.0,2437.0,1294.0,1498.0,1409.56,2954.8
11,CN10,16G,2,24,792.0,874.0,1105.0,2545.0,1259.0,1501.0,1407.83,2951.6
12,CN10,16G,4,1,1643.0,3739.0,6586.0,11810.0,732.0,1518.0,1165.23,4217.6
13,CN10,16G,4,2,1222.0,3768.0,7373.0,22453.0,830.0,1519.0,1226.5,5087.6
14,CN10,16G,4,4,1335.0,4617.0,8834.0,13461.0,850.0,1476.0,1154.07,4704.4
15,CN10,16G,4,8,1159.0,3552.0,9837.0,13986.0,829.0,1438.0,1187.61,4897.8
16,CN10,16G,4,12,1145.0,1581.0,2052.0,4709.0,919.0,1413.0,1264.59,5222.0
17,CN10,16G,4,24,1126.0,1558.0,2038.0,6239.0,887.0,1420.0,1263.97,5196.8
