,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write,pm2_nvme0_io,pm2_nvme1_io,pm2_nvme2_io,pm2_nvme3_io,pm2_nvme0_write,pm2_nvme1_write,pm2_nvme2_write,pm2_nvme3_write
0,CN9,4G,1,1,892.0,1064.0,1319.0,5089.0,1266.0,1478.0,1399.4,1476.4,2635.92,3425.29,3448.14,2604.04,305.04,397.28,398.47,300.96,3253.18,3209.8,2394.97,2399.8,376.32,374.93,278.51,278.4
1,CN9,4G,1,2,858.0,1042.0,1230.0,14660.0,1262.0,1435.0,1378.39,1452.6,3540.65,2378.52,2466.03,3544.81,392.5,260.24,270.31,397.13,2691.25,2299.96,2732.16,3303.15,306.71,250.04,306.37,365.87
2,CN9,4G,1,4,884.0,1045.0,1467.0,7306.0,1227.0,1456.0,1371.61,1444.4,3210.78,3472.82,3162.39,2840.46,352.9,381.13,346.59,312.34,2960.5,3266.23,2976.71,2640.39,323.73,358.98,324.49,288.8
3,CN9,4G,1,8,853.0,1040.0,1719.0,6865.0,1284.0,1464.0,1386.76,1463.4,3022.24,3009.43,2944.55,2969.99,331.9,325.77,326.4,326.28,2798.5,2823.78,2811.27,2802.93,305.86,307.12,305.6,306.2
4,CN9,4G,1,12,877.0,1051.0,1666.0,3162.0,1286.0,1438.0,1380.36,1451.0,3210.53,3209.68,3181.64,3157.37,352.49,348.18,347.33,345.89,3105.01,3090.45,2817.35,2801.72,338.7,338.0,307.42,305.63
5,CN9,4G,1,24,904.0,1103.0,1725.0,2058.0,1255.0,1436.0,1356.16,1426.6,2921.91,2860.83,2854.57,2899.18,319.22,313.22,313.04,313.29,2731.8,2679.28,2723.49,2714.06,292.41,293.3,293.49,293.23
6,CN9,4G,2,1,833.0,1017.0,1421.0,2255.0,1302.0,1444.0,1388.69,2897.4,5644.88,5627.3,5666.3,5735.74,656.8,650.78,649.18,653.35,5377.91,5403.82,5447.87,5399.73,631.92,627.17,630.72,628.56
7,CN9,4G,2,2,854.0,1027.0,1578.0,29339.0,1276.0,1456.0,1383.19,2864.2,5652.93,5235.18,4737.58,5255.42,673.44,610.3,548.06,609.02,5429.83,5034.21,4597.58,4950.88,648.38,590.93,531.1,589.57
8,CN9,4G,2,4,914.0,1122.0,1598.0,1953.0,1278.0,1435.0,1383.92,2883.0,5549.01,6022.71,5981.13,5550.47,641.45,704.88,701.27,638.13,5339.16,5813.77,5764.76,5300.5,615.0,683.65,679.87,612.88
9,CN9,4G,2,8,986.0,1214.0,1676.0,2386.0,1252.0,1355.0,1314.8,2740.4,5588.19,5568.41,5477.56,5628.1,654.65,635.29,634.02,652.66,5500.21,5537.04,5338.62,5408.96,646.03,648.13,628.5,630.45
