,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm2_nvme0_io,pm2_nvme1_io,pm2_nvme2_io,pm2_nvme3_io,pm3_nvme0_io,pm3_nvme1_io,pm3_nvme2_io,pm3_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write,pm2_nvme0_write,pm2_nvme1_write,pm2_nvme2_write,pm2_nvme3_write,pm3_nvme0_write,pm3_nvme1_write,pm3_nvme2_write,pm3_nvme3_write
0,CN10,4G,1,1,874.0,1067.0,1660.0,6455.0,1262.0,1501.0,1414.0,1490.4,1456.7,2412.75,2215.87,2253.17,1208.65,2234.16,2044.65,1207.64,2174.48,2157.1,1988.96,1209.3,170.44,283.0,263.35,263.13,142.21,259.05,239.32,142.94,256.7,255.32,235.84,140.25
1,CN10,4G,1,2,858.0,1039.0,1266.0,7668.0,1260.0,1487.0,1407.68,1488.2,2503.03,1939.32,1957.42,2028.83,2299.14,1856.17,1749.15,2385.27,1707.47,1735.5,1763.9,2416.73,276.16,214.2,214.92,222.78,251.49,202.64,190.77,260.84,187.12,188.95,190.25,258.28
2,CN10,4G,1,4,852.0,1040.0,1581.0,14718.0,1287.0,1506.0,1412.88,1489.2,2143.44,1859.93,2121.9,1858.9,1916.95,1928.9,2010.73,1715.12,1896.05,1929.07,1685.42,1891.87,237.11,202.96,233.07,204.85,209.57,211.48,219.03,185.34,207.87,208.17,182.42,206.54
3,CN10,4G,1,8,840.0,1031.0,1842.0,14950.0,1327.0,1485.0,1411.96,1488.4,2200.76,2071.42,2071.92,2146.59,1856.98,1705.46,1839.18,1985.55,1774.54,1757.68,1913.08,1935.37,242.37,225.51,224.67,236.74,201.91,186.43,199.84,214.1,192.99,193.0,206.9,209.11
4,CN10,4G,1,12,861.0,1050.0,1745.0,1909.0,1276.0,1476.0,1403.44,1480.0,2247.46,2198.9,2186.85,2190.99,1975.37,1974.2,1977.61,1998.27,1970.01,1951.56,1950.7,2001.08,245.86,240.42,240.66,240.74,217.32,219.08,216.3,217.35,215.2,213.03,213.52,216.01
5,CN10,4G,1,24,840.0,1044.0,1751.0,1979.0,1304.0,1484.0,1412.2,1489.8,2154.48,2110.18,2129.55,2113.82,1941.77,1895.91,1911.07,1936.51,1786.99,1809.15,1796.26,1811.88,237.02,232.52,233.28,232.49,210.8,209.94,209.34,210.16,196.0,195.78,196.43,197.4
6,CN10,4G,2,1,810.0,997.0,1519.0,3675.0,1306.0,1484.0,1401.79,2920.0,3504.52,3238.72,4396.91,3409.67,3106.96,3096.96,4222.91,3219.36,2991.56,4094.37,4210.27,3201.3,402.9,377.11,516.08,398.68,358.14,357.62,494.78,376.79,354.19,489.6,492.33,375.03
7,CN10,4G,2,2,817.0,976.0,1198.0,25295.0,1249.0,1461.0,1379.25,2878.8,4130.43,4165.66,3544.26,3861.12,3927.38,4001.04,3342.85,3855.87,3900.69,3361.01,3241.68,3656.54,463.24,476.84,399.84,448.33,444.96,454.08,376.6,434.67,444.7,387.12,365.48,415.31
8,CN10,4G,2,4,797.0,953.0,1457.0,25569.0,1263.0,1495.0,1406.71,2923.8,3989.94,4218.35,3955.4,3919.09,4318.31,4007.45,3796.8,3728.98,3887.23,3332.25,3605.56,3547.39,439.74,463.9,436.62,431.76,472.07,439.0,415.53,410.72,426.15,363.97,396.17,391.96
9,CN10,4G,2,8,822.0,982.0,1709.0,8100.0,1256.0,1448.0,1377.7,2873.8,4147.06,3974.46,3934.15,3912.23,3904.35,3778.34,3837.71,3870.75,3761.61,3780.82,3765.58,3749.81,456.03,434.8,431.03,429.0,427.62,410.5,422.11,423.88,409.73,410.07,409.17,410.22
10,CN10,4G,2,12,842.0,994.0,1729.0,2921.0,1258.0,1415.0,1356.62,2831.2,4298.68,4211.4,4241.57,3992.29,3978.77,4077.39,3985.92,3997.47,3921.39,3864.94,4097.08,3844.97,465.94,460.45,458.97,437.0,432.17,439.15,434.54,435.83,421.52,421.13,443.0,421.8
11,CN10,4G,2,24,822.0,1008.0,2450.0,5357.0,1232.0,1458.0,1372.52,2865.6,4337.23,4268.3,4225.31,4220.62,4048.97,4023.57,4029.28,4014.66,3666.02,3634.64,3723.18,3651.42,464.69,456.36,453.99,455.85,434.15,434.52,432.92,434.3,392.65,391.48,393.52,392.65
12,CN10,4G,4,1,1650.0,4535.0,9227.0,17000.0,597.0,1484.0,1135.01,4105.4,6601.27,6548.92,6554.12,5735.65,6204.71,6224.94,5388.59,5378.33,5853.41,5635.51,4962.97,5966.57,777.57,759.33,760.19,655.41,724.81,721.58,622.68,622.54,683.7,661.9,572.17,689.44
13,CN10,4G,4,2,795.0,990.0,2366.0,10250.0,1221.0,1480.0,1405.39,5779.6,6661.56,6868.34,6807.52,7261.06,6450.03,6609.65,6991.09,7257.33,5878.69,5818.43,6227.95,5774.16,766.43,775.82,774.95,837.28,737.31,742.49,796.5,805.65,685.22,669.75,741.95,674.55
14,CN10,4G,4,4,1582.0,4245.0,9359.0,24917.0,904.0,1424.0,1188.19,4716.6,7130.31,7398.05,7419.54,7298.87,6655.51,7017.87,7024.95,7034.93,6149.48,6336.89,6322.58,5946.36,816.37,843.19,838.49,823.72,769.02,809.65,788.48,787.22,710.28,738.57,742.75,704.88
15,CN10,4G,4,8,912.0,2163.0,8230.0,11942.0,1048.0,1447.0,1312.08,5357.0,7330.3,7579.68,7037.67,7376.33,7136.39,7151.79,6876.02,7095.99,6426.81,6424.89,6276.66,6408.36,840.76,852.64,815.37,848.31,809.36,809.09,774.6,793.72,758.59,744.62,742.31,757.5
16,CN10,4G,4,12,913.0,1103.0,1994.0,4853.0,1207.0,1414.0,1346.47,5527.0,7204.12,7136.82,7186.65,7107.81,6935.48,6967.26,6938.98,7030.76,6014.62,6001.25,6050.66,6042.14,818.44,812.01,824.55,812.79,789.74,789.14,780.53,794.6,709.14,706.99,708.99,707.39
17,CN10,4G,4,24,925.0,1230.0,2931.0,6616.0,1177.0,1405.0,1333.46,5431.4,8127.99,8136.6,7962.86,8122.74,7569.11,7566.93,7671.35,7620.38,6756.56,6799.23,6702.52,6772.65,921.29,931.76,924.95,930.71,866.82,862.71,868.63,863.73,787.23,792.84,782.48,789.44
18,CN10,4G,8,1,6272.0,13461.0,19792.0,37644.0,258.0,1485.0,591.23,4185.6,8314.11,7785.69,7820.48,7853.91,7993.53,7605.77,7473.14,8047.54,7072.88,7096.43,6972.8,7631.97,978.73,898.27,904.32,904.18,936.82,873.79,875.09,940.41,827.16,828.61,827.69,892.72
19,CN10,4G,8,2,6704.0,15532.0,22885.0,29282.0,191.0,1465.0,589.02,4031.8,7656.55,8029.82,7862.55,7908.34,7563.49,7827.44,7732.01,7522.45,7471.07,7448.87,7507.47,7232.13,888.03,916.6,913.42,916.89,860.66,890.05,891.23,860.09,875.96,871.35,877.36,844.42
20,CN10,4G,8,4,7753.0,19648.0,28023.0,35154.0,196.0,1459.0,601.17,4240.0,8147.43,8146.88,8252.11,8317.87,7877.83,8044.07,8231.69,8078.91,7556.79,7640.52,7687.57,7489.84,932.99,934.06,944.44,950.39,905.32,908.96,926.37,908.53,886.71,891.26,906.73,886.14
21,CN10,4G,8,8,7347.0,20382.0,27709.0,32296.0,277.0,1430.0,629.96,4776.8,8673.1,8540.85,8664.0,8807.15,8680.63,8716.36,8886.35,8865.49,8344.67,8279.52,8240.95,8074.83,1007.44,994.37,1008.89,1007.83,992.97,985.26,1013.53,1000.35,971.19,978.55,962.1,951.33
22,CN10,4G,8,12,3632.0,25664.0,33712.0,39558.0,281.0,1435.0,635.65,4931.0,8982.86,8967.26,8864.46,9043.41,9113.21,9175.4,9049.62,9163.69,8350.3,8630.81,8354.68,8303.86,1030.63,1038.77,1026.95,1034.53,1034.22,1029.32,1024.76,1031.04,980.06,1011.04,978.86,983.5
23,CN10,4G,8,24,2728.0,24458.0,32008.0,37906.0,319.0,1418.0,669.41,5350.2,9156.84,9029.63,8941.55,9055.28,8915.3,8955.31,8739.69,8884.07,8483.34,8470.19,8509.53,8455.42,1050.6,1042.7,1038.64,1041.26,1025.16,1023.35,1022.59,1018.84,997.21,993.02,999.93,1000.48
24,CN10,4G,16,1,16319.0,25822.0,33162.0,44303.0,111.0,1436.0,288.17,3892.0,7884.05,9155.5,8119.38,7939.39,8105.22,9063.44,7586.93,7874.38,9294.95,8830.1,7598.63,7709.99,907.54,1084.21,909.99,907.41,902.63,1078.14,899.07,901.26,1069.28,1073.63,897.06,898.26
