,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,PM1,4G,1,1,938.0,1309.0,1904.0,3560.0,1191.0,1268.0,1246.37,1304.2,5680.68,240.26,239.93,239.0,619.95,27.63,27.63,27.48
1,PM1,4G,1,2,1172.0,1771.0,2690.0,3559.0,1163.0,1221.0,1200.43,1257.2,5715.32,240.24,239.91,238.98,622.28,27.63,27.63,27.48
2,PM1,4G,1,4,1126.0,1627.0,2795.0,3644.0,1171.0,1239.0,1216.2,1273.8,5727.94,240.22,239.89,238.96,622.58,27.63,27.63,27.48
3,PM1,4G,1,8,1099.0,1699.0,2710.0,4650.0,1173.0,1236.0,1214.73,1272.4,6279.75,264.22,263.86,262.84,681.61,30.39,30.39,30.23
4,PM1,4G,1,16,1065.0,1588.0,2540.0,3483.0,1174.0,1240.0,1219.27,1276.8,6170.88,256.19,255.84,254.85,664.46,29.46,29.46,29.31
5,PM1,4G,1,32,1086.0,1555.0,2364.0,3461.0,1152.0,1240.0,1215.9,1272.4,6029.53,248.17,247.83,246.87,642.7,28.54,28.54,28.39
6,PM1,4G,1,64,1012.0,1434.0,2195.0,3274.0,1144.0,1249.0,1221.64,1278.8,6533.89,264.16,263.8,262.77,687.28,30.38,30.38,30.22
7,PM1,4G,2,1,1136.0,2024.0,11364.0,141191.0,1562.0,2485.0,2177.43,2280.8,9878.12,240.13,239.8,238.87,1204.88,27.62,27.62,27.47
8,PM1,4G,2,2,995.0,1855.0,23419.0,138609.0,1792.0,2544.0,2234.35,2347.4,9814.75,240.11,239.78,238.85,1199.16,27.62,27.62,27.47
9,PM1,4G,2,4,1119.0,1979.0,21266.0,62377.0,1834.0,2536.0,2219.13,2312.8,9707.4,240.09,239.76,238.83,1187.28,27.61,27.61,27.46
10,PM1,4G,2,8,1087.0,1933.0,32840.0,90518.0,1736.0,2482.0,2135.21,2245.6,9505.78,240.07,239.74,238.81,1157.2,27.61,27.61,27.46
11,PM1,4G,2,16,1136.0,1892.0,16928.0,29701.0,2005.0,2464.0,2224.4,2317.6,9905.23,240.05,239.72,238.79,1201.64,27.61,27.61,27.46
12,PM1,4G,2,32,1100.0,1781.0,8490.0,38666.0,1982.0,2466.0,2243.72,2352.6,9911.4,240.03,239.7,238.77,1202.66,27.61,27.61,27.46
13,PM1,4G,2,64,1313.0,2428.0,19156.0,77280.0,1630.0,2354.0,2083.87,2161.4,9961.23,240.0,239.68,238.75,1185.82,27.6,27.6,27.45
14,PM1,4G,4,1,2448.0,5446.0,64697.0,215875.0,1499.0,4156.0,2492.56,2625.2,12853.47,175.45,175.21,174.54,1587.8,20.18,20.18,20.07
15,PM1,4G,4,2,2435.0,5564.0,60752.0,266548.0,1481.0,4131.0,2546.51,2633.8,12940.51,175.44,175.19,174.52,1596.86,20.18,20.18,20.07
16,PM1,4G,4,4,2481.0,5364.0,67397.0,168218.0,1632.0,4094.0,2502.1,2621.8,12982.09,176.1,175.86,175.17,1601.28,20.25,20.25,20.15
17,PM1,4G,4,8,2480.0,5197.0,21522.0,64068.0,1648.0,4536.0,2613.2,2755.4,13384.76,167.93,167.7,167.05,1655.65,19.31,19.32,19.21
18,PM1,4G,4,16,2500.0,5328.0,22689.0,50279.0,1673.0,4519.0,2608.33,2754.6,13306.46,179.11,178.87,178.17,1645.19,20.6,20.6,20.49
19,PM1,4G,4,32,2546.0,6075.0,44342.0,151257.0,1677.0,4007.0,2521.77,2624.6,13174.16,175.36,175.12,174.44,1622.29,20.17,20.17,20.06
20,PM1,4G,4,64,2566.0,5813.0,32087.0,197001.0,1659.0,3871.0,2562.55,2625.6,13171.74,171.61,171.38,170.71,1613.85,19.74,19.74,19.63
21,PM1,4G,8,1,5905.0,15729.0,133746.0,596483.0,1136.0,4500.0,2206.31,2279.8,14161.73,91.39,91.26,90.91,1748.7,10.51,10.51,10.46
22,PM1,4G,8,2,5643.0,14562.0,81842.0,296118.0,1190.0,3844.0,2243.84,2360.4,14475.65,93.24,93.11,92.75,1788.24,10.72,10.72,10.67
23,PM1,4G,8,4,5853.0,15755.0,134270.0,560464.0,1085.0,4325.0,2237.18,2319.0,14401.45,91.48,91.35,91.0,1775.98,10.52,10.52,10.46
24,PM1,4G,8,8,5866.0,15244.0,57986.0,143812.0,1455.0,4987.0,2299.78,2412.4,14725.79,94.31,94.18,93.81,1822.22,10.85,10.85,10.79
25,PM1,4G,8,16,6364.0,16017.0,76546.0,305765.0,1232.0,4736.0,2276.48,2368.4,14666.82,94.41,94.28,93.91,1809.0,10.86,10.86,10.8
26,PM1,4G,8,32,5971.0,14523.0,129657.0,628307.0,804.0,4387.0,2212.7,2312.2,14460.33,90.34,90.21,89.86,1769.98,10.39,10.39,10.33
27,PM1,4G,8,64,7062.0,17105.0,137888.0,729023.0,794.0,4181.0,2094.26,2153.75,13900.16,86.28,86.17,85.83,1675.39,9.92,9.92,9.87
28,PM1,4G,16,1,11250.0,31807.0,129674.0,254280.0,1056.0,4478.0,2110.98,2220.33,15242.54,48.84,48.78,48.59,1884.72,5.62,5.62,5.59
29,PM1,4G,16,2,10857.0,30365.0,80216.0,108528.0,1284.0,4729.0,2163.4,2267.67,15507.7,49.3,49.23,49.04,1919.75,5.67,5.67,5.64
30,PM1,4G,16,4,11338.0,31877.0,313839.0,1303066.0,605.0,4154.0,2092.62,2128.0,14747.43,46.84,46.78,46.6,1819.49,5.39,5.39,5.36
31,PM1,4G,16,8,11644.0,30758.0,175636.0,852493.0,1092.0,3921.0,2086.64,2157.67,14989.49,47.47,47.41,47.22,1845.36,5.46,5.46,5.43
32,PM1,4G,16,16,13566.0,31510.0,207618.0,335859.0,1130.0,4104.0,2080.19,2168.0,15038.85,47.34,47.28,47.09,1845.61,5.44,5.44,5.41
33,PM1,4G,16,32,13514.0,33712.0,185074.0,952422.0,744.0,4215.0,2041.31,2109.0,14909.07,46.41,46.35,46.17,1807.61,5.34,5.34,5.31
34,PM1,4G,16,64,14353.0,31239.0,151345.0,730857.0,1122.0,3778.0,2048.73,2113.0,15207.98,46.97,46.91,46.72,1817.28,5.4,5.4,5.37
