,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,4G,1,1,869.0,1048.0,1227.0,3152.0,1296.0,1485.0,1414.84,1491.2,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
1,CN7,4G,1,2,882.0,1071.0,1368.0,1925.0,1316.0,1476.0,1410.64,1490.2,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
2,CN7,4G,1,4,871.0,1054.0,1575.0,1943.0,1302.0,1485.0,1411.44,1488.4,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
3,CN7,4G,1,8,871.0,1065.0,1794.0,2079.0,1313.0,1496.0,1412.84,1489.4,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
4,CN7,4G,1,16,853.0,1072.0,1768.0,1942.0,1326.0,1473.0,1407.8,1487.4,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
5,CN7,4G,1,32,820.0,1143.0,1774.0,2006.0,1294.0,1492.0,1418.92,1494.0,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
6,CN7,4G,1,64,865.0,1349.0,1801.0,2815.0,1308.0,1473.0,1394.88,1472.2,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
7,CN7,8G,1,1,773.0,1004.0,1339.0,2083.0,1328.0,1490.0,1447.82,1519.2,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
8,CN7,8G,1,2,769.0,1007.0,1489.0,2181.0,1310.0,1491.0,1443.18,1514.2,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
9,CN7,8G,1,4,791.0,1020.0,1660.0,2202.0,1327.0,1504.0,1444.44,1515.8,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
10,CN7,8G,1,8,748.0,948.0,1643.0,2205.0,1337.0,1518.0,1463.73,1534.6,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
11,CN7,8G,1,16,768.0,995.0,1709.0,2011.0,1326.0,1494.0,1444.95,1516.6,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
12,CN7,8G,1,32,776.0,1062.0,1850.0,2284.0,1258.0,1486.0,1431.27,1501.8,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
13,CN7,8G,1,64,779.0,1149.0,1833.0,2617.0,1252.0,1478.0,1419.11,1489.4,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
14,CN7,16G,1,1,743.0,977.0,1729.0,2761.0,1311.0,1527.0,1461.27,1532.8,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
15,CN7,16G,1,2,735.0,945.0,1976.0,3464.0,1335.0,1516.0,1462.09,1533.0,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
16,CN7,16G,1,4,730.0,950.0,1725.0,2777.0,1312.0,1498.0,1460.52,1531.8,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
17,CN7,16G,1,8,730.0,956.0,1699.0,2649.0,1316.0,1492.0,1457.61,1528.6,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
18,CN7,16G,1,16,732.0,964.0,1706.0,2585.0,1306.0,1524.0,1462.49,1534.0,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
19,CN7,16G,1,32,732.0,923.0,1879.0,3307.0,1332.0,1504.0,1458.56,1529.8,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
20,CN7,16G,1,64,746.0,1019.0,1919.0,3742.0,1269.0,1480.0,1434.24,1504.2,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
21,CN7,32G,1,1,722.0,884.0,2138.0,3555.0,1295.0,1526.0,1463.87,1535.4,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
22,CN7,32G,1,2,715.0,873.0,2176.0,4217.0,1306.0,1527.0,1471.18,1543.0,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
23,CN7,32G,1,4,717.0,878.0,2065.0,3654.0,1310.0,1511.0,1465.39,1536.8,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
24,CN7,32G,1,8,713.0,846.0,2130.0,4227.0,1301.0,1519.0,1468.46,1540.0,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
25,CN7,32G,1,16,722.0,881.0,2282.0,4876.0,1323.0,1512.0,1465.7,1537.2,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
26,CN7,32G,1,32,721.0,869.0,2061.0,3424.0,1280.0,1504.0,1460.26,1531.2,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
27,CN7,32G,1,64,730.0,912.0,2073.0,3545.0,1274.0,1497.0,1444.56,1514.8,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
28,CN7,64G,1,1,809.0,928.0,1568.0,3310.0,1138.0,1512.0,1410.0,1478.8,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
29,CN7,64G,1,2,763.0,882.0,1801.0,3346.0,1194.0,1529.0,1431.36,1501.2,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
30,CN7,64G,1,4,756.0,856.0,1843.0,3919.0,1248.0,1528.0,1433.6,1503.6,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
31,CN7,64G,1,8,846.0,953.0,1956.0,3929.0,1158.0,1520.0,1413.7,1482.4,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
32,CN7,64G,1,16,835.0,921.0,2037.0,4699.0,1150.0,1521.0,1412.7,1482.0,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
33,CN7,64G,1,32,812.0,944.0,2068.0,4381.0,1120.0,1516.0,1419.55,1488.8,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
34,CN7,64G,1,64,789.0,915.0,2186.0,4509.0,1142.0,1509.0,1416.54,1485.4,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
35,CN7,128G,1,1,964.0,1078.0,1722.0,3709.0,951.0,1528.0,1357.15,1423.2,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
36,CN7,128G,1,2,846.0,982.0,1768.0,3752.0,1070.0,1534.0,1388.45,1456.0,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
37,CN7,128G,1,4,843.0,957.0,1696.0,3097.0,1076.0,1537.0,1397.94,1466.2,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
38,CN7,128G,1,8,864.0,1008.0,1735.0,3654.0,1019.0,1520.0,1389.51,1457.0,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
39,CN7,128G,1,16,838.0,953.0,1719.0,4040.0,1103.0,1516.0,1387.21,1454.6,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
40,CN7,128G,1,32,891.0,1035.0,1863.0,4093.0,1006.0,1500.0,1367.42,1433.8,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
41,CN7,128G,1,64,905.0,1019.0,1863.0,3516.0,1037.0,1500.0,1361.81,1427.8,9835.2,10210.5,9895.29,9778.03,1013.13,1011.61,1012.56,1011.82
