,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme0_write
0,CN7,4G,1,1,863.0,1062.0,1362.0,3326.0,1306.0,1494.0,1417.64,1494.0,7299.34,832.41
1,CN7,4G,1,2,843.0,1050.0,1522.0,1992.0,1312.0,1489.0,1428.56,1503.8,7262.99,832.84
2,CN7,4G,1,4,869.0,1068.0,1709.0,1969.0,1309.0,1495.0,1418.88,1496.4,7298.12,835.61
3,CN7,4G,1,8,861.0,1056.0,1752.0,2215.0,1323.0,1496.0,1424.52,1501.4,7197.43,832.23
4,CN7,4G,1,16,807.0,1030.0,1807.0,2086.0,1360.0,1485.0,1435.2,1510.2,7184.97,832.23
5,CN7,4G,1,32,828.0,1181.0,1824.0,2263.0,1320.0,1475.0,1410.28,1486.2,7339.83,834.07
6,CN7,4G,1,64,889.0,1332.0,1801.0,2097.0,1265.0,1461.0,1386.24,1463.0,7111.61,804.96
7,CN7,8G,1,1,802.0,1022.0,1597.0,2771.0,1315.0,1502.0,1449.11,1520.6,8921.43,1036.16
8,CN7,8G,1,2,773.0,1008.0,1891.0,2907.0,1337.0,1509.0,1453.64,1525.0,8711.94,1032.68
9,CN7,8G,1,4,771.0,1013.0,1879.0,2530.0,1266.0,1497.0,1448.91,1520.0,8737.6,1032.59
10,CN7,8G,1,8,766.0,1004.0,1902.0,3244.0,1309.0,1508.0,1454.4,1525.4,8667.89,1034.63
11,CN7,8G,1,16,761.0,1000.0,1837.0,3192.0,1338.0,1508.0,1453.26,1524.0,8739.38,1035.11
12,CN7,8G,1,32,765.0,1032.0,1889.0,3097.0,1311.0,1491.0,1442.2,1513.2,8742.93,1035.43
13,CN7,8G,1,64,779.0,1155.0,1820.0,3190.0,1245.0,1493.0,1430.37,1501.4,8960.78,1037.84
14,CN7,16G,1,1,735.0,974.0,1575.0,2368.0,1320.0,1509.0,1463.37,1534.8,10091.8,1180.2
15,CN7,16G,1,2,735.0,961.0,1891.0,2913.0,1318.0,1513.0,1466.32,1538.2,9917.7,1178.86
16,CN7,16G,1,4,737.0,953.0,1857.0,2951.0,1336.0,1520.0,1463.32,1534.4,9959.89,1180.89
17,CN7,16G,1,8,727.0,933.0,2025.0,3585.0,1336.0,1527.0,1468.76,1541.0,9845.95,1179.69
18,CN7,16G,1,16,730.0,930.0,2112.0,3670.0,1334.0,1522.0,1469.5,1541.4,9835.76,1179.99
19,CN7,16G,1,32,738.0,946.0,1928.0,3742.0,1305.0,1494.0,1453.98,1525.0,9993.22,1180.57
20,CN7,16G,1,64,740.0,992.0,2179.0,3985.0,1216.0,1499.0,1444.4,1515.2,9938.92,1180.82
21,CN7,32G,1,1,715.0,884.0,2277.0,4909.0,1292.0,1524.0,1472.48,1544.2,10815.71,1317.37
22,CN7,32G,1,2,721.0,866.0,2051.0,4230.0,1310.0,1507.0,1468.2,1539.8,10922.56,1318.83
23,CN7,32G,1,4,723.0,873.0,2163.0,4421.0,1277.0,1521.0,1464.1,1535.8,10924.16,1318.62
24,CN7,32G,1,8,718.0,828.0,2218.0,3985.0,1298.0,1526.0,1472.83,1544.6,10924.1,1319.26
25,CN7,32G,1,16,732.0,882.0,2197.0,3723.0,1333.0,1515.0,1458.25,1529.6,10984.51,1320.53
26,CN7,32G,1,32,728.0,884.0,1946.0,3506.0,1274.0,1508.0,1457.47,1528.8,11103.87,1324.5
27,CN7,32G,1,64,740.0,905.0,2107.0,3395.0,1263.0,1492.0,1440.77,1511.2,11110.61,1323.16
28,CN7,64G,1,1,764.0,889.0,1991.0,4230.0,1223.0,1526.0,1428.65,1498.2,11447.33,1362.84
29,CN7,64G,1,2,822.0,977.0,1973.0,3913.0,1097.0,1519.0,1410.82,1479.6,11346.64,1347.24
30,CN7,64G,1,4,892.0,1021.0,1865.0,3909.0,1031.0,1536.0,1398.6,1466.8,11366.33,1337.75
31,CN7,64G,1,8,778.0,869.0,2248.0,5230.0,1238.0,1512.0,1424.52,1494.0,11273.28,1362.17
32,CN7,64G,1,16,849.0,943.0,2123.0,4421.0,1135.0,1525.0,1406.88,1475.8,11339.13,1344.6
33,CN7,64G,1,32,882.0,1000.0,2343.0,4837.0,1060.0,1510.0,1393.62,1461.6,11291.49,1342.13
34,CN7,64G,1,64,860.0,968.0,2012.0,3762.0,1104.0,1498.0,1390.49,1458.2,11493.86,1343.48
35,CN7,128G,1,1,891.0,1048.0,1719.0,3299.0,993.0,1535.0,1383.66,1451.0,11661.4,1361.12
36,CN7,128G,1,2,907.0,1029.0,1663.0,3617.0,999.0,1520.0,1370.05,1436.6,11604.61,1345.14
37,CN7,128G,1,4,861.0,1007.0,1666.0,3608.0,995.0,1525.0,1387.65,1455.2,11770.79,1364.98
38,CN7,128G,1,8,905.0,1048.0,1718.0,3857.0,980.0,1529.0,1376.98,1443.6,11650.88,1355.35
39,CN7,128G,1,16,858.0,1032.0,1643.0,3487.0,987.0,1520.0,1384.77,1452.0,11858.09,1368.21
40,CN7,128G,1,32,926.0,1055.0,1729.0,2998.0,993.0,1518.0,1352.21,1418.0,11746.48,1341.23
41,CN7,128G,1,64,864.0,1052.0,1837.0,2966.0,957.0,1513.0,1374.72,1441.6,11886.74,1367.19
