,nodename,filesize_per_thread xfersize blocksize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,8G 1M 1M,1,1,769.0,1025.0,1368.0,8673.0,1302.0,1503.0,1456.36,1527.33,120.8,3159.67,3150.73,3071.64,13.59,357.42,357.78,356.86
1,CN7,8G 1M 1M,1,4,763.0,1012.0,1538.0,2518.0,1317.0,1522.0,1460.33,1531.33,3137.51,3080.84,3113.23,116.61,357.11,358.35,356.81,13.12
2,CN7,8G 1M 1M,1,16,777.0,1006.0,1461.0,2990.0,1261.0,1520.0,1466.76,1539.0,3058.96,3231.26,115.57,3002.48,356.47,359.59,13.02,356.45
3,CN7,8G 1M 1M,2,1,791.0,965.0,1456.0,2048.0,1282.0,1464.0,1402.15,2914.33,2762.64,2802.65,5338.42,5342.25,318.64,316.9,623.69,622.75
4,CN7,8G 1M 1M,2,4,777.0,946.0,1472.0,2136.0,1290.0,1480.0,1420.05,2961.0,5411.07,5467.6,2707.53,2695.25,620.84,621.54,316.45,318.02
5,CN7,8G 1M 1M,2,16,777.0,933.0,1384.0,2043.0,1293.0,1467.0,1413.42,2949.0,2820.97,2838.31,6015.68,6270.35,318.4,319.81,699.53,703.98
6,CN7,8G 1M 1M,4,1,873.0,1746.0,3400.0,6144.0,1212.0,1511.0,1397.89,5797.33,8881.89,8737.32,8776.79,8779.32,972.03,969.16,971.8,970.3
7,CN7,8G 1M 1M,4,4,845.0,1628.0,3714.0,6193.0,1175.0,1512.0,1406.19,5852.67,8545.94,8477.96,8404.26,8410.09,936.34,930.09,930.79,929.28
8,CN7,8G 1M 1M,4,16,873.0,1857.0,4244.0,7242.0,1162.0,1490.0,1375.48,5699.67,8489.59,8543.12,8403.44,8582.23,932.42,934.87,930.57,938.23
9,CN7,8G 1M 1M,8,1,4839.0,7220.0,10464.0,13348.0,524.0,1324.0,621.03,5175.33,9447.1,9361.43,9384.38,9360.87,1027.84,1025.24,1024.3,1024.88
10,CN7,8G 1M 1M,8,4,4686.0,6980.0,9765.0,12212.0,534.0,1328.0,631.92,5256.0,9536.94,9564.17,9484.52,9500.78,1043.18,1043.17,1044.01,1046.11
11,CN7,8G 1M 1M,8,16,4817.0,7089.0,10071.0,12343.0,532.0,1380.0,625.43,5215.0,9589.87,9631.9,9569.1,9483.74,1042.69,1047.26,1046.47,1045.96
12,CN7,8G 1M 1M,16,1,8345.0,10945.0,13872.0,16690.0,242.0,870.0,288.97,4833.0,9808.8,9768.77,9760.59,9733.88,1065.31,1065.59,1066.29,1066.21
13,CN7,8G 1M 1M,16,4,8301.0,10857.0,13741.0,16559.0,250.0,874.0,289.3,4817.67,9803.69,9726.05,9749.51,9783.1,1066.43,1065.25,1066.27,1066.03
14,CN7,8G 1M 1M,16,16,8072.0,10595.0,13304.0,15139.0,249.0,885.0,295.56,4936.0,9891.94,9819.29,9828.3,9818.79,1076.31,1075.68,1074.7,1075.94
15,CN7,16G 1M 1M,1,1,722.0,963.0,1483.0,2406.0,1310.0,1532.0,1480.28,1552.67,3459.58,3460.85,3395.36,67.77,400.54,400.89,399.83,7.62
16,CN7,16G 1M 1M,1,4,722.0,952.0,1505.0,2379.0,1326.0,1515.0,1476.38,1548.67,3474.51,3371.69,67.19,3444.75,399.08,398.59,7.57,399.66
17,CN7,16G 1M 1M,1,16,728.0,974.0,1707.0,2744.0,1343.0,1538.0,1480.76,1553.33,3489.68,70.66,3378.51,3371.52,400.95,7.97,400.52,399.49
18,CN7,16G 1M 1M,2,1,785.0,914.0,1385.0,2092.0,1308.0,1472.0,1407.53,2923.33,3359.58,6715.78,6538.38,3198.48,375.12,766.77,766.3,373.19
19,CN7,16G 1M 1M,2,4,788.0,930.0,1428.0,2010.0,1308.0,1471.0,1407.1,2918.0,6802.94,3289.19,3170.32,6479.03,766.79,374.01,373.34,764.2
20,CN7,16G 1M 1M,2,16,777.0,916.0,1510.0,2070.0,1318.0,1471.0,1418.09,2953.67,3493.97,6427.19,6343.66,3341.2,399.82,739.15,739.31,398.89
21,CN7,16G 1M 1M,4,1,1324.0,2889.0,5909.0,8542.0,1000.0,1514.0,1239.16,5158.33,9673.8,9717.34,9509.58,9563.94,1041.45,1041.78,1042.88,1040.77
22,CN7,16G 1M 1M,4,4,1281.0,2736.0,5385.0,8127.0,1025.0,1516.0,1260.42,5231.33,9892.15,9908.35,9677.62,9759.05,1063.07,1065.21,1064.72,1061.73
23,CN7,16G 1M 1M,4,16,1264.0,2823.0,5800.0,8815.0,1044.0,1492.0,1244.09,5186.0,9665.35,9705.95,9445.93,9606.71,1039.98,1041.91,1038.99,1039.84
24,CN7,16G 1M 1M,8,1,4970.0,7198.0,10071.0,12430.0,530.0,1367.0,596.03,4984.67,10122.66,10130.83,10037.53,10115.16,1099.18,1097.66,1099.73,1098.55
25,CN7,16G 1M 1M,8,4,5013.0,7417.0,10377.0,12561.0,520.0,1351.0,588.66,4913.33,9874.66,9893.69,9828.85,9948.44,1074.11,1076.69,1073.5,1075.35
26,CN7,16G 1M 1M,8,16,4948.0,7264.0,10158.0,12649.0,516.0,1372.0,595.74,4976.33,10089.0,10084.23,10089.3,10047.31,1096.87,1098.13,1098.85,1096.65
27,CN7,16G 1M 1M,16,1,8367.0,10945.0,13785.0,16843.0,243.0,912.0,284.12,4746.67,10153.67,10047.19,10067.78,10094.32,1099.32,1097.81,1097.4,1098.22
28,CN7,16G 1M 1M,16,4,8072.0,11382.0,18525.0,30278.0,220.0,884.0,279.7,4487.67,9256.4,9838.86,6815.94,11068.69,1031.8,1105.62,735.82,1247.71
29,CN7,16G 1M 1M,16,16,6914.0,13129.0,35936.0,245301.0,82.0,288.0,97.82,3983.67,10650.9,3489.61,3501.53,13811.61,1262.78,377.98,376.53,1652.91
30,CN7,32G 1M 1M,1,1,687.0,900.0,1939.0,3910.0,1246.0,1519.0,1488.53,1561.0,3721.55,3669.68,41.15,3697.33,443.45,442.49,4.36,443.68
31,CN7,32G 1M 1M,1,4,714.0,903.0,2256.0,3774.0,1332.0,1558.0,1487.27,1560.0,44.96,3680.72,3682.84,3695.22,4.64,443.69,442.7,443.64
32,CN7,32G 1M 1M,1,16,706.0,892.0,2114.0,3299.0,1362.0,1536.0,1486.67,1559.67,3784.37,3702.82,3630.76,42.26,444.35,443.55,442.63,4.5
33,CN7,32G 1M 1M,2,1,815.0,905.0,1401.0,2174.0,1246.0,1474.0,1367.83,2848.0,7170.69,3477.36,3586.97,7234.57,807.52,411.22,412.35,807.52
34,CN7,32G 1M 1M,2,4,810.0,916.0,1581.0,2551.0,1255.0,1484.0,1380.12,2875.33,3656.3,6917.72,7169.6,3594.87,413.55,818.39,821.4,412.23
35,CN7,32G 1M 1M,2,16,813.0,914.0,1455.0,2362.0,1264.0,1465.0,1378.58,2866.67,7201.39,3568.41,3497.94,7281.39,821.31,411.83,410.41,821.49
36,CN7,32G 1M 1M,4,1,1346.0,2911.0,5888.0,9208.0,963.0,1510.0,1192.6,4932.33,10140.61,10105.8,10158.26,10135.24,1098.81,1098.07,1098.39,1099.72
37,CN7,32G 1M 1M,4,4,1303.0,2736.0,5472.0,8378.0,994.0,1497.0,1218.27,5086.67,10360.74,10361.83,10339.29,10283.04,1122.94,1123.42,1123.65,1123.29
38,CN7,32G 1M 1M,4,16,1324.0,2824.0,5800.0,8422.0,990.0,1505.0,1213.54,5060.33,10228.98,10267.28,10237.4,10184.26,1108.3,1111.02,1111.56,1111.16
39,CN7,32G 1M 1M,8,1,4249.0,8367.0,21780.0,182518.0,248.0,764.0,357.38,4076.67,8477.25,6496.13,8571.82,8481.44,995.0,748.21,995.98,998.91
40,CN7,32G 1M 1M,8,4,4921.0,8541.0,164867.0,216160.0,253.0,912.0,379.65,3465.33,8199.82,5776.67,5772.89,8036.92,955.08,661.23,661.21,939.18
41,CN7,32G 1M 1M,8,16,4926.0,7264.0,10158.0,12474.0,517.0,1348.0,587.61,4914.33,10413.57,10403.27,10372.88,10384.13,1130.35,1127.47,1131.05,1130.23
