,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,4G 64 1,1,4,815.0,1024.0,1188.0,1800.0,1370.0,1505.0,1443.73,1518.0,9964.84,9965.79,9957.32,10031.51,1185.84,1187.24,1186.43,1188.45
1,CN7,4G 64 1,2,4,1011.0,1270.0,1729.0,3643.0,1226.0,1488.0,1337.95,2768.0,9964.84,9965.79,9957.32,10031.51,1185.84,1187.24,1186.43,1188.45
2,CN7,4G 64 1,4,4,1742.0,5325.0,144966.0,414537.0,224.0,1389.0,712.81,2964.33,9964.84,9965.79,9957.32,10031.51,1185.84,1187.24,1186.43,1188.45
3,CN7,4G 64 1,8,4,11120.0,15314.0,117790.0,510307.0,84.0,842.0,199.49,2502.67,9964.84,9965.79,9957.32,10031.51,1185.84,1187.24,1186.43,1188.45
4,CN7,4G 64 1,16,4,23025.0,29491.0,54526.0,460063.0,0.0,0.0,0.0,2247.67,9964.84,9965.79,9957.32,10031.51,1185.84,1187.24,1186.43,1188.45
5,CN7,8G 64 1,1,4,769.0,967.0,1116.0,1892.0,1313.0,1502.0,1450.33,1522.33,9964.84,9965.79,9957.32,10031.51,1185.84,1187.24,1186.43,1188.45
6,CN7,8G 64 1,2,4,884.0,1075.0,1750.0,4473.0,1268.0,1423.0,1351.58,2804.0,9964.84,9965.79,9957.32,10031.51,1185.84,1187.24,1186.43,1188.45
7,CN7,8G 64 1,4,4,5691.0,8465.0,11993.0,22938.0,392.0,1438.0,616.97,2567.33,9964.84,9965.79,9957.32,10031.51,1185.84,1187.24,1186.43,1188.45
8,CN7,8G 64 1,8,4,11906.0,15663.0,21977.0,66541.0,181.0,1252.0,269.09,2254.0,9964.84,9965.79,9957.32,10031.51,1185.84,1187.24,1186.43,1188.45
9,CN7,8G 64 1,16,4,22152.0,29491.0,136228.0,335370.0,0.0,0.0,0.0,2119.67,9964.84,9965.79,9957.32,10031.51,1185.84,1187.24,1186.43,1188.45
10,CN7,16G 64 1,1,4,728.0,892.0,1102.0,1800.0,1280.0,1488.0,1455.73,1527.0,9964.84,9965.79,9957.32,10031.51,1185.84,1187.24,1186.43,1188.45
11,CN7,16G 64 1,2,4,1105.0,3359.0,6193.0,13522.0,735.0,1464.0,1201.13,2459.0,9964.84,9965.79,9957.32,10031.51,1185.84,1187.24,1186.43,1188.45
12,CN7,16G 64 1,4,4,6128.0,8509.0,11993.0,20469.0,351.0,1427.0,547.02,2283.33,9964.84,9965.79,9957.32,10031.51,1185.84,1187.24,1186.43,1188.45
13,CN7,16G 64 1,8,4,11556.0,15489.0,23637.0,183152.0,161.0,1258.0,257.43,2159.0,9964.84,9965.79,9957.32,10031.51,1185.84,1187.24,1186.43,1188.45
14,CN7,16G 64 1,16,4,20666.0,67458.0,523589.0,599785.0,0.0,0.0,0.0,1856.67,9964.84,9965.79,9957.32,10031.51,1185.84,1187.24,1186.43,1188.45
15,CN7,32G 64 1,1,4,755.0,845.0,1084.0,3894.0,1299.0,1496.0,1432.17,1502.0,9964.84,9965.79,9957.32,10031.51,1185.84,1187.24,1186.43,1188.45
16,CN7,32G 64 1,2,4,1620.0,3403.0,5822.0,15860.0,722.0,1394.0,1098.12,2290.33,9964.84,9965.79,9957.32,10031.51,1185.84,1187.24,1186.43,1188.45
17,CN7,32G 64 1,4,4,6171.0,8345.0,12081.0,37880.0,369.0,1436.0,527.43,2204.0,9964.84,9965.79,9957.32,10031.51,1185.84,1187.24,1186.43,1188.45
18,CN7,32G 64 1,8,4,10071.0,17214.0,463470.0,583008.0,0.0,0.0,0.0,1858.0,9964.84,9965.79,9957.32,10031.51,1185.84,1187.24,1186.43,1188.45
19,CN7,32G 64 1,16,4,20142.0,64400.0,527783.0,610970.0,0.0,0.0,0.0,1878.0,9964.84,9965.79,9957.32,10031.51,1185.84,1187.24,1186.43,1188.45
