,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput
0,PM1,4G,1,1,635.0,991.0,1244.0,1312.0,1541.0,1677.0,1637.3,1715.0
1,PM1,4G,2,1,1120.0,1417.0,1775.0,50384.0,2062.0,2366.0,2253.4,2313.8
2,PM1,4G,4,1,2212.0,2592.0,3431.0,58773.0,1673.0,2412.0,2105.48,2198.0
3,PM1,4G,8,1,4764.0,5092.0,9817.0,60241.0,2589.0,4400.0,3341.98,2163.4
4,PM1,8G,1,1,791.0,1187.0,11464.0,41550.0,1062.0,1682.0,1544.71,1592.6
5,PM1,8G,2,1,1715.0,2147.0,33921.0,40003.0,604.0,2745.0,1878.37,1956.2
6,PM1,8G,4,1,2520.0,3562.0,36858.0,40842.0,675.0,3274.0,2137.59,2190.6
7,PM1,8G,8,1,4778.0,6534.0,38535.0,66427.0,1148.0,5544.0,3067.02,2140.8
8,PM1,16G,1,1,1591.0,1702.0,28671.0,43254.0,417.0,1682.0,1128.29,1180.2
9,PM1,16G,2,1,1860.0,2310.0,35468.0,40423.0,516.0,2810.0,1737.88,1802.6
10,PM1,16G,4,1,2625.0,3634.0,36753.0,40318.0,582.0,3344.0,2150.34,2208.0
11,PM1,16G,8,1,7026.0,20631.0,37591.0,48182.0,965.0,5668.0,2544.36,2184.0
12,PM1,32G,1,1,1581.0,1771.0,36307.0,43359.0,254.0,1677.0,1105.08,1160.8
13,PM1,32G,2,1,1935.0,2330.0,36543.0,40737.0,465.0,2756.0,1665.96,1717.0
14,PM1,32G,4,1,2704.0,3621.0,36124.0,40004.0,551.0,3668.0,2165.1,2224.2
15,PM1,32G,8,1,4843.0,21679.0,36229.0,77962.0,766.0,5575.0,2423.18,2071.4
