,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput
0,PM1,4G,1,1,605.0,961.0,1171.0,1224.0,1583.0,1668.0,1642.2,1721.4
1,PM1,4G,2,1,1181.0,1384.0,1637.0,1761.0,1903.0,2168.0,2071.42,2148.4
2,PM1,4G,4,1,2251.0,2520.0,2972.0,8264.0,1843.0,2630.0,2136.35,2210.2
3,PM1,4G,8,1,4634.0,4909.0,5656.0,8271.0,2800.0,4724.0,3262.84,2173.4
4,PM1,4G,16,1,8245.0,9005.0,10761.0,16502.0,2886.0,5415.0,3408.21,2363.0
5,PM1,8G,1,1,727.0,961.0,1217.0,35966.0,1415.0,1670.0,1623.12,1666.8
6,PM1,8G,2,1,1457.0,1868.0,2110.0,7688.0,1414.0,2280.0,2014.03,2098.2
7,PM1,8G,4,1,2231.0,2605.0,3038.0,9444.0,1741.0,3016.0,2133.48,2187.4
8,PM1,8G,8,1,4607.0,4856.0,5630.0,8638.0,2783.0,5425.0,3365.16,2207.8
9,PM1,8G,16,1,8421.0,9739.0,15100.0,24170.0,2593.0,5028.0,3313.21,2335.0
10,PM1,16G,1,1,994.0,1275.0,1516.0,26188.0,889.0,1670.0,1441.08,1514.0
11,PM1,16G,2,1,1515.0,2009.0,2230.0,12478.0,1109.0,2554.0,1970.58,2039.6
12,PM1,16G,4,1,2271.0,2756.0,3254.0,10630.0,1599.0,3397.0,2178.85,2222.8
13,PM1,16G,8,1,4646.0,4922.0,5669.0,9136.0,2391.0,5800.0,3168.49,2150.4
14,PM1,16G,16,1,8422.0,11521.0,16594.0,21417.0,2436.0,6050.0,3266.85,2347.0
15,PM1,32G,1,1,1237.0,1673.0,1778.0,20041.0,602.0,1669.0,1350.67,1416.0
16,PM1,32G,2,1,1683.0,2127.0,2356.0,13828.0,942.0,2470.0,1945.28,2002.4
17,PM1,32G,4,1,2363.0,2887.0,3536.0,9765.0,1410.0,3665.0,2133.39,2162.6
18,PM1,32G,8,1,4594.0,4896.0,5761.0,51865.0,1718.0,6105.0,3099.34,2185.8
19,PM1,32G,16,1,10761.0,13435.0,19163.0,25717.0,2034.0,7387.0,2938.84,1924.6
