,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput
0,PM1,4G,1,1,427.0,668.0,766.0,797.0,2276.0,2394.0,2353.33,2461.2
1,PM1,4G,2,1,732.0,880.0,1062.0,1186.0,3959.0,4619.0,4309.4,4294.2
2,PM1,4G,4,1,848.0,1042.0,1272.0,1356.0,5974.0,8349.0,7340.56,7024.2
3,PM1,4G,8,1,1227.0,18193.0,71251.0,172255.0,3465.0,14250.0,6034.33,6286.4
4,PM1,4G,16,1,26712.0,30068.0,45980.0,58432.0,4049.0,17902.0,5367.57,5649.2
5,PM1,8G,1,1,701.0,855.0,1044.0,1151.0,1508.0,2401.0,2198.17,2302.0
6,PM1,8G,2,1,776.0,1010.0,1198.0,1250.0,2956.0,4598.0,3887.5,4034.8
7,PM1,8G,4,1,1058.0,15886.0,17354.0,17695.0,3250.0,8174.0,4691.89,4837.4
8,PM1,8G,8,1,4076.0,21522.0,23095.0,24878.0,3886.0,14773.0,4930.14,5231.2
9,PM1,8G,16,1,27499.0,30173.0,34918.0,52245.0,3700.0,17846.0,4909.23,5163.4
10,PM1,16G,1,1,666.0,769.0,1077.0,1158.0,1487.0,2395.0,2131.4,2236.8
11,PM1,16G,2,1,781.0,991.0,1257.0,1371.0,2607.0,4605.0,3729.27,3812.0
12,PM1,16G,4,1,1148.0,15139.0,17223.0,18023.0,3152.0,8339.0,4351.63,4509.0
13,PM1,16G,8,1,12529.0,21784.0,23567.0,25769.0,3338.0,14671.0,4458.6,4695.0
14,PM1,16G,16,1,27866.0,30330.0,32925.0,52324.0,3595.0,17770.0,4727.72,4970.4
15,PM1,32G,1,1,723.0,772.0,1015.0,1142.0,1447.0,2402.0,2066.86,2172.0
16,PM1,32G,2,1,830.0,1250.0,1647.0,1719.0,2000.0,4603.0,3585.15,3674.2
17,PM1,32G,4,1,1293.0,15296.0,17171.0,17721.0,2774.0,8316.0,3878.17,4042.2
18,PM1,32G,8,1,10335.0,23672.0,25717.0,27551.0,3278.0,14704.0,4266.73,4491.2
19,PM1,32G,16,1,27866.0,30225.0,32480.0,48969.0,3443.0,17713.0,4637.65,4869.8
