,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput
0,PM1,4G,1,1,725.0,881.0,1516.0,100140.0,1554.0,2426.0,2100.67,2246.0
1,PM1,4G,2,1,1434.0,1926.0,2442.0,40109.0,1378.0,4043.0,2298.0,2416.0
2,PM1,4G,4,1,2769.0,2999.0,231736.0,574620.0,1300.0,3706.0,1977.97,1900.0
3,PM1,4G,8,1,5866.0,6063.0,261096.0,566232.0,676.0,3288.0,1600.15,1674.0
4,PM1,8G,1,1,652.0,881.0,1582.0,100140.0,1632.0,2292.0,1957.12,2048.0
5,PM1,8G,2,1,1450.0,1582.0,8029.0,152044.0,1312.0,3588.0,2028.28,2106.0
6,PM1,8G,4,1,2900.0,3261.0,225444.0,530580.0,1146.0,2640.0,1705.77,1762.0
7,PM1,8G,8,1,5932.0,6456.0,229639.0,591397.0,550.0,3206.0,1533.85,1602.0
8,PM1,16G,1,1,611.0,791.0,2180.0,100140.0,1593.0,2494.0,2091.4,2182.0
9,PM1,16G,2,1,1467.0,1647.0,5211.0,46400.0,1336.0,3981.0,1868.58,1956.0
10,PM1,16G,4,1,2900.0,2999.0,173016.0,375391.0,838.0,3914.0,1571.36,1639.0
11,PM1,16G,8,1,5932.0,6783.0,135267.0,387974.0,700.0,3571.0,1486.54,1551.0
12,PM1,32G,1,1,840.0,988.0,3490.0,135267.0,1156.0,2296.0,1599.55,1674.0
13,PM1,32G,2,1,1500.0,1680.0,4146.0,41681.0,1194.0,3857.0,1644.41,1725.0
14,PM1,32G,4,1,2933.0,3064.0,26870.0,270533.0,766.0,3354.0,1507.77,1575.0
15,PM1,32G,8,1,5866.0,23725.0,591397.0,834667.0,0.0,4388.0,1535.24,1513.0
