,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput
0,PM1,4G,1,1,742.0,1074.0,1434.0,6456.0,1908.0,2143.0,2013.0,2100.0
1,PM1,4G,2,1,930.0,1434.0,208667.0,320865.0,1002.0,2610.0,1674.78,1685.0
2,PM1,4G,4,1,2900.0,3228.0,28181.0,658506.0,1277.0,3834.0,1789.7,1777.0
3,PM1,4G,8,1,5932.0,10290.0,274727.0,429917.0,947.0,3154.0,1526.89,1591.0
4,PM1,8G,1,1,693.0,988.0,94897.0,168821.0,1088.0,2070.0,1524.2,1617.0
5,PM1,8G,2,1,1434.0,1680.0,187696.0,750781.0,986.0,3280.0,1804.83,1763.0
6,PM1,8G,4,1,2933.0,3195.0,219153.0,608175.0,994.0,3832.0,1609.07,1654.0
7,PM1,8G,8,1,5932.0,6128.0,223347.0,1669333.0,190.0,4813.0,1588.82,1576.0
8,PM1,16G,1,1,783.0,955.0,6652.0,154141.0,1190.0,2408.0,1693.37,1772.0
9,PM1,16G,2,1,1516.0,1876.0,73925.0,337642.0,748.0,3432.0,1566.1,1635.0
10,PM1,16G,4,1,2933.0,3261.0,110625.0,534774.0,263.0,3212.0,1540.09,1608.0
11,PM1,16G,8,1,5932.0,6194.0,187696.0,392168.0,1056.0,2886.0,1520.91,1589.0
12,PM1,32G,1,1,848.0,996.0,1729.0,123208.0,1028.0,2478.0,1610.88,1687.0
13,PM1,32G,2,1,1483.0,1598.0,95945.0,358613.0,520.0,3160.0,1584.22,1634.0
14,PM1,32G,4,1,2835.0,2966.0,583009.0,817890.0,0.0,4294.0,1636.21,1563.0
15,PM1,32G,8,1,5735.0,77071.0,700449.0,843056.0,0.0,4044.0,1536.07,1437.0
