,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,4G ,1,1,933.0,1139.0,1325.0,2109.0,1236.0,1497.0,1380.83,1455.8,1111.1,1093.19,1093.16,2178.23,136.53,136.63,136.63,272.31
1,CN7,4G ,1,2,940.0,1142.0,1378.0,2125.0,1282.0,1478.0,1390.09,1463.2,1654.97,1089.06,1092.53,1636.1,204.57,136.17,136.62,204.52
2,CN7,4G ,1,4,909.0,1122.0,1509.0,2087.0,1285.0,1538.0,1426.08,1509.8,1387.48,1364.8,1363.56,1364.11,171.12,170.63,170.49,170.52
3,CN7,4G ,1,8,958.0,1181.0,1952.0,4040.0,1238.0,1478.0,1381.68,1463.2,1388.91,1365.84,1365.84,1365.81,171.26,170.78,170.78,170.74
4,CN7,4G ,1,16,1234.0,1476.0,2014.0,2415.0,1212.0,1410.0,1341.22,1408.6,1388.89,1365.94,1365.61,1365.68,171.24,170.76,170.75,170.72
5,CN7,4G ,2,1,871.0,1039.0,1230.0,2099.0,1238.0,1427.0,1346.51,2772.2,3298.46,3275.29,2183.68,2183.66,409.91,409.43,273.02,272.99
6,CN7,4G ,2,2,915.0,1082.0,1290.0,3362.0,1214.0,1415.0,1335.78,2749.8,2753.97,2731.33,2731.16,2731.0,341.91,341.44,341.43,341.39
7,CN7,4G ,2,4,958.0,1217.0,1830.0,2197.0,1215.0,1368.0,1324.0,2755.0,2752.72,2730.28,2729.67,2728.88,341.75,341.3,341.27,341.12
8,CN7,4G ,2,8,1030.0,1398.0,1893.0,2125.0,1184.0,1378.0,1310.35,2731.4,2754.29,2731.62,2731.38,2731.09,341.92,341.43,341.43,341.4
9,CN7,4G ,2,16,1221.0,1624.0,2104.0,2638.0,1164.0,1374.0,1286.52,2691.0,2754.33,2731.9,2731.36,2730.93,341.93,341.44,341.43,341.4
10,CN7,4G ,4,1,879.0,1075.0,1325.0,2266.0,1222.0,1392.0,1324.92,5481.0,5484.18,5461.35,5462.21,5461.52,683.21,682.65,682.79,682.72
11,CN7,4G ,4,2,981.0,1247.0,1581.0,3067.0,1153.0,1328.0,1271.48,5260.2,5482.47,5460.24,5459.8,5458.71,682.97,682.52,682.49,682.36
12,CN7,4G ,4,4,1126.0,1427.0,1784.0,2337.0,1097.0,1272.0,1216.6,5050.0,5486.25,5462.32,5462.22,5461.66,683.26,682.79,682.78,682.74
13,CN7,4G ,4,8,1122.0,1463.0,1827.0,4429.0,1106.0,1267.0,1212.47,5046.2,5486.35,5462.72,5462.88,5462.18,683.32,682.81,682.82,682.76
14,CN7,4G ,4,16,1117.0,1486.0,1964.0,5852.0,1117.0,1298.0,1237.49,5134.2,5486.06,5462.57,5462.2,5462.01,683.29,682.81,682.81,682.76
15,CN7,4G ,8,1,3149.0,10814.0,17170.0,36071.0,576.0,1305.0,822.5,6740.2,7846.19,7829.98,7829.46,7829.82,978.97,978.62,978.6,978.58
16,CN7,4G ,8,2,3110.0,9975.0,16568.0,36071.0,576.0,1231.0,813.27,6636.4,8033.57,8016.82,8017.49,8018.49,1001.42,1001.05,1001.11,1001.02
