,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput
0,PM1,4G,1,1,539.0,1014.0,4063.0,24380.0,2284.0,2487.0,2402.66,2516.4
1,PM1,4G,2,1,645.0,1156.0,7445.0,11076.0,3946.0,4217.0,4092.27,4270.2
2,PM1,4G,4,1,969.0,3306.0,44224.0,87661.0,4725.0,6092.0,5342.57,5465.0
3,PM1,4G,8,1,2017.0,14104.0,77700.0,135267.0,4138.0,7389.0,5674.19,5780.4
4,PM1,4G,16,1,9483.0,35232.0,97203.0,157391.0,3402.0,8097.0,5424.07,5604.4
5,PM1,8G,1,1,546.0,1160.0,4257.0,43444.0,2197.0,2536.0,2407.03,2524.2
6,PM1,8G,2,1,676.0,1053.0,6967.0,10918.0,3762.0,4325.0,4093.96,4251.6
7,PM1,8G,4,1,962.0,2716.0,33764.0,98462.0,4331.0,6191.0,5304.13,5447.6
8,PM1,8G,8,1,2795.0,15008.0,69049.0,119852.0,3661.0,7537.0,5492.72,5651.8
9,PM1,8G,16,1,9765.0,35783.0,100349.0,157496.0,3049.0,9355.0,5382.25,5518.4
10,PM1,16G,1,1,518.0,1109.0,3798.0,5525.0,2394.0,2576.0,2488.53,2607.4
11,PM1,16G,2,1,656.0,1032.0,7216.0,29649.0,3552.0,4473.0,4113.66,4286.0
12,PM1,16G,4,1,943.0,3254.0,34315.0,91541.0,3939.0,6789.0,5312.02,5401.2
13,PM1,16G,8,1,3162.0,15663.0,68315.0,114819.0,3222.0,8375.0,5365.6,5519.0
14,PM1,16G,16,1,9975.0,34761.0,95735.0,152044.0,2830.0,10119.0,5287.02,5459.8
15,PM1,32G,1,1,542.0,1133.0,4109.0,5630.0,2128.0,2609.0,2453.11,2568.0
16,PM1,32G,2,1,650.0,986.0,6796.0,10577.0,3554.0,4573.0,4162.78,4341.4
17,PM1,32G,4,1,969.0,3464.0,33686.0,100349.0,3811.0,7416.0,5302.15,5405.0
18,PM1,32G,8,1,3306.0,15296.0,66113.0,119014.0,3132.0,9290.0,5361.82,5531.2
19,PM1,32G,16,1,9896.0,35232.0,98252.0,155399.0,2497.0,11407.0,5271.44,5441.4
