,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm2_nvme0_io,pm2_nvme1_io,pm2_nvme2_io,pm2_nvme3_io,pm3_nvme0_io,pm3_nvme1_io,pm3_nvme2_io,pm3_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write,pm2_nvme0_write,pm2_nvme1_write,pm2_nvme2_write,pm2_nvme3_write,pm3_nvme0_write,pm3_nvme1_write,pm3_nvme2_write,pm3_nvme3_write
0,CN8,4G ,1,1,907.0,1109.0,1322.0,4211.0,1220.0,1492.0,1387.88,1460.8,1133.26,1132.19,1132.91,2070.19,1179.82,1180.16,2119.36,1182.78,1180.39,1179.12,2114.83,1021.72,142.93,142.95,143.01,259.95,149.7,149.71,266.79,149.74,149.34,149.46,266.33,129.83
1,CN8,4G ,1,2,950.0,1132.0,1433.0,2376.0,1270.0,1496.0,1390.08,1471.4,1521.02,1520.79,1051.95,1053.13,1566.9,1020.11,1099.18,1644.24,1566.27,1019.9,1097.64,1644.08,191.33,191.34,132.85,132.81,197.69,129.42,139.13,207.36,197.71,129.52,139.16,207.45
2,CN8,4G ,1,4,915.0,1116.0,1371.0,2336.0,1261.0,1465.0,1397.28,1475.4,1327.78,1327.31,1327.81,1326.74,1374.78,1375.03,1373.85,1374.17,1332.35,1333.24,1331.48,1332.12,167.14,167.15,167.18,167.12,173.69,173.69,173.73,173.71,168.44,168.53,168.41,168.43
3,CN8,4G ,1,8,945.0,1126.0,1840.0,2304.0,1248.0,1483.0,1385.36,1467.0,1307.42,1287.67,1307.25,1288.13,1332.99,1313.56,1332.9,1196.1,1450.57,1332.88,1332.09,1332.34,164.51,162.08,164.55,162.06,168.42,165.98,168.46,151.37,183.06,168.51,168.4,168.43
4,CN8,4G ,1,12,1010.0,1253.0,1906.0,2356.0,1262.0,1453.0,1368.46,1446.0,1284.5,1284.55,1285.52,1285.74,1327.74,1328.49,1329.11,1330.25,1328.03,1329.38,1327.52,1327.6,161.47,161.49,161.51,161.45,167.79,167.79,167.84,167.83,167.81,167.89,167.78,167.81
5,CN8,4G ,1,24,1263.0,1509.0,2079.0,2526.0,1234.0,1397.0,1331.93,1399.2,1311.12,1310.48,1309.48,1312.25,1358.17,1356.48,1357.12,1356.44,1202.93,1202.36,1203.06,1203.13,164.64,164.65,164.67,164.63,171.16,171.16,171.21,171.18,151.73,151.81,151.7,151.73
6,CN8,4G ,2,1,908.0,1041.0,1217.0,6659.0,1229.0,1372.0,1311.37,2705.4,1911.34,3003.25,3005.61,1910.59,1953.14,3048.43,3047.88,1956.71,1950.82,2890.36,2889.01,1951.27,239.91,376.46,376.49,239.91,246.01,382.57,382.6,246.05,245.65,362.79,362.67,245.65
7,CN8,4G ,2,2,943.0,1083.0,1293.0,2343.0,1220.0,1381.0,1318.03,2724.4,2926.16,1989.15,1988.89,2926.32,2971.82,2033.73,2033.71,2970.71,2419.32,1953.17,2421.47,2889.67,366.69,249.68,249.7,366.69,372.8,255.78,255.83,372.84,304.17,245.73,304.15,362.68
8,CN8,4G ,2,4,905.0,1056.0,1666.0,2638.0,1205.0,1391.0,1333.21,2765.2,2145.25,2379.6,2380.16,2613.34,2186.25,2421.23,2421.76,2421.05,2420.45,2421.85,2655.2,2420.72,268.99,298.27,298.29,327.49,274.91,304.17,304.21,304.18,304.18,304.26,333.41,304.17
9,CN8,4G ,2,8,953.0,1217.0,1807.0,3565.0,1188.0,1366.0,1328.15,2771.8,2679.52,2699.54,2834.87,2698.49,2746.12,2882.99,2747.65,2629.57,2482.62,2502.97,2385.93,2502.47,335.58,338.05,355.12,338.01,344.72,361.79,344.77,330.12,311.8,314.31,299.58,314.25
10,CN8,4G ,2,12,967.0,1221.0,1843.0,2851.0,1214.0,1384.0,1342.21,2810.0,2769.59,2769.04,2768.53,2769.58,2815.29,2815.76,2817.42,2818.47,2413.74,2414.77,2412.72,2413.11,346.63,346.65,346.68,346.63,353.53,353.54,353.59,353.58,303.04,303.13,303.02,303.05
11,CN8,4G ,2,24,1270.0,1666.0,2148.0,2690.0,1154.0,1320.0,1271.93,2656.4,2425.62,2423.61,2422.42,2425.7,2468.29,2468.26,2470.75,2469.71,2205.37,2207.64,2207.26,2206.78,303.37,303.39,303.39,303.37,309.6,309.6,309.66,309.64,277.15,277.23,277.15,277.16
12,CN8,4G ,4,1,851.0,1052.0,1286.0,6374.0,1222.0,1390.0,1333.82,5521.0,5036.53,5036.02,5037.2,5036.6,5080.86,5082.82,5083.87,5083.79,4525.58,4528.28,4524.42,4525.38,630.24,630.26,630.27,630.24,636.53,636.52,636.59,636.57,566.93,567.02,566.91,566.93
13,CN8,4G ,4,2,881.0,1071.0,1398.0,5155.0,1209.0,1374.0,1308.87,5387.2,5740.85,5272.78,4647.58,5117.55,5320.62,5318.71,5162.89,5162.09,4962.16,4416.27,4962.42,5510.22,718.21,659.71,581.71,640.19,666.21,666.19,646.75,646.72,621.64,553.46,621.65,689.92
14,CN8,4G ,4,4,938.0,1234.0,1804.0,7796.0,1221.0,1369.0,1300.68,5354.0,5629.43,5120.84,5315.91,5629.01,5165.57,5167.77,5363.7,5676.56,4531.65,4767.75,4765.0,5000.67,703.81,640.45,664.84,703.82,647.1,647.11,671.55,710.54,567.56,596.91,596.81,626.1
15,CN8,4G ,4,8,1070.0,1417.0,2109.0,6344.0,1178.0,1318.0,1254.42,5178.8,5198.23,5315.87,5198.73,5081.27,5184.37,5087.35,5106.76,5086.55,4529.65,4530.52,4526.82,4425.16,650.04,664.67,650.04,635.41,648.75,636.56,639.05,636.59,567.03,567.08,567.0,554.22
16,CN8,4G ,4,12,1097.0,1457.0,2789.0,5734.0,1162.0,1316.0,1248.33,5132.4,4304.89,4305.45,4305.79,4305.81,3946.13,3869.07,3791.61,3869.66,3747.41,3748.76,3748.47,3748.08,538.19,538.18,538.2,538.18,493.78,484.08,474.41,484.11,469.23,469.29,469.22,469.25
17,CN8,4G ,4,24,1208.0,1578.0,2235.0,4748.0,1122.0,1308.0,1222.55,5020.0,5120.87,5120.38,5118.95,5120.25,4618.81,4619.03,4619.7,4616.66,4459.92,4459.26,4458.44,4456.83,640.01,640.02,640.07,640.0,577.97,577.97,578.02,577.98,558.37,558.45,558.36,558.36
18,CN8,4G ,8,1,1204.0,10586.0,38142.0,45456.0,393.0,1397.0,901.84,6378.6,7263.57,7264.68,7487.75,7493.4,7262.3,7240.42,7182.71,7317.79,7388.5,7489.87,7396.61,7393.12,908.03,908.09,935.83,936.69,908.12,905.35,898.09,914.96,923.91,936.6,925.14,924.67
19,CN8,4G ,8,2,1166.0,9830.0,57148.0,71251.0,288.0,1378.0,861.76,5844.6,6809.8,6845.55,7537.23,7500.97,6511.31,6985.2,7314.07,6838.66,6492.32,6893.23,7087.96,6687.95,850.99,855.59,941.97,937.37,814.17,873.34,914.39,855.09,811.97,862.08,886.36,836.39
20,CN8,4G ,8,4,1178.0,8402.0,44355.0,50043.0,370.0,1346.0,872.64,6705.0,7059.97,7107.41,7141.88,7139.46,7221.19,7172.94,7297.93,7258.63,7304.32,7243.41,7304.16,7330.47,882.17,887.88,892.38,892.07,902.75,896.66,912.2,907.41,913.09,905.6,913.12,916.88
21,CN8,4G ,8,8,1136.0,26240.0,29019.0,29858.0,530.0,1322.0,895.98,7275.6,7359.33,7430.8,7479.46,7331.42,7232.28,7506.91,7388.08,7244.95,7198.01,7207.17,7124.17,7205.1,919.6,928.31,934.55,916.08,903.88,938.14,923.24,905.58,899.88,901.12,890.9,901.02
22,CN8,4G ,8,12,1149.0,25139.0,27079.0,27552.0,549.0,1325.0,913.67,7356.6,7530.63,7439.48,7518.7,7489.89,7486.21,7415.98,7500.29,7470.01,7704.74,7703.9,7722.83,7708.32,941.06,929.36,939.52,935.95,935.56,926.9,937.35,933.59,963.54,963.48,965.76,963.99
23,CN8,4G ,8,24,1162.0,25139.0,26922.0,27499.0,551.0,1316.0,923.2,7343.2,7473.49,7473.71,7449.96,7513.92,7467.69,7451.41,7432.29,7422.52,7597.15,7601.66,7596.7,7575.41,933.6,933.66,930.77,938.82,933.31,931.3,928.89,927.67,949.9,950.66,949.77,947.17
24,CN8,4G ,16,1,9398.0,38745.0,80478.0,90702.0,150.0,1221.0,379.14,5113.8,7649.44,7650.7,7650.19,7650.07,7495.0,7495.04,7494.69,7494.67,7495.5,7494.39,7495.29,7495.14,955.57,955.6,955.61,955.59,936.4,936.39,936.41,936.4,936.55,936.54,936.55,936.55
25,CN8,4G ,16,2,17393.0,39269.0,77962.0,99929.0,144.0,1141.0,362.18,5467.8,7780.49,7564.35,7731.17,7997.12,7757.86,7592.52,7883.12,7876.68,7675.52,7472.99,7867.76,7659.21,971.8,944.86,965.66,998.84,969.22,948.58,984.91,984.09,959.14,933.97,982.95,956.92
26,CN8,4G ,16,4,18219.0,41314.0,77333.0,96155.0,91.0,670.0,220.79,5423.0,7749.0,7851.36,7782.82,7581.03,7742.5,7784.02,7507.27,7568.65,7743.67,7806.53,7600.38,7749.23,967.75,980.48,971.99,946.78,967.23,972.41,937.83,945.49,967.43,975.46,949.61,968.32
