,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm2_nvme0_io,pm2_nvme1_io,pm2_nvme2_io,pm2_nvme3_io,pm3_nvme0_io,pm3_nvme1_io,pm3_nvme2_io,pm3_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write,pm2_nvme0_write,pm2_nvme1_write,pm2_nvme2_write,pm2_nvme3_write,pm3_nvme0_write,pm3_nvme1_write,pm3_nvme2_write,pm3_nvme3_write
0,CN7,4G ,1,1,946.0,1132.0,1342.0,3752.0,1192.0,1478.0,1356.03,1435.2,1093.75,1093.59,0.46,0.51,1094.72,1.42,1.62,1.7,1093.79,1.38,1.66,1094.0,138.87,138.86,2.33,2.33,142.32,5.77,5.8,5.81,142.32,5.78,5.8,142.34
1,CN7,4G ,1,2,940.0,1103.0,1322.0,2303.0,1237.0,1440.0,1371.8,1446.6,656.01,0.62,547.49,546.82,547.78,548.45,548.67,1.59,547.68,547.68,547.83,547.84,84.34,2.43,70.68,70.69,74.05,74.04,74.06,5.78,74.05,74.04,74.06,74.06
2,CN7,4G ,1,4,943.0,1109.0,1424.0,2297.0,1248.0,1444.0,1373.6,1448.4,328.36,602.37,602.66,546.86,275.15,548.14,547.9,548.61,275.08,548.07,547.87,274.78,43.38,77.52,77.51,70.69,39.92,74.03,74.04,74.04,39.92,74.03,74.05,39.91
3,CN7,4G ,1,8,966.0,1178.0,1843.0,2264.0,1189.0,1456.0,1356.9,1434.4,410.39,546.95,546.96,411.58,548.21,548.78,412.44,411.79,411.5,411.37,411.65,411.53,53.44,70.51,70.51,53.46,74.04,74.02,56.98,56.98,56.97,56.95,56.99,56.98
4,CN7,4G ,1,12,1057.0,1276.0,1876.0,2284.0,1256.0,1439.0,1354.85,1428.4,455.14,455.17,455.08,454.36,456.45,455.52,455.63,456.52,455.46,455.36,455.48,455.47,58.92,58.92,58.92,58.92,62.44,62.42,62.44,62.43,62.44,62.42,62.45,62.44
5,CN7,4G ,1,24,1254.0,1532.0,2117.0,2500.0,1226.0,1369.0,1308.33,1376.8,451.69,451.55,451.57,453.05,452.78,454.12,454.5,453.52,450.22,450.1,450.37,450.43,58.26,58.26,58.25,58.26,61.77,61.77,61.78,61.77,61.77,61.76,61.78,61.78
6,CN7,4G ,2,1,882.0,1032.0,1194.0,2356.0,1221.0,1376.0,1321.75,2717.2,1093.28,0.6,1093.01,1094.04,1094.32,2.12,1094.7,1094.36,1094.23,1094.54,1094.51,1094.6,138.78,2.24,138.78,138.79,142.28,5.73,142.3,142.29,142.28,142.29,142.31,142.29
7,CN7,4G ,2,2,950.0,1080.0,1217.0,2330.0,1223.0,1382.0,1321.41,2722.0,546.86,1094.09,1094.44,1093.45,2.41,1094.57,1094.67,1095.64,548.58,1016.46,1094.86,1094.87,70.52,138.78,138.79,138.79,5.76,142.26,142.3,142.29,73.87,132.37,142.14,142.14
8,CN7,4G ,2,4,923.0,1044.0,1231.0,2324.0,1231.0,1381.0,1328.69,2733.0,1094.16,1093.43,821.24,820.83,1096.62,821.41,821.67,821.67,1094.97,821.8,822.2,821.87,138.79,138.79,104.65,104.67,142.25,108.13,108.12,108.17,142.29,108.15,108.18,108.17
9,CN7,4G ,2,8,958.0,1175.0,1797.0,2487.0,1216.0,1368.0,1333.22,2782.2,821.26,957.87,957.81,958.53,822.98,823.4,959.7,958.87,822.42,958.73,1095.16,822.24,104.66,121.72,121.72,121.73,108.13,108.11,125.19,125.18,108.17,125.22,142.31,108.18
