,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,4G,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1468.77,1468.3,1206.66,1206.97,1206.8,1737.78,151.29,151.33,151.3,217.57
1,CN7,4G,1,2,0.0,0.0,0.0,0.0,0.0,0.0,1476.24,1475.75,1294.49,1184.91,1817.11,1927.71,162.41,148.71,227.69,241.45
2,CN7,4G,1,4,0.0,0.0,0.0,0.0,0.0,0.0,1486.24,1485.69,1531.89,1530.7,1531.14,1531.69,191.93,191.88,191.95,191.98
3,CN7,4G,1,8,0.0,0.0,0.0,0.0,0.0,0.0,1483.1,1482.58,1548.6,1549.48,1548.07,1548.79,193.92,194.04,193.88,193.9
4,CN7,4G,1,16,0.0,0.0,0.0,0.0,0.0,0.0,1392.36,1391.88,1447.24,1448.21,1447.75,1447.34,181.39,181.52,181.46,181.34
5,CN7,4G,1,32,0.0,0.0,0.0,0.0,0.0,0.0,1359.34,1358.82,1456.74,1457.51,1457.09,1457.98,182.61,182.67,182.63,182.67
6,CN7,4G,1,64,0.0,0.0,0.0,0.0,0.0,0.0,1399.79,1399.13,1500.54,1500.68,1501.15,1501.24,187.97,188.01,187.99,188.01
7,CN7,4G,2,1,0.0,0.0,0.0,0.0,0.0,0.0,1870.16,1869.78,1906.87,3267.19,1678.06,1685.41,238.63,408.49,210.09,210.93
8,CN7,4G,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1773.01,1772.65,1680.71,2466.7,2467.41,1682.65,210.41,308.49,308.64,210.59
9,CN7,4G,2,4,0.0,0.0,0.0,0.0,0.0,0.0,1976.63,1976.17,2138.96,2139.34,2139.96,2139.21,267.65,267.61,267.75,267.6
10,CN7,4G,2,8,0.0,0.0,0.0,0.0,0.0,0.0,1728.94,1728.59,2090.56,2090.87,2089.03,2090.69,261.55,261.52,261.38,261.49
11,CN7,4G,2,16,0.0,0.0,0.0,0.0,0.0,0.0,1736.91,1736.54,2096.74,2098.2,2096.56,2095.99,262.3,262.41,262.29,262.14
12,CN7,4G,2,32,0.0,0.0,0.0,0.0,0.0,0.0,1694.03,1693.56,2104.03,2107.13,2104.44,2100.92,263.22,263.51,263.27,262.72
13,CN7,4G,2,64,0.0,0.0,0.0,0.0,0.0,0.0,1727.02,1726.52,2144.4,2147.24,2143.85,2150.1,268.29,268.44,268.21,268.74
14,CN7,4G,4,1,0.0,0.0,0.0,0.0,0.0,0.0,2010.3,2010.03,4013.02,1951.99,2040.22,1897.73,501.39,244.02,255.1,237.25
15,CN7,4G,4,2,0.0,0.0,0.0,0.0,0.0,0.0,2031.94,2031.65,2033.55,3026.31,2951.14,1959.47,254.25,378.14,368.83,244.96
16,CN7,4G,4,4,0.0,0.0,0.0,0.0,0.0,0.0,2080.61,2080.35,2534.17,2534.37,2533.62,2534.5,316.74,316.74,316.67,316.74
17,CN7,4G,4,8,0.0,0.0,0.0,0.0,0.0,0.0,2149.29,2148.97,2573.3,2574.04,2573.29,2572.71,321.64,321.69,321.63,321.53
18,CN7,4G,4,16,0.0,0.0,0.0,0.0,0.0,0.0,2089.89,2089.62,2542.2,2540.1,2541.69,2542.49,317.74,317.44,317.68,317.73
19,CN7,4G,4,32,0.0,0.0,0.0,0.0,0.0,0.0,2098.52,2098.2,2568.85,2566.65,2569.08,2571.3,321.05,320.74,321.07,321.33
20,CN7,4G,4,64,0.0,0.0,0.0,0.0,0.0,0.0,2169.47,2169.05,2581.79,2579.04,2581.4,2580.4,322.67,322.27,322.62,322.45
21,CN7,4G,8,1,0.0,0.0,0.0,0.0,0.0,0.0,2013.2,2013.1,1942.91,1943.36,3773.41,2004.09,242.73,242.79,471.31,250.39
22,CN7,4G,8,2,0.0,0.0,0.0,0.0,0.0,0.0,2250.4,2250.13,3130.04,2062.9,2049.28,3023.96,390.93,257.62,256.01,377.61
23,CN7,4G,8,4,0.0,0.0,0.0,0.0,0.0,0.0,2316.95,2316.69,2640.7,2656.97,2698.36,2700.27,329.8,331.85,337.01,337.28
24,CN7,4G,8,8,0.0,0.0,0.0,0.0,0.0,0.0,2359.06,2358.4,2743.27,2712.38,2752.8,2732.89,342.7,338.78,343.87,341.31
25,CN7,4G,8,16,0.0,0.0,0.0,0.0,0.0,0.0,2356.31,2355.16,2709.95,2727.86,2700.75,2742.12,338.42,340.62,337.26,342.39
26,CN7,4G,8,32,0.0,0.0,0.0,0.0,0.0,0.0,2356.46,2356.1,2707.17,2687.74,2705.25,2640.07,337.99,335.52,337.79,329.62
27,CN7,4G,8,64,0.0,0.0,0.0,0.0,0.0,0.0,2376.41,2375.65,2698.5,2694.82,2729.33,2686.95,336.92,336.4,340.82,335.42
28,CN7,4G,16,1,0.0,0.0,0.0,0.0,0.0,0.0,1831.13,1831.05,4279.57,2240.73,2194.58,2245.09,534.42,279.84,274.08,280.39
29,CN7,4G,16,2,0.0,0.0,0.0,0.0,0.0,0.0,1934.63,1934.48,3454.98,2304.7,2266.31,3385.04,431.45,287.79,283.02,422.71
30,CN7,4G,16,4,0.0,0.0,0.0,0.0,0.0,0.0,1925.84,1924.74,2933.7,2852.75,2899.84,2809.26,366.34,356.2,362.12,350.79
31,CN7,4G,16,8,0.0,0.0,0.0,0.0,0.0,0.0,1948.57,1947.96,2935.97,2899.95,2949.84,2894.16,366.64,362.15,368.39,361.44
32,CN7,4G,16,16,0.0,0.0,0.0,0.0,0.0,0.0,1967.33,1966.37,2906.29,2934.48,2910.39,2898.68,362.88,366.41,363.41,361.93
33,CN7,4G,16,32,0.0,0.0,0.0,0.0,0.0,0.0,1939.88,1939.39,2925.2,2913.8,2912.07,2925.26,365.26,363.84,363.62,365.26
34,CN7,4G,16,64,0.0,0.0,0.0,0.0,0.0,0.0,1997.42,1997.06,2988.12,2979.1,2962.66,2981.92,373.05,371.95,369.9,372.18
35,CN7,8G,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1517.1,1516.81,1548.49,1548.15,3006.02,1548.67,193.74,193.75,375.8,193.76
36,CN7,8G,1,2,0.0,0.0,0.0,0.0,0.0,0.0,1517.55,1517.29,1546.65,1546.97,2203.24,2202.61,193.52,193.52,275.44,275.44
