,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput
0,CN7,4G,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1378.0,1377.5
1,CN7,4G,1,2,0.0,0.0,0.0,0.0,0.0,0.0,1469.19,1468.69
2,CN7,4G,1,4,0.0,0.0,0.0,0.0,0.0,0.0,1500.73,1500.09
3,CN7,4G,1,8,0.0,0.0,0.0,0.0,0.0,0.0,1475.66,1475.13
4,CN7,4G,1,16,0.0,0.0,0.0,0.0,0.0,0.0,1443.67,1443.14
5,CN7,4G,1,32,0.0,0.0,0.0,0.0,0.0,0.0,1483.67,1483.07
6,CN7,4G,1,64,0.0,0.0,0.0,0.0,0.0,0.0,1431.63,1430.89
7,CN7,4G,2,1,0.0,0.0,0.0,0.0,0.0,0.0,2818.56,2817.68
8,CN7,4G,2,2,0.0,0.0,0.0,0.0,0.0,0.0,2946.48,2945.41
9,CN7,4G,2,4,0.0,0.0,0.0,0.0,0.0,0.0,2572.43,2571.7
10,CN7,4G,2,8,0.0,0.0,0.0,0.0,0.0,0.0,2617.73,2616.95
11,CN7,4G,2,16,0.0,0.0,0.0,0.0,0.0,0.0,2605.67,2604.84
12,CN7,4G,2,32,0.0,0.0,0.0,0.0,0.0,0.0,2545.63,2544.69
13,CN7,4G,2,64,0.0,0.0,0.0,0.0,0.0,0.0,2590.46,2589.27
14,CN7,4G,4,1,0.0,0.0,0.0,0.0,0.0,0.0,5171.4,5170.0
15,CN7,4G,4,2,0.0,0.0,0.0,0.0,0.0,0.0,4824.6,4823.2
16,CN7,4G,4,4,0.0,0.0,0.0,0.0,0.0,0.0,4628.4,4627.2
17,CN7,4G,4,8,0.0,0.0,0.0,0.0,0.0,0.0,4671.6,4670.2
18,CN7,4G,4,16,0.0,0.0,0.0,0.0,0.0,0.0,4696.6,4694.8
19,CN7,4G,4,32,0.0,0.0,0.0,0.0,0.0,0.0,4751.0,4749.4
20,CN7,4G,4,64,0.0,0.0,0.0,0.0,0.0,0.0,4821.0,4819.0
21,CN7,4G,8,1,0.0,0.0,0.0,0.0,0.0,0.0,5971.4,5970.4
22,CN7,4G,8,2,0.0,0.0,0.0,0.0,0.0,0.0,5422.4,5421.6
23,CN7,4G,8,4,0.0,0.0,0.0,0.0,0.0,0.0,4788.6,4787.8
24,CN7,4G,8,8,0.0,0.0,0.0,0.0,0.0,0.0,4701.8,4701.2
25,CN7,4G,8,16,0.0,0.0,0.0,0.0,0.0,0.0,4612.4,4611.6
26,CN7,4G,8,32,0.0,0.0,0.0,0.0,0.0,0.0,4459.8,4459.0
27,CN7,4G,8,64,0.0,0.0,0.0,0.0,0.0,0.0,4230.6,4230.0
28,CN7,4G,16,1,0.0,0.0,0.0,0.0,0.0,0.0,5921.2,5921.0
29,CN7,4G,16,2,0.0,0.0,0.0,0.0,0.0,0.0,5580.0,5579.6
30,CN7,4G,16,4,0.0,0.0,0.0,0.0,0.0,0.0,4994.8,4994.6
31,CN7,4G,16,8,0.0,0.0,0.0,0.0,0.0,0.0,4968.6,4968.2
32,CN7,4G,16,16,0.0,0.0,0.0,0.0,0.0,0.0,4954.4,4954.0
33,CN7,4G,16,32,0.0,0.0,0.0,0.0,0.0,0.0,4894.8,4893.8
34,CN7,4G,16,64,0.0,0.0,0.0,0.0,0.0,0.0,4886.0,4885.6
35,CN7,8G,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1297.21,1297.0
36,CN7,8G,1,2,0.0,0.0,0.0,0.0,0.0,0.0,1446.74,1446.49
37,CN7,8G,1,4,0.0,0.0,0.0,0.0,0.0,0.0,1550.42,1550.13
38,CN7,8G,1,8,0.0,0.0,0.0,0.0,0.0,0.0,1534.59,1534.3
39,CN7,8G,1,16,0.0,0.0,0.0,0.0,0.0,0.0,1549.63,1547.65
40,CN7,8G,1,32,0.0,0.0,0.0,0.0,0.0,0.0,1524.56,1524.21
41,CN7,8G,1,64,0.0,0.0,0.0,0.0,0.0,0.0,1504.74,1504.22
42,CN7,8G,2,1,0.0,0.0,0.0,0.0,0.0,0.0,2421.39,2421.05
43,CN7,8G,2,2,0.0,0.0,0.0,0.0,0.0,0.0,2818.44,2817.93
44,CN7,8G,2,4,0.0,0.0,0.0,0.0,0.0,0.0,2568.51,2568.13
45,CN7,8G,2,8,0.0,0.0,0.0,0.0,0.0,0.0,2578.23,2577.81
46,CN7,8G,2,16,0.0,0.0,0.0,0.0,0.0,0.0,2586.27,2585.84
47,CN7,8G,2,32,0.0,0.0,0.0,0.0,0.0,0.0,2573.18,2572.69
48,CN7,8G,2,64,0.0,0.0,0.0,0.0,0.0,0.0,2543.71,2543.12
49,CN7,8G,4,1,0.0,0.0,0.0,0.0,0.0,0.0,4719.0,4718.4
50,CN7,8G,4,2,0.0,0.0,0.0,0.0,0.0,0.0,3908.4,3908.2
