,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,4G 1M 1M,1,1,932.0,1096.0,1322.0,3637.0,1230.0,1523.0,1388.72,1473.0,1499.14,2592.87,1497.64,1499.01,187.54,324.24,187.51,187.5
1,CN7,4G 1M 1M,1,4,939.0,1099.0,1263.0,2205.0,1246.0,1498.0,1384.0,1470.0,1491.49,1492.85,2587.0,1273.57,186.72,186.72,323.23,159.37
2,CN7,4G 1M 1M,1,16,894.0,1080.0,1309.0,2271.0,1298.0,1531.0,1436.8,1515.8,1497.76,1497.86,1497.65,2590.95,187.53,187.53,187.51,324.03
3,CN7,4G 1M 1M,2,1,830.0,990.0,1156.0,2297.0,1269.0,1532.0,1430.12,2869.8,3440.37,3440.29,2346.81,2347.12,430.03,430.03,293.48,293.48
4,CN7,4G 1M 1M,2,4,830.0,992.0,1156.0,2264.0,1301.0,1520.0,1420.62,2865.2,2348.57,2347.46,3440.58,3441.12,293.52,293.52,430.02,430.0
5,CN7,4G 1M 1M,2,16,833.0,1000.0,1165.0,2238.0,1255.0,1528.0,1422.8,2861.2,3665.79,3667.01,2355.5,2354.68,458.17,458.17,294.3,294.3
6,CN7,4G 1M 1M,4,1,853.0,1036.0,1250.0,5561.0,1264.0,1406.0,1364.27,5647.0,5628.95,5627.84,5627.5,5627.64,703.13,703.13,703.09,703.09
7,CN7,4G 1M 1M,4,4,855.0,1026.0,1234.0,3883.0,1267.0,1422.0,1364.79,5652.8,5628.14,5628.99,5628.68,5628.89,703.14,703.14,703.1,703.1
8,CN7,4G 1M 1M,4,16,838.0,1017.0,1243.0,4589.0,1276.0,1414.0,1376.62,5677.2,5854.05,5854.09,5854.03,5853.58,731.25,731.25,731.23,731.22
9,CN7,4G 1M 1M,8,1,3071.0,8952.0,14798.0,17118.0,632.0,1368.0,878.01,7213.4,8543.83,8547.71,8591.74,8545.31,1067.09,1067.58,1073.02,1067.2
10,CN7,4G 1M 1M,8,4,2985.0,8952.0,14719.0,17892.0,627.0,1350.0,873.74,7181.2,8403.84,8401.06,8407.07,8390.96,1049.58,1049.15,1049.99,1047.98
11,CN7,4G 1M 1M,8,16,3070.0,8664.0,14248.0,17512.0,625.0,1351.0,874.79,7172.2,8442.36,8422.62,8412.01,8439.6,1054.31,1051.92,1050.63,1054.02
12,CN7,4G 1M 1M,16,1,9476.0,16384.0,22885.0,58143.0,263.0,996.0,362.48,6035.4,8875.68,8863.43,8901.13,8872.36,1108.37,1106.76,1111.44,1107.88
13,CN7,4G 1M 1M,16,4,9634.0,16817.0,23252.0,61342.0,259.0,991.0,362.09,6027.8,8868.8,8856.09,8870.63,8869.18,1107.44,1105.91,1107.74,1107.55
14,CN7,4G 1M 1M,16,16,9660.0,16528.0,22676.0,62600.0,262.0,973.0,361.56,6029.0,8959.2,8991.84,8973.5,8953.14,1118.79,1122.8,1120.49,1117.97
15,CN7,8G 1M 1M,1,1,833.0,1058.0,1250.0,34420.0,1266.0,1589.0,1455.27,1526.4,1761.49,1758.12,3401.05,1761.08,220.22,219.85,424.99,220.19
16,CN7,8G 1M 1M,1,4,809.0,1007.0,1217.0,29150.0,1311.0,1568.0,1494.59,1563.4,1760.99,1761.37,1761.02,3400.93,220.19,220.2,220.19,424.97
17,CN7,8G 1M 1M,1,16,802.0,1022.0,1195.0,32401.0,1310.0,1602.0,1531.72,1596.4,3402.14,1760.99,1761.2,1760.83,425.0,220.19,220.19,220.17
18,CN7,8G 1M 1M,2,1,817.0,920.0,1152.0,26293.0,1277.0,1525.0,1421.25,2856.6,3398.22,4856.64,4856.95,3398.98,424.65,606.69,606.7,424.63
19,CN7,8G 1M 1M,2,4,817.0,926.0,1159.0,25874.0,1257.0,1521.0,1418.72,2872.2,4668.5,3210.52,3211.44,4669.73,583.27,401.21,401.2,583.23
20,CN7,8G 1M 1M,2,16,805.0,925.0,1156.0,28993.0,1272.0,1536.0,1433.33,2915.0,3211.71,4854.98,4855.16,3212.84,401.36,606.36,606.35,401.31
21,CN7,8G 1M 1M,4,1,841.0,987.0,1198.0,35049.0,1253.0,1422.0,1362.4,5659.6,7398.21,7397.91,7397.79,7397.76,923.96,923.94,923.93,923.91
