,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN8,4G 1M 1M ,1,1,865.0,1065.0,1598.0,5169.0,1266.0,1506.0,1427.6,1505.5,2932.35,0.01,0.01,2886.69,342.72,0.0,0.0,342.22
1,CN8,4G 1M 1M ,1,2,885.0,1082.0,1196.0,1909.0,1289.0,1504.0,1421.6,1499.0,1577.2,1541.93,1539.73,1524.33,170.85,170.1,170.1,169.79
2,CN8,4G 1M 1M ,1,4,885.0,1082.0,1213.0,1933.0,1245.0,1486.0,1419.2,1497.0,1493.41,1442.47,1450.39,1468.08,162.62,160.75,161.6,162.22
3,CN8,4G 1M 1M ,1,8,885.0,1067.0,1803.0,2753.0,1350.0,1446.0,1397.2,1479.5,1557.44,1549.57,1577.49,1548.76,169.63,169.55,170.47,170.4
4,CN8,4G 1M 1M ,1,16,901.0,1098.0,1761.0,2691.0,1202.0,1485.0,1398.0,1477.5,1529.04,1553.68,1596.84,1551.61,169.31,169.96,171.5,170.69
5,CN8,4G 1M 1M ,2,1,811.0,1020.0,1311.0,1934.0,1303.0,1416.0,1378.7,2858.5,2924.7,3004.76,2973.26,2919.94,342.85,342.94,339.89,342.97
6,CN8,4G 1M 1M ,2,2,811.0,971.0,1172.0,2077.0,1250.0,1438.0,1382.3,2870.0,3089.44,3110.33,3120.84,3117.85,339.32,339.69,339.82,340.16
7,CN8,4G 1M 1M ,2,4,885.0,1047.0,1360.0,3826.0,1231.0,1392.0,1351.63,2829.5,3068.81,3096.86,3134.53,3095.55,339.05,339.62,341.01,340.36
8,CN8,4G 1M 1M ,2,8,873.0,1012.0,1778.0,3719.0,1270.0,1387.0,1342.2,2793.0,3089.34,3079.82,3140.08,3074.09,339.14,338.98,341.08,339.24
9,CN8,4G 1M 1M ,2,16,877.0,1051.0,1737.0,2773.0,1261.0,1375.0,1333.61,2768.0,3074.65,3081.0,3161.93,3102.86,339.05,338.45,341.79,340.31
10,CN8,4G 1M 1M ,4,1,816.0,996.0,1221.0,1819.0,1241.0,1472.0,1403.82,5769.0,6169.13,6180.52,6231.12,6213.46,682.2,686.0,685.7,687.3
11,CN8,4G 1M 1M ,4,2,950.0,1147.0,1442.0,1901.0,1186.0,1419.0,1339.61,5428.5,6222.61,6235.26,6194.3,6273.94,681.79,684.35,684.65,686.26
12,CN8,4G 1M 1M ,4,4,959.0,1147.0,1704.0,4580.0,1184.0,1411.0,1318.42,5378.0,6229.84,6182.58,6225.01,6183.17,681.68,679.5,685.1,682.54
13,CN8,4G 1M 1M ,4,8,987.0,1204.0,1934.0,3695.0,1193.0,1383.0,1295.63,5293.5,6328.42,6245.48,6159.91,6209.08,688.65,685.74,679.03,682.75
14,CN8,4G 1M 1M ,4,16,1004.0,1319.0,2229.0,5964.0,1172.0,1390.0,1302.12,5259.0,6369.08,6337.54,6270.72,6359.65,687.33,685.76,680.76,684.98
15,CN8,4G 1M 1M ,8,1,5374.0,7766.0,10552.0,12780.0,494.0,1327.0,605.73,5039.5,7606.8,7557.58,7605.78,7486.84,829.08,826.08,825.97,824.54
16,CN8,4G 1M 1M ,8,2,6259.0,9241.0,11993.0,14779.0,444.0,1299.0,588.02,4859.0,7677.34,7672.47,7649.93,7615.07,829.79,830.08,826.75,830.96
17,CN8,4G 1M 1M ,8,4,7733.0,11010.0,14222.0,17564.0,407.0,1253.0,563.53,4687.5,7658.62,7685.1,7664.81,7626.95,825.11,829.17,828.68,829.07
18,CN8,4G 1M 1M ,8,8,7013.0,10355.0,13763.0,17597.0,441.0,1239.0,617.3,5131.0,7720.16,7729.69,7744.1,7713.99,832.04,833.45,835.0,833.56
19,CN8,4G 1M 1M ,8,16,7897.0,11272.0,14287.0,17302.0,413.0,1180.0,565.67,4712.5,7951.41,7950.28,7882.55,7926.98,834.11,833.44,833.41,831.46
20,CN8,4G 1M 1M ,16,1,9175.0,11600.0,14353.0,17302.0,227.0,867.0,272.27,4526.5,8666.47,8666.33,8702.9,8647.85,932.04,931.49,933.42,932.54
21,CN8,4G 1M 1M ,16,2,10093.0,12387.0,15467.0,17040.0,214.0,941.0,286.37,4761.5,8924.6,8879.84,8876.26,8854.44,959.35,956.82,958.29,958.59
22,CN8,4G 1M 1M ,16,4,15401.0,19530.0,23200.0,26477.0,176.0,837.0,263.63,4396.5,8475.98,8567.49,8456.98,8493.67,907.31,908.63,908.5,908.64
23,CN8,4G 1M 1M ,16,8,16384.0,20841.0,25035.0,27787.0,167.0,829.0,249.26,4167.5,8438.05,8437.02,8356.33,8394.65,883.91,886.84,881.85,882.9
24,CN8,4G 1M 1M ,16,16,16450.0,20710.0,25690.0,29360.0,150.0,787.0,249.28,4159.5,8392.76,8377.27,8381.37,8308.71,861.37,860.98,862.03,862.16
25,CN8,4G 1M 1M ,32,1,13566.0,16188.0,19923.0,24118.0,106.0,629.0,123.74,4109.5,8716.81,8724.85,8771.59,8766.12,927.66,929.6,928.7,930.53
26,CN8,4G 1M 1M ,32,2,20316.0,23593.0,27132.0,30409.0,0.0,0.0,0.0,4059.5,8857.21,8796.37,8792.19,8782.44,929.89,929.38,930.08,931.01
27,CN8,4G 1M 1M ,32,4,31589.0,36700.0,41419.0,45089.0,0.0,0.0,0.0,4041.5,8704.15,8645.2,8671.69,8653.69,914.39,914.15,916.04,917.8
28,CN8,4G 1M 1M ,32,8,33162.0,38535.0,43778.0,50332.0,0.0,0.0,0.0,3908.5,8520.91,8451.92,8396.55,8434.47,877.66,876.39,875.3,877.45
29,CN8,4G 1M 1M ,32,16,34079.0,39584.0,44565.0,47973.0,0.0,0.0,0.0,3778.0,8343.91,8316.01,8251.25,8289.43,840.27,839.84,838.93,841.16
30,CN8,8G 1M 1M ,1,1,729.0,955.0,1696.0,2753.0,1374.0,1521.0,1462.09,1534.0,30.77,31.32,4008.95,3913.66,2.32,2.3,462.25,461.2
31,CN8,8G 1M 1M ,1,2,782.0,983.0,1131.0,2265.0,1305.0,1499.0,1448.41,1520.0,4276.19,2135.86,21.66,2211.71,458.89,230.26,2.29,233.54
32,CN8,8G 1M 1M ,1,4,754.0,967.0,1156.0,1917.0,1309.0,1525.0,1461.32,1532.5,2156.13,2119.43,2144.51,2154.3,230.23,229.75,229.81,230.61
33,CN8,8G 1M 1M ,1,8,803.0,1024.0,1286.0,1901.0,1236.0,1510.0,1443.28,1515.0,2170.45,2127.1,2144.89,2172.63,230.85,230.35,230.41,233.03
34,CN8,8G 1M 1M ,1,16,745.0,901.0,1671.0,1917.0,1327.0,1530.0,1473.37,1545.0,2116.23,2146.93,2145.23,2149.52,229.03,229.29,230.63,230.78
35,CN8,8G 1M 1M ,2,1,803.0,971.0,1352.0,1876.0,1254.0,1449.0,1394.45,2880.0,3894.42,3961.78,4081.8,3954.49,460.0,460.48,460.03,461.12
36,CN8,8G 1M 1M ,2,2,869.0,1041.0,1401.0,1942.0,1264.0,1410.0,1357.95,2805.0,6098.85,2128.77,2114.03,6135.15,686.38,230.43,229.65,688.65
37,CN8,8G 1M 1M ,2,4,865.0,1008.0,1237.0,1868.0,1230.0,1409.0,1353.91,2801.0,4194.93,4203.89,4240.59,4190.67,455.66,458.11,456.4,456.94
38,CN8,8G 1M 1M ,2,8,832.0,983.0,1368.0,1982.0,1296.0,1492.0,1410.35,2916.0,4193.77,4227.95,4264.99,4228.13,456.18,456.83,457.41,458.63
39,CN8,8G 1M 1M ,2,16,865.0,1016.0,1622.0,2740.0,1272.0,1408.0,1349.85,2797.5,4227.78,4246.63,4259.77,4215.85,456.41,456.19,459.16,459.28
40,CN8,8G 1M 1M ,4,1,1802.0,3621.0,6259.0,9831.0,1002.0,1497.0,1194.27,4969.0,7653.58,7681.1,7744.49,7747.91,830.66,829.36,830.55,834.5
41,CN8,8G 1M 1M ,4,2,1638.0,3924.0,8602.0,20349.0,779.0,1437.0,1135.7,4455.0,6831.06,6608.16,6588.85,6867.21,803.88,767.76,768.64,805.39
42,CN8,8G 1M 1M ,4,4,991.0,1765.0,3789.0,4936.0,1133.0,1399.0,1294.46,5284.5,8128.3,8060.22,8086.43,8205.98,875.55,875.76,876.4,885.2
43,CN8,8G 1M 1M ,4,8,1147.0,3498.0,7783.0,10224.0,916.0,1395.0,1192.42,4904.0,7696.89,7595.17,7661.28,7759.26,831.11,826.28,828.6,834.36
44,CN8,8G 1M 1M ,4,16,1237.0,4817.0,8782.0,12583.0,904.0,1404.0,1159.41,4739.0,7703.13,7736.19,7741.53,7753.96,828.37,833.54,833.59,831.36
45,CN8,8G 1M 1M ,8,1,5374.0,7668.0,10093.0,12059.0,492.0,1340.0,575.58,4808.5,8863.51,8926.44,8881.68,8945.49,957.49,959.53,959.46,961.43
46,CN8,8G 1M 1M ,8,2,6783.0,9699.0,12518.0,15074.0,433.0,1309.0,530.68,4434.5,8440.26,8490.67,8439.96,8540.49,905.84,905.91,907.75,910.7
47,CN8,8G 1M 1M ,8,4,7406.0,10486.0,13763.0,15925.0,429.0,1250.0,557.98,4653.0,8632.1,8664.42,8667.89,8662.43,931.54,931.14,930.61,930.84
48,CN8,8G 1M 1M ,8,8,7898.0,11272.0,15008.0,18088.0,411.0,1228.0,536.99,4483.5,8677.33,8656.39,8697.93,8736.2,931.02,928.65,932.14,933.86
49,CN8,8G 1M 1M ,8,16,8651.0,12125.0,16057.0,19268.0,369.0,1177.0,502.15,4197.0,8373.17,8392.6,8353.03,8363.58,882.64,883.94,883.61,884.61
50,CN8,8G 1M 1M ,16,1,9568.0,11994.0,14811.0,17564.0,217.0,851.0,254.63,4256.5,8922.55,8918.58,8919.06,8893.8,952.09,952.28,953.53,953.52
51,CN8,8G 1M 1M ,16,2,11076.0,13632.0,17040.0,21365.0,186.0,846.0,252.86,4228.0,8995.48,9003.01,8948.96,8912.97,953.14,953.56,951.38,952.77
52,CN8,8G 1M 1M ,16,4,16745.0,20841.0,24380.0,27001.0,156.0,821.0,239.8,4013.0,8751.58,8722.16,8713.09,8738.39,915.46,915.79,916.21,915.81
53,CN8,8G 1M 1M ,16,8,17171.0,21496.0,25559.0,28574.0,143.0,823.0,237.37,3976.0,8484.35,8512.22,8507.49,8473.58,890.59,892.07,893.19,891.54
54,CN8,8G 1M 1M ,16,16,17171.0,21496.0,25559.0,28574.0,149.0,817.0,233.56,3904.0,8526.91,8602.22,8611.59,8508.72,877.01,876.73,876.86,876.68
55,CN8,8G 1M 1M ,32,1,13960.0,16712.0,20054.0,23593.0,104.0,590.0,117.55,3930.5,8921.94,8919.83,8854.15,9000.67,931.67,931.71,931.7,933.19
56,CN8,8G 1M 1M ,32,2,20448.0,23855.0,27525.0,30540.0,0.0,0.0,0.0,3924.0,8929.44,9010.13,8969.1,8990.61,927.32,929.45,928.18,929.13
57,CN8,8G 1M 1M ,32,4,33882.0,39060.0,44041.0,47711.0,0.0,0.0,0.0,3779.5,8785.65,8832.95,8885.49,8724.56,898.82,899.8,901.29,900.25
58,CN8,8G 1M 1M ,32,8,33817.0,39322.0,44827.0,49545.0,0.0,0.0,0.0,3792.5,8787.21,8859.01,8819.66,8805.99,907.33,906.63,908.94,907.89
59,CN8,8G 1M 1M ,32,16,34079.0,39846.0,45351.0,49807.0,0.0,0.0,0.0,3730.0,8688.01,8809.33,8805.8,8883.88,879.4,880.18,880.64,882.87
60,CN8,16G 1M 1M ,1,1,725.0,947.0,1811.0,2786.0,1294.0,1505.0,1465.41,1537.0,50.38,5014.39,4988.44,52.96,4.16,593.02,592.17,4.17
61,CN8,16G 1M 1M ,1,2,738.0,910.0,1123.0,1688.0,1280.0,1535.0,1473.95,1545.5,2813.91,2797.52,2817.57,2797.26,300.57,299.93,300.42,300.82
62,CN8,16G 1M 1M ,1,4,709.0,865.0,1106.0,1925.0,1297.0,1492.0,1466.95,1539.0,2801.29,2742.3,2766.39,2809.76,298.5,298.74,297.49,299.1
63,CN8,16G 1M 1M ,1,8,701.0,820.0,1081.0,1811.0,1380.0,1536.0,1486.28,1559.0,2801.8,2793.8,2798.18,2801.08,298.3,298.91,299.38,298.56
64,CN8,16G 1M 1M ,1,16,725.0,914.0,1328.0,1778.0,1301.0,1491.0,1460.5,1532.5,2786.89,2809.57,2783.63,2812.11,296.43,299.32,297.83,296.99
65,CN8,16G 1M 1M ,2,1,779.0,905.0,1508.0,2167.0,1254.0,1463.0,1402.08,2916.0,4904.82,4882.02,4709.34,4734.98,556.63,556.97,553.89,554.49
66,CN8,16G 1M 1M ,2,2,766.0,852.0,1098.0,1598.0,1299.0,1480.0,1418.68,2964.0,5193.14,5166.17,5130.58,5197.1,555.19,556.58,555.12,555.22
67,CN8,16G 1M 1M ,2,4,848.0,979.0,1229.0,1860.0,1235.0,1413.0,1366.08,2853.5,5185.2,5173.77,5158.51,5238.0,554.87,555.39,555.41,557.2
68,CN8,16G 1M 1M ,2,8,844.0,988.0,1262.0,1835.0,1225.0,1408.0,1366.17,2850.5,5161.47,5174.24,5216.91,5273.88,554.56,555.63,556.57,555.96
69,CN8,16G 1M 1M ,2,16,857.0,988.0,1417.0,1876.0,1232.0,1414.0,1363.53,2836.5,5178.8,5126.83,5146.51,5240.18,555.42,555.19,556.89,558.25
70,CN8,16G 1M 1M ,4,1,1663.0,3261.0,5800.0,10945.0,994.0,1501.0,1181.34,4909.5,9312.44,9230.92,9245.78,9439.6,989.11,990.04,992.05,996.44
71,CN8,16G 1M 1M ,4,2,1655.0,4039.0,6849.0,9110.0,904.0,1438.0,1101.69,4515.5,8833.45,8758.03,8769.47,8785.72,930.5,931.88,932.22,934.15
72,CN8,16G 1M 1M ,4,4,1573.0,4850.0,8635.0,12124.0,851.0,1390.0,1074.55,4448.5,8588.35,8558.02,8540.17,8548.77,909.58,908.86,907.08,907.04
73,CN8,16G 1M 1M ,4,8,1508.0,4916.0,8864.0,12059.0,890.0,1404.0,1079.6,4434.5,8593.61,8475.38,8630.8,8609.1,907.08,909.99,909.88,913.7
74,CN8,16G 1M 1M ,4,16,1401.0,4367.0,8209.0,11338.0,879.0,1411.0,1114.22,4573.0,8661.67,8647.96,8571.33,8561.17,907.84,907.17,907.42,910.4
75,CN8,16G 1M 1M ,8,1,5735.0,8094.0,10552.0,13042.0,447.0,1366.0,521.45,4354.5,9476.14,9314.97,9343.51,9424.93,980.9,979.67,977.69,983.6
76,CN8,16G 1M 1M ,8,2,6882.0,9568.0,12518.0,14943.0,416.0,1314.0,504.85,4221.0,9129.67,9105.19,9071.53,9027.01,952.98,952.94,953.69,955.41
77,CN8,16G 1M 1M ,8,4,8307.0,11403.0,14811.0,17203.0,383.0,1251.0,504.18,4215.5,9103.62,9009.63,9023.67,8976.4,940.77,941.81,941.0,943.54
78,CN8,16G 1M 1M ,8,8,8536.0,11666.0,15270.0,18481.0,347.0,1221.0,493.11,4126.0,9016.24,8980.51,8974.86,8994.65,930.3,929.6,930.96,932.5
79,CN8,16G 1M 1M ,8,16,8438.0,11731.0,15467.0,18482.0,371.0,1193.0,496.12,4146.0,9097.1,9021.15,8931.41,9134.89,928.91,928.03,929.42,928.85
80,CN8,16G 1M 1M ,16,1,9634.0,12190.0,15204.0,18350.0,210.0,873.0,244.75,4096.5,9359.85,9388.2,9423.9,9414.11,973.02,972.08,974.32,976.07
81,CN8,16G 1M 1M ,16,2,11863.0,14615.0,18351.0,21234.0,177.0,872.0,233.46,3909.5,8948.39,9182.63,8999.86,9036.72,926.92,928.75,926.37,930.76
82,CN8,16G 1M 1M ,16,4,17171.0,21365.0,25428.0,29229.0,147.0,853.0,233.91,3909.0,9088.2,9141.24,9201.56,9124.06,927.96,928.6,931.56,931.37
83,CN8,16G 1M 1M ,16,8,17957.0,22414.0,27001.0,31458.0,137.0,799.0,224.64,3754.5,8942.79,9103.41,8861.83,8848.97,894.11,894.07,895.17,896.0
84,CN8,16G 1M 1M ,16,16,18088.0,22414.0,26870.0,30933.0,141.0,810.0,225.26,3764.0,8840.97,8891.24,9026.63,8845.08,901.25,902.09,902.1,901.48
85,CN8,16G 1M 1M ,32,1,14287.0,17171.0,20710.0,24773.0,50.0,307.0,57.51,3828.5,9499.28,9304.19,9865.28,9496.63,931.51,932.04,934.6,933.76
86,CN8,16G 1M 1M ,32,2,21758.0,25297.0,29098.0,33030.0,0.0,0.0,0.0,3718.5,9162.4,9055.17,9735.02,9794.0,909.91,910.37,910.92,912.66
87,CN8,16G 1M 1M ,32,4,35390.0,40895.0,46662.0,50594.0,0.0,0.0,0.0,3661.5,8935.7,9392.66,8893.73,9697.34,896.71,896.12,896.42,896.65
88,CN8,16G 1M 1M ,32,8,36701.0,42992.0,49021.0,54526.0,0.0,0.0,0.0,3561.0,8852.03,9587.11,8852.35,9454.21,876.33,873.4,876.23,874.66
89,CN8,16G 1M 1M ,32,16,36176.0,41943.0,47711.0,52953.0,0.0,0.0,0.0,3614.5,8848.01,9706.41,8932.58,9070.38,890.98,890.37,890.96,890.99
90,CN8,32G 1M 1M ,1,1,713.0,906.0,1967.0,4915.0,1224.0,1528.0,1475.57,1547.5,5503.77,5537.53,54.05,54.36,664.18,663.82,4.86,4.94
91,CN8,32G 1M 1M ,1,2,709.0,803.0,1067.0,1270.0,1336.0,1502.0,1474.59,1546.5,50.03,3350.34,6653.37,3217.81,4.92,339.29,673.23,339.72
92,CN8,32G 1M 1M ,1,4,721.0,828.0,1075.0,1524.0,1345.0,1528.0,1485.16,1557.5,3169.94,3237.09,3256.75,3175.02,336.73,336.94,336.74,337.27
93,CN8,32G 1M 1M ,1,8,717.0,824.0,1098.0,1704.0,1282.0,1547.0,1484.01,1556.0,3172.35,3172.78,3297.27,3176.57,338.22,338.34,336.86,337.27
94,CN8,32G 1M 1M ,1,16,709.0,828.0,1106.0,1753.0,1337.0,1518.0,1477.74,1550.0,3187.93,3165.43,3169.77,3236.43,336.65,338.3,336.83,337.02
95,CN8,32G 1M 1M ,2,1,824.0,922.0,1442.0,2069.0,1213.0,1457.0,1350.85,2814.5,5371.26,5400.66,5394.73,5426.66,620.63,603.53,600.3,620.37
96,CN8,32G 1M 1M ,2,2,955.0,1164.0,1475.0,2093.0,982.0,1417.0,1328.16,2761.0,2877.26,8093.38,8236.35,2871.01,303.47,902.68,902.43,304.9
