,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,4G 1M 1M 64 1,1,4,810.0,1021.0,1390.0,3070.0,1302.0,1518.0,1436.4,1510.0,1569.92,1572.27,1570.06,1572.45,196.4,196.44,196.39,196.41
1,CN7,4G 1M 1M 64 1,2,4,807.0,1074.0,1712.0,18481.0,1278.0,1462.0,1387.2,2893.67,2936.86,2935.49,2936.78,2937.38,366.85,366.9,366.84,366.89
2,CN7,4G 1M 1M 64 1,4,4,965.0,1155.0,1538.0,9320.0,1161.0,1333.0,1287.81,5257.67,5670.52,5672.82,5672.61,5670.67,708.18,708.24,708.18,708.21
3,CN7,4G 1M 1M 64 1,8,4,4156.0,5582.0,7701.0,57672.0,453.0,1122.0,659.4,5482.33,7177.69,7166.34,7176.94,7159.31,896.03,894.52,895.83,894.12
4,CN7,8G 1M 1M 64 1,1,4,747.0,837.0,1133.0,20491.0,1355.0,1548.0,1456.64,1527.67,1958.22,1957.27,1957.02,1958.28,244.59,244.62,244.58,244.61
5,CN7,8G 1M 1M 64 1,2,4,777.0,911.0,1232.0,33161.0,1233.0,1479.0,1401.65,2940.33,3779.7,3781.31,3781.17,3779.69,472.15,472.19,472.15,472.17
6,CN7,8G 1M 1M 64 1,4,4,976.0,1226.0,1944.0,61604.0,1038.0,1319.0,1258.12,5183.67,6851.57,6954.27,6848.19,6864.19,855.47,868.42,855.18,857.05
7,CN7,8G 1M 1M 64 1,8,4,4555.0,5887.0,7897.0,83362.0,378.0,1140.0,571.0,4766.0,7403.6,7410.9,7421.2,7435.51,924.33,925.18,926.48,928.32
8,CN7,16G 1M 1M 64 1,1,4,744.0,804.0,1080.0,17979.0,1335.0,1529.0,1447.18,1517.67,2376.21,2376.66,2376.81,2376.07,296.81,296.82,296.81,296.82
9,CN7,16G 1M 1M 64 1,2,4,772.0,878.0,1204.0,36963.0,1211.0,1483.0,1399.27,2931.67,4455.82,4455.69,4454.94,4455.34,556.4,556.4,556.39,556.38
10,CN7,16G 1M 1M 64 1,4,4,1401.0,1964.0,3468.0,66410.0,810.0,1334.0,1107.92,4537.0,7216.47,7211.16,7218.42,7202.24,901.12,900.47,901.27,899.35
11,CN7,16G 1M 1M 64 1,8,4,4752.0,6193.0,9110.0,95246.0,362.0,1128.0,530.55,4445.0,7671.65,7670.41,7669.63,7672.66,957.82,957.73,957.61,957.98
12,CN7,32G 1M 1M 64 1,1,4,717.0,807.0,1110.0,17629.0,1312.0,1539.0,1481.07,1554.0,2676.46,2676.08,2676.5,2676.21,334.21,334.22,334.21,334.2
13,CN7,32G 1M 1M 64 1,2,4,922.0,998.0,1155.0,43079.0,951.0,1460.0,1309.95,2736.0,4730.59,4730.57,4730.1,4729.81,590.69,590.68,590.68,590.67
14,CN7,32G 1M 1M 64 1,4,4,1559.0,2168.0,3741.0,72527.0,720.0,1306.0,1024.74,4280.67,7473.78,7478.44,7475.91,7480.11,933.27,933.8,933.48,934.02
15,CN7,32G 1M 1M 64 1,8,4,4795.0,6172.0,9066.0,113596.0,311.0,1132.0,514.07,4310.0,7860.31,7862.9,7863.63,7860.57,981.49,981.8,981.9,981.52
16,CN7,4G 1M 1M 64 4,1,4,799.0,991.0,1374.0,2420.0,1404.0,1520.0,1446.47,1520.67,1569.7,1569.99,1571.51,1569.95,196.38,196.43,196.37,196.42
17,CN7,4G 1M 1M 64 4,2,4,804.0,1046.0,1723.0,16668.0,1282.0,1497.0,1415.67,2965.33,2937.53,2937.82,2937.67,2937.95,366.95,366.99,366.94,366.99
18,CN7,4G 1M 1M 64 4,4,4,873.0,1079.0,1532.0,2805.0,1204.0,1357.0,1323.13,5508.33,5672.81,5671.44,5673.12,5670.34,708.27,708.32,708.28,708.3
19,CN7,4G 1M 1M 64 4,8,4,3752.0,4992.0,6761.0,38863.0,609.0,1166.0,844.1,6918.67,8357.33,8357.51,8357.72,8356.6,1043.27,1043.31,1043.28,1043.29
20,CN7,8G 1M 1M 64 4,1,4,791.0,962.0,1199.0,17476.0,1326.0,1519.0,1419.7,1491.67,1957.01,1958.35,1957.43,1958.8,244.63,244.66,244.64,244.69
21,CN7,8G 1M 1M 64 4,2,4,791.0,930.0,1231.0,48147.0,1111.0,1494.0,1381.56,2896.0,3780.97,3780.09,3781.21,3781.1,472.2,472.23,472.21,472.23
22,CN7,8G 1M 1M 64 4,4,4,848.0,1006.0,1292.0,79168.0,1072.0,1364.0,1308.99,5451.33,7425.57,7427.14,7425.77,7426.03,927.33,927.37,927.34,927.36
23,CN7,8G 1M 1M 64 4,8,4,4184.0,5385.0,9066.0,96993.0,484.0,1154.0,716.68,5980.33,9041.38,9041.33,9041.93,9041.73,1128.84,1128.85,1128.85,1128.88
24,CN7,16G 1M 1M 64 4,1,4,774.0,845.0,1088.0,18372.0,1302.0,1544.0,1430.08,1499.67,2376.81,2376.31,2377.12,2376.1,296.83,296.86,296.83,296.84
25,CN7,16G 1M 1M 64 4,2,4,785.0,870.0,1161.0,36613.0,1134.0,1492.0,1374.34,2881.33,4454.82,4455.83,4455.19,4455.63,556.41,556.43,556.43,556.42
26,CN7,16G 1M 1M 64 4,4,4,965.0,1128.0,1401.0,85109.0,884.0,1370.0,1255.84,5194.67,8278.26,8278.5,8278.8,8278.5,1033.67,1033.7,1033.7,1033.7
27,CN7,16G 1M 1M 64 4,8,4,4337.0,5712.0,9590.0,94896.0,446.0,1143.0,672.08,5624.33,9619.1,9617.33,9625.58,9622.36,1201.06,1200.93,1201.83,1201.47
