,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,4G 4M 4M ,1,1,3479.0,4309.0,4708.0,5932.0,322.0,376.0,354.13,1498.33,1991.94,2673.47,166.51,164.21,247.59,332.72,19.78,19.46
1,CN7,4G 4M 4M ,1,4,3151.0,4069.0,4571.0,5691.0,329.0,372.0,359.67,1513.0,2035.03,213.08,2035.12,2033.19,254.59,27.07,254.58,254.13
2,CN7,4G 4M 4M ,1,16,3108.0,4118.0,4577.0,5910.0,330.0,375.0,357.87,1508.67,212.8,2035.41,2035.0,2032.96,27.04,254.63,254.58,254.12
3,CN7,4G 4M 4M ,2,1,3152.0,4080.0,4970.0,5778.0,314.0,357.0,341.45,2817.33,3858.46,3858.68,2035.05,2031.96,482.15,482.18,254.58,254.14
4,CN7,4G 4M 4M ,2,4,3195.0,4069.0,4882.0,5975.0,304.0,352.0,335.8,2775.33,2036.02,2036.18,3858.22,3855.85,254.62,254.65,482.13,481.7
5,CN7,4G 4M 4M ,2,16,3206.0,4080.0,4905.0,5887.0,311.0,356.0,340.09,2812.33,3857.34,3860.07,2035.83,2031.96,482.15,482.18,254.6,254.14
6,CN7,4G 4M 4M ,4,1,3130.0,4184.0,5691.0,11382.0,299.0,345.0,329.54,5481.0,5680.74,5680.74,5679.99,5677.23,709.75,709.76,709.7,709.27
7,CN7,4G 4M 4M ,4,4,3206.0,4129.0,5713.0,7799.0,285.0,345.0,320.06,5296.67,5682.75,5682.57,5682.11,5678.85,709.75,709.76,709.75,709.3
8,CN7,4G 4M 4M ,4,16,3151.0,4200.0,5385.0,6882.0,292.0,346.0,324.09,5384.67,5680.59,5680.81,5680.95,5677.69,709.74,709.76,709.7,709.25
9,CN7,4G 4M 4M ,8,1,7963.0,9153.0,10508.0,21867.0,166.0,302.0,216.6,7126.0,8509.01,8529.18,8583.19,8517.65,1062.76,1065.2,1072.02,1063.79
10,CN7,4G 4M 4M ,8,4,7919.0,9197.0,11906.0,20054.0,160.0,296.0,214.53,7057.33,8361.63,8363.8,8360.49,8358.55,1044.33,1044.37,1044.32,1044.01
11,CN7,4G 4M 4M ,8,16,7854.0,9066.0,10377.0,36985.0,159.0,300.0,215.57,7067.67,8363.78,8361.86,8363.3,8360.98,1044.36,1044.41,1044.33,1044.0
12,CN7,4G 4M 4M ,16,1,5046.0,6248.0,23243.0,27088.0,0.0,0.0,0.0,6072.67,9225.19,9245.57,9247.98,9237.47,1152.04,1154.53,1154.84,1153.5
13,CN7,4G 4M 4M ,16,4,14964.0,18306.0,57235.0,71565.0,0.0,0.0,0.0,6126.33,8833.92,8833.56,8833.69,8831.83,1103.18,1103.17,1103.16,1102.95
14,CN7,4G 4M 4M ,16,16,15095.0,18394.0,57060.0,67895.0,0.0,0.0,0.0,6094.0,9007.49,9009.55,9015.55,9017.55,1124.74,1124.86,1125.72,1125.95
15,CN7,8G 4M 4M ,1,1,3010.0,4047.0,4795.0,37137.0,317.0,372.0,356.03,1493.33,2894.21,160.5,2893.4,2890.75,361.64,20.34,361.64,361.29
16,CN7,8G 4M 4M ,1,4,2987.0,3752.0,4729.0,36613.0,333.0,379.0,361.67,1519.0,160.17,2894.08,2893.28,2890.96,20.31,361.69,361.63,361.29
17,CN7,8G 4M 4M ,1,16,2878.0,3785.0,4708.0,44302.0,328.0,382.0,364.61,1530.67,2894.91,2894.28,2893.77,157.71,361.66,361.69,361.64,19.96
18,CN7,8G 4M 4M ,2,1,3086.0,3861.0,4882.0,39933.0,310.0,365.0,344.44,2838.67,5001.74,2572.62,2572.77,4999.62,624.87,321.5,321.46,624.56
19,CN7,8G 4M 4M ,2,4,3097.0,3774.0,4883.0,41506.0,302.0,364.0,343.16,2849.0,2571.89,5004.1,5002.51,2569.7,321.46,624.93,624.86,321.15
20,CN7,8G 4M 4M ,2,16,3108.0,3632.0,4729.0,36438.0,304.0,360.0,341.88,2825.67,5003.15,2573.74,2572.63,5000.93,624.87,321.51,321.45,624.56
21,CN7,8G 4M 4M ,4,1,3119.0,3719.0,5232.0,58371.0,280.0,360.0,323.96,5331.33,7432.31,7432.55,7432.85,7430.86,928.33,928.34,928.31,928.04
22,CN7,8G 4M 4M ,4,4,3140.0,3785.0,5560.0,53041.0,279.0,353.0,324.86,5309.67,7432.1,7432.42,7432.05,7429.95,928.32,928.34,928.31,928.01
23,CN7,8G 4M 4M ,4,16,3075.0,3676.0,5385.0,57585.0,287.0,356.0,327.72,5415.33,7429.04,7429.22,7429.34,7427.26,927.86,927.87,927.87,927.57
24,CN7,8G 4M 4M ,8,1,8269.0,9546.0,19661.0,75061.0,139.0,302.0,188.12,6252.67,9414.23,9409.46,9407.94,9404.57,1175.72,1175.05,1174.9,1174.46
25,CN7,8G 4M 4M ,8,4,8422.0,9590.0,33227.0,68507.0,144.0,293.0,184.95,6147.67,9255.69,9256.15,9255.39,9253.77,1155.71,1155.75,1155.71,1155.49
26,CN7,8G 4M 4M ,8,16,8389.0,9590.0,17214.0,67546.0,138.0,298.0,185.64,6174.33,8831.89,8833.23,8833.02,8831.29,1103.02,1103.08,1103.06,1102.86
27,CN7,8G 4M 4M ,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5750.0,9768.15,9768.64,9768.08,9767.14,1219.76,1219.78,1219.76,1219.64
28,CN7,8G 4M 4M ,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5704.67,9651.01,9651.73,9651.08,9650.5,1205.11,1205.15,1205.1,1205.02
