,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN8,4G 1M 1M ,1,1,929.0,1127.0,1808.0,3343.0,1277.0,1480.0,1411.2,1493.33,2259.06,236.88,2162.11,2209.53,248.32,18.98,245.48,247.5
1,CN8,4G 1M 1M ,1,2,842.0,1037.0,1172.0,1977.0,1344.0,1498.0,1433.07,1509.33,1239.27,1253.79,2319.55,2283.27,133.29,133.3,248.31,246.82
2,CN8,4G 1M 1M ,1,4,791.0,1003.0,1188.0,2015.0,1350.0,1519.0,1452.07,1529.33,1646.82,1679.37,1716.58,1661.59,180.19,180.72,181.42,179.88
3,CN8,4G 1M 1M ,1,8,829.0,1032.0,1674.0,2105.0,1349.0,1499.0,1437.47,1515.0,1736.49,1783.77,1804.64,1756.59,189.12,189.3,190.16,188.32
4,CN8,4G 1M 1M ,1,16,832.0,1049.0,1669.0,1961.0,1349.0,1485.0,1423.67,1501.33,1732.56,1783.45,1800.65,1751.71,188.59,189.35,190.19,188.29
5,CN8,4G 1M 1M ,2,1,804.0,1040.0,1516.0,2026.0,1306.0,1463.0,1416.67,2949.0,2169.9,4122.3,4068.68,2211.33,245.71,474.94,470.19,247.79
6,CN8,4G 1M 1M ,2,2,807.0,987.0,1161.0,1994.0,1288.0,1452.0,1404.2,2933.0,3321.22,3345.75,3348.07,3321.54,360.55,361.73,361.24,360.3
7,CN8,4G 1M 1M ,2,4,818.0,990.0,1292.0,2179.0,1321.0,1418.0,1390.2,2911.33,3313.13,3373.44,3314.31,3327.39,359.46,360.65,358.61,359.28
8,CN8,4G 1M 1M ,2,8,831.0,1031.0,1641.0,2264.0,1278.0,1473.0,1402.36,2920.67,3297.39,3348.54,3320.84,3377.54,359.08,359.22,359.78,360.28
9,CN8,4G 1M 1M ,2,16,854.0,1091.0,1723.0,2438.0,1279.0,1414.0,1368.75,2851.33,3282.0,3359.86,3301.78,3374.82,358.78,360.16,358.7,360.8
10,CN8,4G 1M 1M ,4,1,812.0,993.0,1199.0,1620.0,1324.0,1501.0,1436.15,5891.0,6420.83,6527.31,6543.62,6479.83,704.36,704.1,707.71,705.81
11,CN8,4G 1M 1M ,4,2,927.0,1144.0,1483.0,1816.0,1232.0,1472.0,1373.8,5525.67,6367.25,6527.57,6480.77,6414.98,698.69,702.98,702.61,702.04
12,CN8,4G 1M 1M ,4,4,968.0,1171.0,1565.0,2824.0,1186.0,1387.0,1320.15,5308.33,6429.79,6557.5,6550.47,6502.51,702.71,708.54,707.83,704.7
13,CN8,4G 1M 1M ,4,8,1004.0,1254.0,1961.0,3659.0,1182.0,1371.0,1305.58,5298.33,6482.93,6564.86,6569.23,6477.88,705.38,709.24,707.43,707.36
14,CN8,4G 1M 1M ,4,16,1015.0,1346.0,2406.0,3900.0,1146.0,1364.0,1298.71,5312.67,6525.74,6595.23,6599.15,6564.02,705.66,707.54,705.08,703.65
15,CN8,4G 1M 1M ,8,1,4817.0,8280.0,10945.0,13697.0,531.0,1352.0,667.16,5537.67,8605.42,8596.49,8649.29,8678.39,929.88,932.48,932.64,931.85
16,CN8,4G 1M 1M ,8,2,4751.0,8061.0,10683.0,13260.0,515.0,1319.0,676.64,5595.67,8606.12,8601.82,8661.13,8668.94,933.0,933.94,931.83,933.09
17,CN8,4G 1M 1M ,8,4,5756.0,9590.0,13348.0,15947.0,494.0,1268.0,629.7,5224.33,7984.67,8040.98,8165.99,7952.24,871.85,870.28,871.82,870.88
18,CN8,4G 1M 1M ,8,8,5647.0,9503.0,13435.0,16362.0,501.0,1245.0,644.54,5341.67,8396.05,8281.8,8348.27,8351.99,905.13,901.75,899.15,902.28
19,CN8,4G 1M 1M ,8,16,6172.0,9852.0,13260.0,16690.0,486.0,1209.0,611.42,5072.0,8005.97,8130.32,7920.9,8035.5,840.35,841.86,839.59,843.65
20,CN8,4G 1M 1M ,16,1,8891.0,11775.0,14920.0,17498.0,248.0,855.0,301.5,5027.0,9271.81,9294.1,9331.24,9286.7,1001.69,1003.66,1001.35,1006.97
21,CN8,4G 1M 1M ,16,2,9153.0,11731.0,14833.0,17193.0,241.0,852.0,299.39,4994.0,9334.75,9339.71,9480.03,9381.4,1006.53,1005.31,1005.08,1009.55
22,CN8,4G 1M 1M ,16,4,12998.0,17411.0,21977.0,24947.0,246.0,868.0,291.97,4885.67,9208.83,9170.27,9317.61,9246.23,989.63,989.2,988.51,991.18
23,CN8,4G 1M 1M ,16,8,13216.0,17345.0,21365.0,24773.0,244.0,847.0,288.52,4823.33,9411.99,9439.3,9452.61,9553.99,988.82,989.55,989.84,989.96
24,CN8,4G 1M 1M ,16,16,13785.0,18132.0,22763.0,26433.0,232.0,823.0,274.21,4593.33,9596.36,9071.48,9193.65,9221.6,937.42,936.2,935.06,935.63
