,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,4G 1M 1M 2048 1,1,4,982.0,1172.0,1767.0,4200.0,1285.0,1469.0,1375.09,1451.0,1617.35,1622.46,1616.81,1615.37,202.23,202.34,202.28,201.9
1,CN7,4G 1M 1M 2048 1,2,4,1067.0,1538.0,1947.0,6155.0,1208.0,1366.0,1313.83,2742.0,2983.29,2985.12,2988.09,2982.04,372.91,373.0,372.97,372.57
2,CN7,4G 1M 1M 2048 1,4,4,1194.0,1467.0,1849.0,3463.0,1090.0,1268.0,1207.72,4999.0,5721.63,5720.12,5719.81,5717.03,714.28,714.35,714.31,713.93
3,CN7,4G 1M 1M 2048 1,8,4,3228.0,10988.0,17870.0,47798.0,490.0,1163.0,729.56,6025.67,7674.67,7794.02,7685.2,7618.35,958.09,973.0,959.42,951.05
4,CN7,8G 1M 1M 2048 1,1,4,946.0,1111.0,1674.0,11120.0,1255.0,1464.0,1399.33,1471.0,1989.06,1990.39,1989.18,1988.67,248.63,248.69,248.64,248.39
5,CN7,8G 1M 1M 2048 1,2,4,1053.0,1543.0,1920.0,21015.0,1210.0,1354.0,1316.17,2755.67,3811.83,3812.46,3812.95,3809.67,476.17,476.23,476.21,475.95
6,CN7,8G 1M 1M 2048 1,4,4,1204.0,1483.0,1816.0,28290.0,1087.0,1288.0,1210.04,5026.33,6960.62,6961.18,6960.91,6961.28,869.24,869.27,869.27,869.04
7,CN7,8G 1M 1M 2048 1,8,4,5581.0,11950.0,18307.0,40152.0,460.0,1171.0,640.73,5334.33,8297.34,8296.85,8297.16,8294.8,1035.92,1035.93,1035.93,1035.76
8,CN7,16G 1M 1M 2048 1,1,4,884.0,1073.0,1423.0,9688.0,1195.0,1472.0,1424.51,1495.33,2450.83,2450.85,2450.95,2449.67,306.14,306.19,306.15,306.01
9,CN7,16G 1M 1M 2048 1,2,4,1058.0,1576.0,1876.0,18765.0,1185.0,1349.0,1310.71,2746.67,4287.91,4289.31,4287.65,4288.46,535.52,535.56,535.53,535.4
10,CN7,16G 1M 1M 2048 1,4,4,1308.0,1614.0,1980.0,32681.0,862.0,1272.0,1152.35,4743.0,7664.03,7663.66,7664.63,7662.38,956.94,956.97,956.97,956.8
11,CN7,16G 1M 1M 2048 1,8,4,6390.0,12780.0,19530.0,79867.0,396.0,1161.0,592.86,4947.0,8514.23,8514.8,8514.73,8513.82,1063.13,1063.15,1063.14,1063.05
12,CN7,32G 1M 1M 2048 1,1,4,851.0,1041.0,1259.0,9754.0,1249.0,1503.0,1447.31,1517.67,2615.76,2616.36,2616.28,2615.48,326.69,326.72,326.72,326.63
13,CN7,32G 1M 1M 2048 1,2,4,1357.0,1816.0,2234.0,20666.0,837.0,1382.0,1235.37,2584.67,4475.88,4475.42,4475.62,4474.79,558.85,558.88,558.87,558.79
14,CN7,32G 1M 1M 2048 1,4,4,1385.0,1690.0,2092.0,36613.0,769.0,1305.0,1110.97,4588.67,7998.61,7999.05,7998.99,7998.06,998.8,998.83,998.82,998.75
15,CN7,32G 1M 1M 2048 1,8,4,6717.0,12911.0,22676.0,49021.0,412.0,1172.0,576.03,4812.33,8773.03,8770.46,8772.3,8769.83,1095.43,1095.09,1095.3,1094.98
16,CN7,4G 1M 1M 2048 4,1,4,1012.0,1199.0,1947.0,3812.0,1239.0,1445.0,1351.3,1423.33,1616.42,1617.34,1618.16,1615.14,202.22,202.31,202.27,201.89
17,CN7,4G 1M 1M 2048 4,2,4,1079.0,1526.0,1999.0,6838.0,1191.0,1342.0,1303.0,2713.67,2986.03,2985.75,2985.38,2982.78,372.99,373.08,373.04,372.66
18,CN7,4G 1M 1M 2048 4,4,4,1210.0,1565.0,1999.0,7176.0,1106.0,1301.0,1235.94,5127.67,5447.27,5451.61,5449.87,5447.31,680.32,680.44,680.38,680.01
19,CN7,4G 1M 1M 2048 4,8,4,1953.0,9546.0,22326.0,55531.0,574.0,1167.0,827.87,6791.33,8392.24,8390.94,8392.21,8391.47,1047.79,1047.84,1047.83,1047.55
20,CN7,8G 1M 1M 2048 4,1,4,916.0,1090.0,1483.0,11469.0,1287.0,1514.0,1440.0,1511.67,1989.78,1993.33,1990.6,1988.35,248.66,248.75,248.71,248.46
21,CN7,8G 1M 1M 2048 4,2,4,1083.0,1559.0,1915.0,20841.0,1168.0,1356.0,1292.55,2702.33,3812.04,3812.77,3815.41,3811.98,476.24,476.29,476.28,476.02
22,CN7,8G 1M 1M 2048 4,4,4,1215.0,1576.0,1958.0,42205.0,1112.0,1295.0,1239.6,5157.67,6713.37,6712.53,6713.78,6710.75,838.23,838.28,838.28,838.05
23,CN7,8G 1M 1M 2048 4,8,4,2430.0,12911.0,26346.0,76459.0,485.0,1150.0,713.87,5936.33,8984.79,8920.36,8939.93,8935.32,1121.77,1113.67,1116.12,1115.54
24,CN7,16G 1M 1M 2048 4,1,4,873.0,1062.0,1395.0,11906.0,1186.0,1514.0,1437.45,1508.33,2397.07,2396.71,2396.68,2395.95,299.38,299.4,299.38,299.23
25,CN7,16G 1M 1M 2048 4,2,4,1052.0,1581.0,1887.0,18372.0,1188.0,1372.0,1314.18,2753.67,4195.07,4195.58,4195.49,4194.39,523.92,523.95,523.92,523.79
26,CN7,16G 1M 1M 2048 4,4,4,1346.0,1701.0,2138.0,42031.0,898.0,1308.0,1183.49,4900.0,7971.24,7972.56,7970.83,7971.22,995.33,995.37,995.34,995.22
27,CN7,16G 1M 1M 2048 4,8,4,3512.0,13916.0,27656.0,52516.0,502.0,1149.0,667.39,5566.67,9428.44,9427.98,9428.15,9427.09,1177.19,1177.2,1177.19,1177.1
28,CN7,32G 1M 1M 2048 4,1,4,854.0,1040.0,1270.0,9547.0,1241.0,1532.0,1450.77,1522.0,2650.42,2650.15,2650.49,2649.61,330.98,330.99,330.99,330.9
29,CN7,32G 1M 1M 2048 4,2,4,1417.0,1931.0,2387.0,20142.0,815.0,1409.0,1230.83,2577.33,4475.68,4476.49,4475.69,4475.96,558.88,558.89,558.88,558.81
30,CN7,32G 1M 1M 2048 4,4,4,1412.0,1767.0,2234.0,40108.0,844.0,1322.0,1142.22,4739.67,8248.33,8247.71,8248.55,8247.38,1029.92,1029.93,1029.94,1029.85
31,CN7,32G 1M 1M 2048 4,8,4,3796.0,13173.0,29317.0,82925.0,402.0,1173.0,658.2,5496.0,9932.42,9932.84,9933.04,9932.49,1240.23,1240.25,1240.26,1240.2
32,CN7,4G 1M 1M 2048 8,1,4,1021.0,1194.0,1865.0,3091.0,1230.0,1518.0,1364.44,1442.0,1619.52,1620.39,1619.08,1616.49,202.5,202.59,202.55,202.17
33,CN7,4G 1M 1M 2048 8,2,4,1073.0,1549.0,1953.0,3867.0,1212.0,1353.0,1316.06,2755.33,2987.84,2986.17,2985.97,2985.54,373.06,373.14,373.11,372.73
34,CN7,4G 1M 1M 2048 8,4,4,1204.0,1565.0,1969.0,9055.0,1128.0,1283.0,1229.3,5017.33,5721.07,5721.22,5721.08,5718.37,714.41,714.51,714.47,714.08
35,CN7,4G 1M 1M 2048 8,8,4,1881.0,9055.0,25647.0,33205.0,571.0,1151.0,851.28,6961.33,8392.51,8395.47,8395.61,8393.58,1047.87,1047.98,1047.95,1047.66
36,CN7,8G 1M 1M 2048 8,1,4,947.0,1128.0,1571.0,10540.0,1199.0,1510.0,1417.58,1488.33,1990.46,1990.31,1990.36,1989.33,248.73,248.79,248.76,248.5
37,CN7,8G 1M 1M 2048 8,2,4,1046.0,1488.0,1876.0,23637.0,1201.0,1384.0,1323.86,2767.0,3813.35,3813.31,3813.51,3810.93,476.27,476.34,476.32,476.06
38,CN7,8G 1M 1M 2048 8,4,4,1226.0,1549.0,1947.0,36569.0,1071.0,1295.0,1236.65,5154.67,6712.79,6714.18,6715.59,6713.71,838.29,838.33,838.34,838.11
39,CN7,8G 1M 1M 2048 8,8,4,2168.0,11862.0,27394.0,50594.0,539.0,1168.0,737.96,6150.0,9061.98,9061.32,9061.1,9060.84,1131.39,1131.41,1131.39,1131.24
40,CN7,16G 1M 1M 2048 8,1,4,876.0,1062.0,1352.0,10158.0,1250.0,1505.0,1433.27,1504.33,2396.58,2398.5,2399.11,2395.83,299.38,299.44,299.44,299.27
41,CN7,16G 1M 1M 2048 8,2,4,1074.0,1554.0,1865.0,16733.0,1172.0,1411.0,1318.6,2764.0,4381.58,4382.88,4381.39,4381.21,547.21,547.27,547.23,547.1
42,CN7,16G 1M 1M 2048 8,4,4,1357.0,1723.0,2245.0,37662.0,891.0,1300.0,1186.34,4900.67,7807.01,7806.76,7805.71,7806.19,974.81,974.84,974.77,974.69
43,CN7,16G 1M 1M 2048 8,8,4,2605.0,13435.0,30802.0,64138.0,394.0,1157.0,691.53,5779.33,9777.07,9777.47,9777.25,9776.83,1220.79,1220.82,1220.8,1220.72
44,CN7,32G 1M 1M 2048 8,1,4,881.0,1060.0,1281.0,9383.0,1234.0,1563.0,1452.4,1523.0,2615.79,2616.48,2616.32,2615.97,326.73,326.76,326.76,326.67
45,CN7,32G 1M 1M 2048 8,2,4,1428.0,1898.0,2398.0,20142.0,818.0,1394.0,1228.24,2564.0,4475.45,4475.58,4475.9,4475.24,558.89,558.9,558.9,558.83
46,CN7,32G 1M 1M 2048 8,4,4,1455.0,1827.0,2310.0,40458.0,860.0,1304.0,1127.99,4709.0,8247.85,8248.88,8247.84,8248.11,1029.92,1029.95,1029.93,1029.88
47,CN7,32G 1M 1M 2048 8,8,4,2780.0,14178.0,32025.0,87644.0,446.0,1168.0,670.93,5598.67,10123.6,10123.37,10123.7,10123.15,1264.04,1264.04,1264.04,1263.99
48,CN7,4G 1M 1M 2048 16,1,4,1037.0,1204.0,1936.0,3463.0,1194.0,1471.0,1361.93,1440.33,1542.25,1542.79,1542.49,1540.85,192.93,193.01,192.97,192.61
49,CN7,4G 1M 1M 2048 16,2,4,1079.0,1582.0,1958.0,7761.0,1206.0,1360.0,1314.11,2741.33,2986.2,2989.48,2989.83,2986.41,373.15,373.24,373.22,372.82
50,CN7,4G 1M 1M 2048 16,4,4,1161.0,1538.0,1999.0,9787.0,1145.0,1309.0,1253.5,5213.67,5725.2,5722.53,5721.66,5719.8,714.53,714.58,714.54,714.16
51,CN7,4G 1M 1M 2048 16,8,4,1794.0,9940.0,28836.0,38885.0,568.0,1163.0,845.46,6936.33,8347.54,8341.49,8332.21,8363.77,1042.27,1041.32,1040.28,1044.09
52,CN7,8G 1M 1M 2048 16,1,4,889.0,1073.0,1499.0,8132.0,1286.0,1496.0,1455.63,1527.0,1992.65,1990.78,1989.45,1987.87,248.67,248.72,248.69,248.44
