,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,1M,1,1,0.0,0.0,0.0,0.0,0.0,0.0,626.65,396.09,0.37,0.18,0.17,0.17,1.02,1.02,1.02,1.02
1,CN7,1M,1,4,0.0,0.0,0.0,0.0,0.0,0.0,661.36,409.58,2.27,0.18,0.17,1.97,1.02,1.02,1.02,1.02
2,CN7,1M,1,16,0.0,0.0,0.0,0.0,0.0,0.0,686.31,420.98,0.37,1.98,0.37,0.17,1.02,1.02,1.02,1.02
3,CN7,1M,2,1,0.0,0.0,0.0,0.0,0.0,0.0,329.55,284.87,1.07,1.08,2.17,0.07,1.12,1.12,1.22,1.02
4,CN7,1M,2,4,0.0,0.0,0.0,0.0,0.0,0.0,342.91,294.85,0.07,0.08,0.07,1.87,1.02,1.02,1.02,1.22
5,CN7,1M,2,16,0.0,0.0,0.0,0.0,0.0,0.0,341.3,294.03,0.97,1.78,2.77,0.07,1.12,1.12,1.12,1.02
6,CN7,1M,4,1,0.0,0.0,0.0,0.0,0.0,0.0,633.48,550.24,2.58,1.18,0.97,0.97,1.13,1.12,1.12,1.12
7,CN7,1M,4,4,0.0,0.0,0.0,0.0,0.0,0.0,638.26,554.91,0.07,0.28,0.97,0.87,1.02,1.02,1.12,1.02
8,CN7,1M,4,16,0.0,0.0,0.0,0.0,0.0,0.0,644.24,559.81,0.07,0.88,0.37,0.27,1.02,1.02,1.02,1.02
9,CN7,1M,8,1,0.0,0.0,0.0,0.0,0.0,0.0,1115.52,982.92,0.87,0.08,0.07,0.87,1.02,1.02,1.02,1.02
10,CN7,1M,8,4,0.0,0.0,0.0,0.0,0.0,0.0,1128.77,993.96,0.87,0.28,0.07,0.87,1.02,1.02,1.02,1.02
11,CN7,1M,8,16,0.0,0.0,0.0,0.0,0.0,0.0,1142.26,1005.17,0.07,0.88,0.47,0.07,1.02,1.02,1.02,1.02
12,CN7,1M,16,1,0.0,0.0,0.0,0.0,0.0,0.0,1427.13,1303.91,0.87,0.08,0.07,0.27,1.02,1.02,1.02,1.02
13,CN7,1M,16,4,0.0,0.0,0.0,0.0,0.0,0.0,1322.67,1208.8,0.07,0.88,0.07,1.07,1.02,1.02,1.02,1.02
14,CN7,1M,16,16,0.0,0.0,0.0,0.0,0.0,0.0,1231.95,1114.57,1.77,0.08,0.97,0.87,1.12,1.02,1.12,1.02
15,CN7,1M,32,1,0.0,0.0,0.0,0.0,0.0,0.0,623.47,610.33,10.25,11.65,13.78,11.12,1.74,1.78,2.19,1.87
16,CN7,1M,32,4,0.0,0.0,0.0,0.0,0.0,0.0,604.86,590.09,13.65,12.58,13.05,12.98,2.28,1.99,2.28,2.09
17,CN7,1M,32,16,0.0,0.0,0.0,0.0,0.0,0.0,623.56,570.82,15.92,1.18,0.65,12.45,2.45,0.75,0.75,2.06
18,CN7,1M,64,1,0.0,0.0,0.0,0.0,0.0,0.0,692.15,684.06,26.59,34.94,14.39,11.69,3.71,4.75,2.12,1.84
19,CN7,1M,64,4,0.0,0.0,0.0,0.0,0.0,0.0,773.46,715.6,0.59,21.54,29.99,22.49,0.56,3.16,3.84,3.27
20,CN7,1M,64,16,0.0,0.0,0.0,0.0,0.0,0.0,768.68,732.73,10.09,10.94,7.99,51.34,1.56,1.81,1.33,6.91
21,CN7,2M,1,1,0.0,0.0,0.0,0.0,0.0,0.0,410.34,593.39,0.08,0.09,0.08,0.89,1.02,1.02,1.02,1.02
22,CN7,2M,1,4,0.0,0.0,0.0,0.0,0.0,0.0,401.89,583.97,0.08,0.29,0.08,0.09,1.01,1.02,1.01,1.02
23,CN7,2M,1,16,0.0,0.0,0.0,0.0,0.0,0.0,404.88,585.25,0.28,0.99,0.08,0.09,1.01,1.03,1.01,1.02
24,CN7,2M,2,1,0.0,0.0,0.0,0.0,0.0,0.0,201.98,367.58,1.28,0.09,0.08,1.39,1.03,1.01,1.01,1.03
25,CN7,2M,2,4,0.0,0.0,0.0,0.0,0.0,0.0,207.37,377.19,0.08,0.89,0.08,0.89,1.01,1.01,1.01,1.01
26,CN7,2M,2,16,0.0,0.0,0.0,0.0,0.0,0.0,202.78,369.08,0.08,0.09,0.08,0.09,1.01,1.01,1.01,1.01
27,CN7,2M,4,1,0.0,0.0,0.0,0.0,0.0,0.0,385.21,703.77,0.89,0.09,0.08,0.89,1.01,1.01,1.01,1.01
28,CN7,2M,4,4,0.0,0.0,0.0,0.0,0.0,0.0,385.11,703.42,0.09,0.09,0.48,0.89,1.01,1.01,1.01,1.01
29,CN7,2M,4,16,0.0,0.0,0.0,0.0,0.0,0.0,378.66,686.55,0.09,0.89,0.08,0.09,1.01,1.01,1.01,1.01
30,CN7,2M,8,1,0.0,0.0,0.0,0.0,0.0,0.0,628.27,1166.23,0.09,0.89,0.08,0.29,1.01,1.01,1.01,1.01
31,CN7,2M,8,4,0.0,0.0,0.0,0.0,0.0,0.0,625.21,1153.84,1.69,0.09,0.08,0.89,1.02,1.01,1.01,1.01
32,CN7,2M,8,16,0.0,0.0,0.0,0.0,0.0,0.0,575.45,1074.17,0.09,0.29,0.38,0.89,1.01,1.01,1.01,1.01
33,CN7,2M,16,1,0.0,0.0,0.0,0.0,0.0,0.0,702.58,1339.67,0.29,0.89,13.28,0.09,1.01,1.01,2.58,1.01
34,CN7,2M,16,4,0.0,0.0,0.0,0.0,0.0,0.0,698.75,1326.63,1.89,0.89,0.09,1.69,1.21,1.01,1.01,1.02
35,CN7,2M,16,16,0.0,0.0,0.0,0.0,0.0,0.0,754.91,1425.83,0.89,0.29,13.59,0.09,1.01,1.01,2.59,1.01
36,CN7,2M,32,1,0.0,0.0,0.0,0.0,0.0,0.0,436.56,851.78,18.92,14.39,32.32,2.92,2.57,2.05,4.2,0.81
37,CN7,2M,32,4,0.0,0.0,0.0,0.0,0.0,0.0,457.26,899.76,13.73,18.99,11.72,28.19,2.18,2.76,2.06,3.99
38,CN7,2M,32,16,0.0,0.0,0.0,0.0,0.0,0.0,454.54,897.72,32.53,13.39,27.93,10.99,4.23,2.19,4.1,1.89
39,CN7,2M,64,1,0.0,0.0,0.0,0.0,0.0,0.0,511.65,1019.97,29.99,60.69,12.74,42.09,3.43,6.4,2.06,5.38
40,CN7,2M,64,4,0.0,0.0,0.0,0.0,0.0,0.0,535.39,1047.13,49.49,24.85,63.04,51.6,6.55,3.22,6.46,6.9
41,CN7,2M,64,16,0.0,0.0,0.0,0.0,0.0,0.0,619.85,1235.12,23.75,38.8,26.9,56.6,3.4,5.19,3.72,7.5
42,CN7,4M,1,1,0.0,0.0,0.0,0.0,0.0,0.0,221.08,730.51,0.1,0.1,0.1,0.9,1.01,1.01,1.01,1.01
43,CN7,4M,1,4,0.0,0.0,0.0,0.0,0.0,0.0,227.48,747.04,0.9,0.3,0.1,0.1,1.01,1.01,1.01,1.01
44,CN7,4M,1,16,0.0,0.0,0.0,0.0,0.0,0.0,231.71,759.87,0.9,0.9,0.1,0.9,1.01,1.01,1.01,1.01
45,CN7,4M,2,1,0.0,0.0,0.0,0.0,0.0,0.0,115.57,437.41,0.9,0.9,0.1,0.9,1.01,1.01,1.01,1.01
46,CN7,4M,2,4,0.0,0.0,0.0,0.0,0.0,0.0,112.37,425.91,0.9,0.1,0.1,1.7,1.01,1.01,1.01,1.02
47,CN7,4M,2,16,0.0,0.0,0.0,0.0,0.0,0.0,113.46,429.81,0.1,0.3,0.5,0.1,1.01,1.01,1.01,1.01
48,CN7,4M,4,1,0.0,0.0,0.0,0.0,0.0,0.0,208.68,793.25,0.5,1.7,0.1,0.1,1.01,1.01,1.01,1.01
49,CN7,4M,4,4,0.0,0.0,0.0,0.0,0.0,0.0,209.64,795.54,1.2,0.1,0.1,0.5,1.03,1.01,1.01,1.01
50,CN7,4M,4,16,0.0,0.0,0.0,0.0,0.0,0.0,209.87,797.16,0.1,0.1,0.9,1.0,1.01,1.01,1.01,1.03
51,CN7,4M,8,1,0.0,0.0,0.0,0.0,0.0,0.0,318.5,1220.15,0.9,0.9,0.1,0.3,1.01,1.01,1.01,1.01
