,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,1M,1,2,0.0,0.0,0.0,0.0,0.0,0.0,597.43,386.68,10.67,10.77,9.41,11.51,1.83,1.83,1.83,1.8
1,CN7,1M,1,8,0.0,0.0,0.0,0.0,0.0,0.0,667.42,415.25,8.57,8.77,8.61,8.41,1.83,1.83,1.82,1.8
2,CN7,1M,1,32,0.0,0.0,0.0,0.0,0.0,0.0,666.12,414.57,8.67,10.17,8.61,8.41,1.83,1.83,1.82,1.8
3,CN7,1M,1,64,0.0,0.0,0.0,0.0,0.0,0.0,655.26,407.88,8.57,8.56,9.21,8.31,1.83,1.83,1.82,1.8
4,CN7,1M,2,2,0.0,0.0,0.0,0.0,0.0,0.0,337.35,291.66,8.56,10.46,8.51,8.31,1.83,1.93,1.82,1.8
5,CN7,1M,2,8,0.0,0.0,0.0,0.0,0.0,0.0,340.49,292.74,8.56,8.56,8.5,8.3,1.83,1.83,1.82,1.8
6,CN7,1M,2,32,0.0,0.0,0.0,0.0,0.0,0.0,340.72,292.9,8.56,8.56,8.5,8.3,1.83,1.83,1.82,1.8
7,CN7,1M,2,64,0.0,0.0,0.0,0.0,0.0,0.0,340.44,294.0,8.56,9.46,8.79,8.6,1.83,1.83,1.82,1.8
8,CN7,1M,4,2,0.0,0.0,0.0,0.0,0.0,0.0,635.89,553.89,8.56,8.95,8.49,8.3,1.83,1.83,1.82,1.79
9,CN7,1M,4,8,0.0,0.0,0.0,0.0,0.0,0.0,633.85,549.06,8.55,8.55,8.69,8.29,1.83,1.83,1.82,1.79
10,CN7,1M,4,32,0.0,0.0,0.0,0.0,0.0,0.0,646.32,557.34,8.55,10.35,8.49,8.29,1.83,1.83,1.82,1.79
11,CN7,1M,4,64,0.0,0.0,0.0,0.0,0.0,0.0,645.27,558.72,8.55,8.55,8.49,8.49,1.82,1.82,1.82,1.79
12,CN7,1M,8,2,0.0,0.0,0.0,0.0,0.0,0.0,1153.24,1015.89,8.95,8.54,8.68,8.29,1.82,1.82,1.82,1.79
