,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN10,1M,1,1,0.0,0.0,0.0,0.0,0.0,0.0,686.53,395.93,5.0,0.01,0.01,0.01,18.4,0.0,0.0,0.0
1,CN10,1M,1,2,0.0,0.0,0.0,0.0,0.0,0.0,611.96,334.88,9.21,0.01,0.01,0.01,17.28,0.0,0.0,0.0
2,CN10,1M,1,4,0.0,0.0,0.0,0.0,0.0,0.0,669.12,381.35,2.7,0.01,0.01,0.01,16.58,0.0,0.0,0.0
3,CN10,1M,1,8,0.0,0.0,0.0,0.0,0.0,0.0,617.7,327.98,6.12,0.01,0.01,0.01,16.63,0.0,0.0,0.0
4,CN10,1M,1,16,0.0,0.0,0.0,0.0,0.0,0.0,635.57,369.07,4.14,0.01,0.01,0.01,16.19,0.0,0.0,0.0
5,CN10,1M,1,32,0.0,0.0,0.0,0.0,0.0,0.0,667.58,369.36,3.56,0.01,0.01,0.01,15.75,0.0,0.0,0.0
6,CN10,1M,1,64,0.0,0.0,0.0,0.0,0.0,0.0,663.93,355.25,4.04,0.01,0.01,0.01,14.49,0.0,0.0,0.0
7,CN10,1M,2,1,0.0,0.0,0.0,0.0,0.0,0.0,328.37,275.57,22.44,0.01,0.01,0.01,17.58,0.0,0.0,0.0
8,CN10,1M,2,2,0.0,0.0,0.0,0.0,0.0,0.0,327.64,281.34,18.84,0.01,0.01,0.01,16.09,0.0,0.0,0.0
9,CN10,1M,2,4,0.0,0.0,0.0,0.0,0.0,0.0,341.11,278.99,22.32,0.01,0.01,0.01,17.12,0.0,0.0,0.0
10,CN10,1M,2,8,0.0,0.0,0.0,0.0,0.0,0.0,335.82,280.96,22.02,0.01,0.01,0.01,16.89,0.0,0.0,0.0
11,CN10,1M,2,16,0.0,0.0,0.0,0.0,0.0,0.0,318.25,270.71,21.82,0.01,0.01,0.01,16.67,0.0,0.0,0.0
12,CN10,1M,2,32,0.0,0.0,0.0,0.0,0.0,0.0,335.32,278.51,22.22,0.01,0.01,0.01,16.44,0.0,0.0,0.0
13,CN10,1M,2,64,0.0,0.0,0.0,0.0,0.0,0.0,341.77,280.08,22.22,0.01,0.01,0.01,16.23,0.0,0.0,0.0
14,CN10,1M,4,1,0.0,0.0,0.0,0.0,0.0,0.0,629.14,528.87,21.96,0.01,0.01,0.01,16.03,0.0,0.0,0.0
15,CN10,1M,4,2,0.0,0.0,0.0,0.0,0.0,0.0,629.5,529.62,22.23,0.01,0.01,0.01,15.84,0.0,0.0,0.0
16,CN10,1M,4,4,0.0,0.0,0.0,0.0,0.0,0.0,659.03,537.67,21.93,0.01,0.01,0.01,15.65,0.0,0.0,0.0
17,CN10,1M,4,8,0.0,0.0,0.0,0.0,0.0,0.0,624.92,541.22,22.03,0.01,0.01,0.01,15.46,0.0,0.0,0.0
18,CN10,1M,4,16,0.0,0.0,0.0,0.0,0.0,0.0,636.75,533.88,21.53,0.01,0.01,0.01,15.28,0.0,0.0,0.0
19,CN10,1M,4,32,0.0,0.0,0.0,0.0,0.0,0.0,633.92,527.69,21.29,0.01,0.01,0.01,15.11,0.0,0.0,0.0
20,CN10,1M,4,64,0.0,0.0,0.0,0.0,0.0,0.0,622.39,529.96,21.4,0.01,0.01,0.01,14.94,0.0,0.0,0.0
21,CN10,1M,8,1,0.0,0.0,0.0,0.0,0.0,0.0,1078.71,932.98,22.34,0.01,0.01,0.01,14.77,0.0,0.0,0.0
22,CN10,1M,8,2,0.0,0.0,0.0,0.0,0.0,0.0,1102.96,947.07,22.44,0.01,0.01,0.01,14.71,0.0,0.0,0.0
23,CN10,1M,8,4,0.0,0.0,0.0,0.0,0.0,0.0,1070.66,918.71,21.94,0.01,0.01,0.01,14.46,0.0,0.0,0.0
24,CN10,1M,8,8,0.0,0.0,0.0,0.0,0.0,0.0,1118.77,960.28,19.75,0.01,0.01,0.01,14.3,0.0,0.0,0.0
25,CN10,1M,8,16,0.0,0.0,0.0,0.0,0.0,0.0,1093.29,939.44,22.55,0.01,0.01,0.01,14.17,0.0,0.0,0.0
26,CN10,1M,8,32,0.0,0.0,0.0,0.0,0.0,0.0,1142.48,980.37,22.25,0.01,0.01,0.01,14.01,0.0,0.0,0.0
27,CN10,1M,8,64,0.0,0.0,0.0,0.0,0.0,0.0,1059.66,916.3,21.85,0.01,0.01,0.01,13.87,0.0,0.0,0.0
28,CN10,1M,16,1,0.0,0.0,0.0,0.0,0.0,0.0,1341.42,1228.52,35.05,0.0,0.0,0.0,12.93,0.0,0.0,0.0
29,CN10,1M,16,2,0.0,0.0,0.0,0.0,0.0,0.0,1147.98,1059.68,31.06,0.0,0.0,0.0,9.57,0.0,0.0,0.0
30,CN10,1M,16,4,0.0,0.0,0.0,0.0,0.0,0.0,1246.06,1149.93,82.6,0.0,0.0,0.0,17.11,0.0,0.0,0.0
31,CN10,1M,16,8,0.0,0.0,0.0,0.0,0.0,0.0,1158.58,1075.2,81.45,0.0,0.0,0.0,18.06,0.0,0.0,0.0
32,CN10,1M,16,16,0.0,0.0,0.0,0.0,0.0,0.0,1289.16,1177.61,60.21,0.0,0.0,0.0,14.55,0.0,0.0,0.0
33,CN10,1M,16,32,0.0,0.0,0.0,0.0,0.0,0.0,1190.82,1106.16,72.96,0.0,0.0,0.0,16.26,0.0,0.0,0.0
34,CN10,1M,16,64,0.0,0.0,0.0,0.0,0.0,0.0,1277.45,1178.63,58.03,0.0,0.0,0.0,14.82,0.0,0.0,0.0
35,CN10,1M,32,1,0.0,0.0,0.0,0.0,0.0,0.0,581.71,543.5,177.02,0.0,0.0,0.0,27.12,0.0,0.0,0.0
36,CN10,1M,32,2,0.0,0.0,0.0,0.0,0.0,0.0,584.72,548.77,191.36,0.0,0.0,0.0,29.12,0.0,0.0,0.0
37,CN10,1M,32,4,0.0,0.0,0.0,0.0,0.0,0.0,588.49,564.03,196.62,0.0,0.0,0.0,29.08,0.0,0.0,0.0
38,CN10,1M,32,8,0.0,0.0,0.0,0.0,0.0,0.0,582.36,566.91,174.8,0.0,0.0,0.0,26.61,0.0,0.0,0.0
39,CN10,1M,32,16,0.0,0.0,0.0,0.0,0.0,0.0,616.54,598.73,197.55,0.0,0.0,0.0,29.51,0.0,0.0,0.0
40,CN10,1M,32,32,0.0,0.0,0.0,0.0,0.0,0.0,640.8,608.93,136.0,0.0,0.0,0.0,21.4,0.0,0.0,0.0
41,CN10,1M,32,64,0.0,0.0,0.0,0.0,0.0,0.0,569.12,543.81,197.07,0.0,0.0,0.0,29.88,0.0,0.0,0.0
42,CN10,1M,64,1,0.0,0.0,0.0,0.0,0.0,0.0,652.3,623.07,356.04,0.0,0.0,0.0,47.04,0.0,0.0,0.0
43,CN10,1M,64,2,0.0,0.0,0.0,0.0,0.0,0.0,707.62,634.6,340.99,0.0,0.0,0.0,46.0,0.0,0.0,0.0
44,CN10,1M,64,4,0.0,0.0,0.0,0.0,0.0,0.0,630.0,601.51,354.38,0.0,0.0,0.0,47.29,0.0,0.0,0.0
45,CN10,1M,64,8,0.0,0.0,0.0,0.0,0.0,0.0,579.0,551.23,341.22,0.0,0.0,0.0,45.75,0.0,0.0,0.0
46,CN10,1M,64,16,0.0,0.0,0.0,0.0,0.0,0.0,637.47,599.33,277.09,0.0,0.0,0.0,37.86,0.0,0.0,0.0
47,CN10,1M,64,32,0.0,0.0,0.0,0.0,0.0,0.0,642.31,585.13,313.37,0.0,0.0,0.0,40.04,0.0,0.0,0.0
48,CN10,1M,64,64,0.0,0.0,0.0,0.0,0.0,0.0,654.42,576.7,402.39,0.0,0.0,0.0,53.48,0.0,0.0,0.0
49,CN10,2M,1,1,0.0,0.0,0.0,0.0,0.0,0.0,424.09,574.67,6.91,0.01,0.01,0.01,9.16,0.0,0.0,0.0
50,CN10,2M,1,2,0.0,0.0,0.0,0.0,0.0,0.0,356.09,468.05,7.22,0.01,0.01,0.01,9.33,0.0,0.0,0.0
51,CN10,2M,1,4,0.0,0.0,0.0,0.0,0.0,0.0,360.83,513.93,11.12,0.01,0.01,0.01,9.1,0.0,0.0,0.0
52,CN10,2M,1,8,0.0,0.0,0.0,0.0,0.0,0.0,361.09,477.58,12.23,0.01,0.01,0.01,9.7,0.0,0.0,0.0
53,CN10,2M,1,16,0.0,0.0,0.0,0.0,0.0,0.0,311.67,463.97,16.85,0.01,0.01,0.01,10.68,0.0,0.0,0.0
54,CN10,2M,1,32,0.0,0.0,0.0,0.0,0.0,0.0,366.43,489.9,16.7,0.01,0.01,0.01,9.98,0.0,0.0,0.0
55,CN10,2M,1,64,0.0,0.0,0.0,0.0,0.0,0.0,358.07,485.01,10.95,0.01,0.01,0.01,9.29,0.0,0.0,0.0
56,CN10,2M,2,1,0.0,0.0,0.0,0.0,0.0,0.0,198.22,357.98,38.27,0.01,0.01,0.01,12.32,0.0,0.0,0.0
57,CN10,2M,2,2,0.0,0.0,0.0,0.0,0.0,0.0,198.03,346.29,43.75,0.01,0.01,0.01,13.21,0.0,0.0,0.0
58,CN10,2M,2,4,0.0,0.0,0.0,0.0,0.0,0.0,185.42,332.86,43.43,0.01,0.01,0.01,13.14,0.0,0.0,0.0
59,CN10,2M,2,8,0.0,0.0,0.0,0.0,0.0,0.0,193.06,346.12,43.52,0.01,0.01,0.01,13.05,0.0,0.0,0.0
60,CN10,2M,2,16,0.0,0.0,0.0,0.0,0.0,0.0,196.59,357.36,43.91,0.01,0.01,0.01,12.99,0.0,0.0,0.0
61,CN10,2M,2,32,0.0,0.0,0.0,0.0,0.0,0.0,191.29,344.0,42.63,0.01,0.01,0.01,12.91,0.0,0.0,0.0
62,CN10,2M,2,64,0.0,0.0,0.0,0.0,0.0,0.0,195.68,350.33,43.29,0.01,0.01,0.01,12.85,0.0,0.0,0.0
63,CN10,2M,4,1,0.0,0.0,0.0,0.0,0.0,0.0,366.71,669.06,43.27,0.01,0.01,0.01,12.78,0.0,0.0,0.0
64,CN10,2M,4,2,0.0,0.0,0.0,0.0,0.0,0.0,362.14,664.04,43.39,0.01,0.01,0.01,12.72,0.0,0.0,0.0
65,CN10,2M,4,4,0.0,0.0,0.0,0.0,0.0,0.0,375.02,674.19,44.05,0.01,0.01,0.01,12.66,0.0,0.0,0.0
