,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,1M,1,1,0.0,0.0,0.0,0.0,0.0,0.0,678.21,409.28,5.0,0.01,0.01,0.01,18.4,0.0,0.0,0.0
1,CN7,1M,1,2,0.0,0.0,0.0,0.0,0.0,0.0,629.1,387.36,9.21,0.01,0.01,0.01,17.28,0.0,0.0,0.0
2,CN7,1M,1,4,0.0,0.0,0.0,0.0,0.0,0.0,637.09,391.11,2.7,0.01,0.01,0.01,16.58,0.0,0.0,0.0
3,CN7,1M,1,8,0.0,0.0,0.0,0.0,0.0,0.0,726.11,437.09,6.12,0.01,0.01,0.01,16.63,0.0,0.0,0.0
4,CN7,1M,1,16,0.0,0.0,0.0,0.0,0.0,0.0,637.82,388.39,4.14,0.01,0.01,0.01,16.19,0.0,0.0,0.0
5,CN7,1M,1,32,0.0,0.0,0.0,0.0,0.0,0.0,709.39,427.61,3.56,0.01,0.01,0.01,15.75,0.0,0.0,0.0
6,CN7,1M,1,64,0.0,0.0,0.0,0.0,0.0,0.0,637.86,394.36,4.04,0.01,0.01,0.01,14.49,0.0,0.0,0.0
7,CN7,1M,2,1,0.0,0.0,0.0,0.0,0.0,0.0,301.58,263.0,22.44,0.01,0.01,0.01,17.58,0.0,0.0,0.0
8,CN7,1M,2,2,0.0,0.0,0.0,0.0,0.0,0.0,334.66,254.9,18.84,0.01,0.01,0.01,16.09,0.0,0.0,0.0
9,CN7,1M,2,4,0.0,0.0,0.0,0.0,0.0,0.0,348.89,297.61,22.32,0.01,0.01,0.01,17.12,0.0,0.0,0.0
10,CN7,1M,2,8,0.0,0.0,0.0,0.0,0.0,0.0,347.96,297.3,22.02,0.01,0.01,0.01,16.89,0.0,0.0,0.0
11,CN7,1M,2,16,0.0,0.0,0.0,0.0,0.0,0.0,348.12,298.11,21.82,0.01,0.01,0.01,16.67,0.0,0.0,0.0
12,CN7,1M,2,32,0.0,0.0,0.0,0.0,0.0,0.0,348.22,296.54,22.22,0.01,0.01,0.01,16.44,0.0,0.0,0.0
13,CN7,1M,2,64,0.0,0.0,0.0,0.0,0.0,0.0,347.36,297.79,22.22,0.01,0.01,0.01,16.23,0.0,0.0,0.0
14,CN7,1M,4,1,0.0,0.0,0.0,0.0,0.0,0.0,654.88,566.01,21.96,0.01,0.01,0.01,16.03,0.0,0.0,0.0
15,CN7,1M,4,2,0.0,0.0,0.0,0.0,0.0,0.0,642.63,551.83,22.23,0.01,0.01,0.01,15.84,0.0,0.0,0.0
16,CN7,1M,4,4,0.0,0.0,0.0,0.0,0.0,0.0,642.09,556.19,21.93,0.01,0.01,0.01,15.65,0.0,0.0,0.0
17,CN7,1M,4,8,0.0,0.0,0.0,0.0,0.0,0.0,638.78,551.21,22.03,0.01,0.01,0.01,15.46,0.0,0.0,0.0
18,CN7,1M,4,16,0.0,0.0,0.0,0.0,0.0,0.0,636.42,551.72,21.53,0.01,0.01,0.01,15.28,0.0,0.0,0.0
19,CN7,1M,4,32,0.0,0.0,0.0,0.0,0.0,0.0,636.84,549.92,21.29,0.01,0.01,0.01,15.11,0.0,0.0,0.0
20,CN7,1M,4,64,0.0,0.0,0.0,0.0,0.0,0.0,652.95,560.29,21.4,0.01,0.01,0.01,14.94,0.0,0.0,0.0
21,CN7,1M,8,1,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,956.71,22.34,0.01,0.01,0.01,14.77,0.0,0.0,0.0
22,CN7,1M,8,2,0.0,0.0,0.0,0.0,0.0,0.0,1089.78,958.28,22.44,0.01,0.01,0.01,14.71,0.0,0.0,0.0
23,CN7,1M,8,4,0.0,0.0,0.0,0.0,0.0,0.0,1111.54,967.62,21.94,0.01,0.01,0.01,14.46,0.0,0.0,0.0
24,CN7,1M,8,8,0.0,0.0,0.0,0.0,0.0,0.0,1037.31,899.55,19.75,0.01,0.01,0.01,14.3,0.0,0.0,0.0
25,CN7,1M,8,16,0.0,0.0,0.0,0.0,0.0,0.0,1088.71,961.78,22.55,0.01,0.01,0.01,14.17,0.0,0.0,0.0
26,CN7,1M,8,32,0.0,0.0,0.0,0.0,0.0,0.0,1157.03,998.78,22.25,0.01,0.01,0.01,14.01,0.0,0.0,0.0
27,CN7,1M,8,64,0.0,0.0,0.0,0.0,0.0,0.0,1100.25,967.01,21.85,0.01,0.01,0.01,13.87,0.0,0.0,0.0
28,CN7,1M,16,1,0.0,0.0,0.0,0.0,0.0,0.0,1236.54,1136.04,35.05,0.0,0.0,0.0,12.93,0.0,0.0,0.0
29,CN7,1M,16,2,0.0,0.0,0.0,0.0,0.0,0.0,1251.27,1150.65,31.06,0.0,0.0,0.0,9.57,0.0,0.0,0.0
30,CN7,1M,16,4,0.0,0.0,0.0,0.0,0.0,0.0,913.44,864.99,82.6,0.0,0.0,0.0,17.11,0.0,0.0,0.0
31,CN7,1M,16,8,0.0,0.0,0.0,0.0,0.0,0.0,1364.66,1246.96,81.45,0.0,0.0,0.0,18.06,0.0,0.0,0.0
32,CN7,1M,16,16,0.0,0.0,0.0,0.0,0.0,0.0,1290.15,1189.27,60.21,0.0,0.0,0.0,14.55,0.0,0.0,0.0
33,CN7,1M,16,32,0.0,0.0,0.0,0.0,0.0,0.0,1262.1,1157.17,72.96,0.0,0.0,0.0,16.26,0.0,0.0,0.0
34,CN7,1M,16,64,0.0,0.0,0.0,0.0,0.0,0.0,1302.75,1186.38,58.03,0.0,0.0,0.0,14.82,0.0,0.0,0.0
35,CN7,1M,32,1,0.0,0.0,0.0,0.0,0.0,0.0,630.03,605.7,177.02,0.0,0.0,0.0,27.12,0.0,0.0,0.0
36,CN7,1M,32,2,0.0,0.0,0.0,0.0,0.0,0.0,503.82,494.73,191.36,0.0,0.0,0.0,29.12,0.0,0.0,0.0
37,CN7,1M,32,4,0.0,0.0,0.0,0.0,0.0,0.0,591.09,561.47,196.62,0.0,0.0,0.0,29.08,0.0,0.0,0.0
38,CN7,1M,32,8,0.0,0.0,0.0,0.0,0.0,0.0,622.24,583.27,174.8,0.0,0.0,0.0,26.61,0.0,0.0,0.0
39,CN7,1M,32,16,0.0,0.0,0.0,0.0,0.0,0.0,526.22,499.49,197.55,0.0,0.0,0.0,29.51,0.0,0.0,0.0
40,CN7,1M,32,32,0.0,0.0,0.0,0.0,0.0,0.0,561.12,517.51,136.0,0.0,0.0,0.0,21.4,0.0,0.0,0.0
41,CN7,1M,32,64,0.0,0.0,0.0,0.0,0.0,0.0,565.96,555.06,197.07,0.0,0.0,0.0,29.88,0.0,0.0,0.0
42,CN7,1M,64,1,0.0,0.0,0.0,0.0,0.0,0.0,678.6,659.09,356.04,0.0,0.0,0.0,47.04,0.0,0.0,0.0
