,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,1M,1,1,0.0,0.0,0.0,0.0,0.0,0.0,545.28,322.47,19.16,0.0,0.0,0.0,2.19,0.0,0.0,0.0
1,CN7,1M,1,4,0.0,0.0,0.0,0.0,0.0,0.0,688.49,414.38,82.82,0.0,0.0,0.0,10.97,0.0,0.0,0.0
2,CN7,1M,1,16,0.0,0.0,0.0,0.0,0.0,0.0,705.16,427.55,82.81,0.0,0.0,0.0,10.97,0.0,0.0,0.0
3,CN7,1M,1,64,0.0,0.0,0.0,0.0,0.0,0.0,677.27,412.42,55.21,0.0,0.0,0.0,7.31,0.0,0.0,0.0
4,CN7,1M,4,1,0.0,0.0,0.0,0.0,0.0,0.0,646.47,562.92,86.81,0.0,0.0,0.0,11.47,0.0,0.0,0.0
5,CN7,1M,4,4,0.0,0.0,0.0,0.0,0.0,0.0,609.84,529.63,86.81,0.0,0.0,0.0,11.47,0.0,0.0,0.0
6,CN7,1M,4,16,0.0,0.0,0.0,0.0,0.0,0.0,630.79,548.35,87.3,0.0,0.0,0.0,11.47,0.0,0.0,0.0
7,CN7,1M,4,64,0.0,0.0,0.0,0.0,0.0,0.0,624.2,545.37,86.8,0.0,0.0,0.0,11.47,0.0,0.0,0.0
8,CN7,1M,16,1,0.0,0.0,0.0,0.0,0.0,0.0,1030.34,971.59,86.8,0.0,0.0,0.0,11.47,0.0,0.0,0.0
9,CN7,1M,16,4,0.0,0.0,0.0,0.0,0.0,0.0,1430.37,1307.17,86.8,0.0,0.0,0.0,11.47,0.0,0.0,0.0
10,CN7,1M,16,16,0.0,0.0,0.0,0.0,0.0,0.0,1421.44,1302.93,130.29,0.0,0.0,0.0,16.36,0.0,0.0,0.0
11,CN7,1M,16,64,0.0,0.0,0.0,0.0,0.0,0.0,920.33,850.5,86.78,0.0,0.0,0.0,11.47,0.0,0.0,0.0
12,CN7,8M,1,1,0.0,0.0,0.0,0.0,0.0,0.0,121.99,874.22,114.78,0.0,0.0,0.0,14.97,0.0,0.0,0.0
13,CN7,8M,1,4,0.0,0.0,0.0,0.0,0.0,0.0,122.65,878.37,114.78,0.0,0.0,0.0,14.96,0.0,0.0,0.0
14,CN7,8M,1,16,0.0,0.0,0.0,0.0,0.0,0.0,118.92,858.41,114.78,0.0,0.0,0.0,14.96,0.0,0.0,0.0
15,CN7,8M,1,64,0.0,0.0,0.0,0.0,0.0,0.0,122.34,882.25,114.78,0.0,0.0,0.0,14.96,0.0,0.0,0.0
16,CN7,8M,4,1,0.0,0.0,0.0,0.0,0.0,0.0,127.61,991.3,162.77,0.0,0.0,0.0,20.96,0.0,0.0,0.0
17,CN7,8M,4,4,0.0,0.0,0.0,0.0,0.0,0.0,121.69,943.99,162.77,0.0,0.0,0.0,20.96,0.0,0.0,0.0
18,CN7,8M,4,16,0.0,0.0,0.0,0.0,0.0,0.0,121.43,942.72,162.76,0.0,0.0,0.0,20.96,0.0,0.0,0.0
19,CN7,8M,4,64,0.0,0.0,0.0,0.0,0.0,0.0,121.32,942.01,162.76,0.0,0.0,0.0,20.96,0.0,0.0,0.0
20,CN7,8M,16,1,0.0,0.0,0.0,0.0,0.0,0.0,217.44,1716.24,268.51,0.0,0.0,0.0,33.97,0.0,0.0,0.0
21,CN7,8M,16,4,0.0,0.0,0.0,0.0,0.0,0.0,205.61,1623.15,354.76,0.0,0.0,0.0,44.96,0.0,0.0,0.0
22,CN7,8M,16,16,0.0,0.0,0.0,0.0,0.0,0.0,239.45,1887.11,435.25,0.0,0.0,0.0,54.96,0.0,0.0,0.0
23,CN7,8M,16,64,0.0,0.0,0.0,0.0,0.0,0.0,238.88,1877.14,578.75,0.0,0.0,0.0,72.96,0.0,0.0,0.0
24,CN7,64M,1,1,0.0,0.0,0.0,0.0,0.0,0.0,19.1,1200.01,226.75,0.0,0.0,0.0,28.96,0.0,0.0,0.0
25,CN7,64M,1,4,0.0,0.0,0.0,0.0,0.0,0.0,19.02,1196.17,226.75,0.0,0.0,0.0,28.96,0.0,0.0,0.0
26,CN7,64M,1,16,0.0,0.0,0.0,0.0,0.0,0.0,18.78,1180.55,226.75,0.0,0.0,0.0,28.96,0.0,0.0,0.0
27,CN7,64M,1,64,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1133.56,201.75,0.0,0.0,0.0,24.96,0.0,0.0,0.0
28,CN7,64M,4,1,0.0,0.0,0.0,0.0,0.0,0.0,19.15,1220.61,748.49,0.0,0.0,0.0,93.97,0.0,0.0,0.0
29,CN7,64M,4,4,0.0,0.0,0.0,0.0,0.0,0.0,21.59,1374.14,801.83,0.0,0.0,0.0,100.64,0.0,0.0,0.0
30,CN7,64M,4,16,0.0,0.0,0.0,0.0,0.0,0.0,19.29,1229.23,898.16,0.0,0.0,0.0,112.64,0.0,0.0,0.0
31,CN7,64M,4,64,0.0,0.0,0.0,0.0,0.0,0.0,19.36,1233.86,791.16,0.0,0.0,0.0,99.31,0.0,0.0,0.0
32,CN7,64M,16,1,0.0,0.0,0.0,0.0,0.0,0.0,35.83,2288.47,2316.49,0.0,0.0,0.0,289.97,0.0,0.0,0.0
33,CN7,64M,16,4,0.0,0.0,0.0,0.0,0.0,0.0,35.37,2258.6,2348.83,0.0,0.0,0.0,293.97,0.0,0.0,0.0
34,CN7,64M,16,16,0.0,0.0,0.0,0.0,0.0,0.0,30.53,1949.28,2380.5,0.0,0.0,0.0,297.97,0.0,0.0,0.0
35,CN7,64M,16,64,0.0,0.0,0.0,0.0,0.0,0.0,27.28,1742.72,3447.16,0.0,0.0,0.0,431.31,0.0,0.0,0.0
36,CN7,128M,1,1,0.0,0.0,0.0,0.0,0.0,0.0,8.47,1076.0,614.25,0.0,0.0,0.0,77.4,0.0,0.0,0.0
37,CN7,128M,1,4,0.0,0.0,0.0,0.0,0.0,0.0,10.69,1355.73,466.75,0.0,0.0,0.0,58.96,0.0,0.0,0.0
38,CN7,128M,1,16,0.0,0.0,0.0,0.0,0.0,0.0,10.16,1287.02,498.75,0.0,0.0,0.0,62.96,0.0,0.0,0.0
39,CN7,128M,1,64,0.0,0.0,0.0,0.0,0.0,0.0,10.95,1387.11,491.25,0.0,0.0,0.0,60.96,0.0,0.0,0.0
40,CN7,128M,4,1,0.0,0.0,0.0,0.0,0.0,0.0,11.82,1509.05,1676.49,0.0,0.0,0.0,209.97,0.0,0.0,0.0
41,CN7,128M,4,4,0.0,0.0,0.0,0.0,0.0,0.0,11.53,1471.33,1774.5,0.0,0.0,0.0,222.22,0.0,0.0,0.0
42,CN7,128M,4,16,0.0,0.0,0.0,0.0,0.0,0.0,11.69,1492.11,1747.83,0.0,0.0,0.0,218.85,0.0,0.0,0.0
43,CN7,128M,4,64,0.0,0.0,0.0,0.0,0.0,0.0,12.13,1547.54,1777.83,0.0,0.0,0.0,221.97,0.0,0.0,0.0
44,CN7,128M,16,1,0.0,0.0,0.0,0.0,0.0,0.0,18.56,2372.78,3635.62,0.0,0.0,0.0,454.76,0.0,0.0,0.0
45,CN7,128M,16,4,0.0,0.0,0.0,0.0,0.0,0.0,16.9,2160.37,3801.38,0.0,0.0,0.0,475.48,0.0,0.0,0.0
46,CN7,128M,16,16,0.0,0.0,0.0,0.0,0.0,0.0,15.81,2021.48,3785.63,0.0,0.0,0.0,473.48,0.0,0.0,0.0
47,CN7,128M,16,64,0.0,0.0,0.0,0.0,0.0,0.0,14.74,1884.66,3927.64,0.0,0.0,0.0,490.7,0.0,0.0,0.0
48,CN7,256M,1,1,0.0,0.0,0.0,0.0,0.0,0.0,6.02,1531.45,1245.52,0.0,0.0,0.0,155.31,0.0,0.0,0.0
49,CN7,256M,1,4,0.0,0.0,0.0,0.0,0.0,0.0,6.04,1537.47,1170.19,0.0,0.0,0.0,146.64,0.0,0.0,0.0
50,CN7,256M,1,16,0.0,0.0,0.0,0.0,0.0,0.0,5.07,1292.46,1308.19,0.0,0.0,0.0,163.93,0.0,0.0,0.0
51,CN7,256M,1,64,0.0,0.0,0.0,0.0,0.0,0.0,5.99,1525.65,1265.52,0.0,0.0,0.0,157.98,0.0,0.0,0.0
52,CN7,256M,4,1,0.0,0.0,0.0,0.0,0.0,0.0,5.47,1398.33,3671.19,0.0,0.0,0.0,459.31,0.0,0.0,0.0
53,CN7,256M,4,4,0.0,0.0,0.0,0.0,0.0,0.0,5.39,1378.0,4887.19,0.0,0.0,0.0,611.31,0.0,0.0,0.0
54,CN7,256M,4,16,0.0,0.0,0.0,0.0,0.0,0.0,6.08,1554.65,4364.86,0.0,0.0,0.0,545.98,0.0,0.0,0.0
