,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,1M,1,1,0.0,0.0,0.0,0.0,0.0,0.0,632.4,394.1,90.78,0.0,0.0,0.0,10.66,0.0,0.0,0.0
1,CN7,1M,1,2,0.0,0.0,0.0,0.0,0.0,0.0,722.35,430.5,80.61,0.0,0.0,0.0,10.66,0.0,0.0,0.0
2,CN7,1M,1,4,0.0,0.0,0.0,0.0,0.0,0.0,560.2,356.61,81.78,0.0,0.0,0.0,10.8,0.0,0.0,0.0
3,CN7,1M,1,8,0.0,0.0,0.0,0.0,0.0,0.0,707.33,420.38,80.6,0.0,0.0,0.0,10.66,0.0,0.0,0.0
4,CN7,1M,1,16,0.0,0.0,0.0,0.0,0.0,0.0,694.71,423.31,80.59,0.0,0.0,0.0,10.66,0.0,0.0,0.0
5,CN7,1M,1,32,0.0,0.0,0.0,0.0,0.0,0.0,571.95,357.8,81.58,0.0,0.0,0.0,10.77,0.0,0.0,0.0
6,CN7,1M,1,64,0.0,0.0,0.0,0.0,0.0,0.0,711.19,417.46,85.91,0.0,0.0,0.0,10.66,0.0,0.0,0.0
7,CN7,1M,2,1,0.0,0.0,0.0,0.0,0.0,0.0,331.72,285.97,86.75,0.0,0.0,0.0,11.16,0.0,0.0,0.0
8,CN7,1M,2,2,0.0,0.0,0.0,0.0,0.0,0.0,347.26,297.32,84.57,0.0,0.0,0.0,11.16,0.0,0.0,0.0
9,CN7,1M,2,4,0.0,0.0,0.0,0.0,0.0,0.0,344.01,295.75,84.56,0.0,0.0,0.0,11.16,0.0,0.0,0.0
10,CN7,1M,2,8,0.0,0.0,0.0,0.0,0.0,0.0,341.39,293.63,84.56,0.0,0.0,0.0,11.16,0.0,0.0,0.0
11,CN7,1M,2,16,0.0,0.0,0.0,0.0,0.0,0.0,343.08,293.61,88.38,0.0,0.0,0.0,11.15,0.0,0.0,0.0
12,CN7,1M,2,32,0.0,0.0,0.0,0.0,0.0,0.0,338.22,290.72,84.55,0.0,0.0,0.0,11.15,0.0,0.0,0.0
13,CN7,1M,2,64,0.0,0.0,0.0,0.0,0.0,0.0,339.22,290.18,84.54,0.0,0.0,0.0,11.15,0.0,0.0,0.0
