,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN9,1M,1,1,0.0,0.0,0.0,0.0,0.0,0.0,675.89,389.12,78.89,0.0,0.0,0.0,9.78,0.0,0.0,0.0
1,CN9,1M,1,2,0.0,0.0,0.0,0.0,0.0,0.0,604.27,346.66,82.41,0.0,0.0,0.0,10.78,0.0,0.0,0.0
2,CN9,1M,1,4,0.0,0.0,0.0,0.0,0.0,0.0,721.66,388.78,71.14,0.0,0.0,0.0,9.02,0.0,0.0,0.0
3,CN9,1M,1,8,0.0,0.0,0.0,0.0,0.0,0.0,626.7,390.68,78.06,0.0,0.0,0.0,9.9,0.0,0.0,0.0
4,CN9,1M,1,16,0.0,0.0,0.0,0.0,0.0,0.0,634.62,353.08,81.45,0.0,0.0,0.0,10.62,0.0,0.0,0.0
5,CN9,1M,2,1,0.0,0.0,0.0,0.0,0.0,0.0,353.26,287.95,87.8,0.0,0.0,0.0,11.07,0.0,0.0,0.0
6,CN9,1M,2,2,0.0,0.0,0.0,0.0,0.0,0.0,341.4,274.66,78.54,0.0,0.0,0.0,10.22,0.0,0.0,0.0
7,CN9,1M,2,4,0.0,0.0,0.0,0.0,0.0,0.0,341.21,283.79,93.64,0.0,0.0,0.0,11.92,0.0,0.0,0.0
8,CN9,1M,2,8,0.0,0.0,0.0,0.0,0.0,0.0,346.76,296.85,81.02,0.0,0.0,0.0,10.23,0.0,0.0,0.0
9,CN9,1M,2,16,0.0,0.0,0.0,0.0,0.0,0.0,332.47,276.58,84.89,0.0,0.0,0.0,11.06,0.0,0.0,0.0
10,CN9,1M,4,1,0.0,0.0,0.0,0.0,0.0,0.0,676.27,564.96,86.88,0.0,0.0,0.0,11.06,0.0,0.0,0.0
11,CN9,1M,4,2,0.0,0.0,0.0,0.0,0.0,0.0,641.74,538.79,80.65,0.0,0.0,0.0,10.21,0.0,0.0,0.0
12,CN9,1M,4,4,0.0,0.0,0.0,0.0,0.0,0.0,646.64,541.2,78.24,0.0,0.0,0.0,10.21,0.0,0.0,0.0
13,CN9,1M,4,8,0.0,0.0,0.0,0.0,0.0,0.0,633.7,526.83,80.63,0.0,0.0,0.0,10.21,0.0,0.0,0.0
14,CN9,1M,4,16,0.0,0.0,0.0,0.0,0.0,0.0,654.42,560.75,91.26,0.0,0.0,0.0,11.91,0.0,0.0,0.0
15,CN9,1M,8,1,0.0,0.0,0.0,0.0,0.0,0.0,1134.11,989.38,79.81,0.0,0.0,0.0,10.2,0.0,0.0,0.0
16,CN9,1M,8,2,0.0,0.0,0.0,0.0,0.0,0.0,1146.12,972.5,92.77,0.0,0.0,0.0,11.9,0.0,0.0,0.0
17,CN9,1M,8,4,0.0,0.0,0.0,0.0,0.0,0.0,1138.57,984.77,91.32,0.0,0.0,0.0,11.9,0.0,0.0,0.0
18,CN9,1M,8,8,0.0,0.0,0.0,0.0,0.0,0.0,1185.42,1005.16,100.52,0.0,0.0,0.0,12.75,0.0,0.0,0.0
19,CN9,1M,8,16,0.0,0.0,0.0,0.0,0.0,0.0,1114.1,940.39,94.3,0.0,0.0,0.0,11.9,0.0,0.0,0.0
20,CN9,1M,16,1,0.0,0.0,0.0,0.0,0.0,0.0,1280.3,1161.94,83.26,0.0,0.0,0.0,10.75,0.0,0.0,0.0
21,CN9,1M,16,2,0.0,0.0,0.0,0.0,0.0,0.0,1536.08,1370.05,77.71,0.0,0.0,0.0,9.79,0.0,0.0,0.0
22,CN9,1M,16,4,0.0,0.0,0.0,0.0,0.0,0.0,1200.06,1102.07,71.63,0.0,0.0,0.0,9.34,0.0,0.0,0.0
23,CN9,1M,16,8,0.0,0.0,0.0,0.0,0.0,0.0,1478.83,1347.07,82.4,0.0,0.0,0.0,10.32,0.0,0.0,0.0
24,CN9,1M,16,16,0.0,0.0,0.0,0.0,0.0,0.0,1085.45,988.8,74.7,0.0,0.0,0.0,9.33,0.0,0.0,0.0
25,CN9,2M,1,1,0.0,0.0,0.0,0.0,0.0,0.0,416.45,591.35,74.22,0.0,0.0,0.0,9.74,0.0,0.0,0.0
26,CN9,2M,1,2,0.0,0.0,0.0,0.0,0.0,0.0,422.06,608.38,71.6,0.0,0.0,0.0,9.12,0.0,0.0,0.0
27,CN9,2M,1,4,0.0,0.0,0.0,0.0,0.0,0.0,431.29,568.24,78.4,0.0,0.0,0.0,9.92,0.0,0.0,0.0
28,CN9,2M,1,8,0.0,0.0,0.0,0.0,0.0,0.0,414.64,590.63,80.89,0.0,0.0,0.0,10.6,0.0,0.0,0.0
29,CN9,2M,1,16,0.0,0.0,0.0,0.0,0.0,0.0,358.55,524.54,74.2,0.0,0.0,0.0,9.47,0.0,0.0,0.0
30,CN9,2M,2,1,0.0,0.0,0.0,0.0,0.0,0.0,198.08,353.56,102.7,0.0,0.0,0.0,13.28,0.0,0.0,0.0
31,CN9,2M,2,2,0.0,0.0,0.0,0.0,0.0,0.0,202.65,366.55,90.45,0.0,0.0,0.0,11.39,0.0,0.0,0.0
32,CN9,2M,2,4,0.0,0.0,0.0,0.0,0.0,0.0,205.05,359.6,105.15,0.0,0.0,0.0,13.28,0.0,0.0,0.0
33,CN9,2M,2,8,0.0,0.0,0.0,0.0,0.0,0.0,198.63,357.81,102.7,0.0,0.0,0.0,13.27,0.0,0.0,0.0
34,CN9,2M,2,16,0.0,0.0,0.0,0.0,0.0,0.0,204.45,374.18,89.82,0.0,0.0,0.0,11.38,0.0,0.0,0.0
35,CN9,2M,4,1,0.0,0.0,0.0,0.0,0.0,0.0,378.09,680.16,89.04,0.0,0.0,0.0,11.38,0.0,0.0,0.0
36,CN9,2M,4,2,0.0,0.0,0.0,0.0,0.0,0.0,371.09,664.18,95.67,0.0,0.0,0.0,12.33,0.0,0.0,0.0
37,CN9,2M,4,4,0.0,0.0,0.0,0.0,0.0,0.0,381.61,691.38,89.12,0.0,0.0,0.0,11.38,0.0,0.0,0.0
38,CN9,2M,4,8,0.0,0.0,0.0,0.0,0.0,0.0,374.57,673.53,94.88,0.0,0.0,0.0,12.32,0.0,0.0,0.0
39,CN9,2M,4,16,0.0,0.0,0.0,0.0,0.0,0.0,377.53,674.67,97.17,0.0,0.0,0.0,12.32,0.0,0.0,0.0
40,CN9,2M,8,1,0.0,0.0,0.0,0.0,0.0,0.0,633.79,1159.86,74.43,0.0,0.0,0.0,9.48,0.0,0.0,0.0
41,CN9,2M,8,2,0.0,0.0,0.0,0.0,0.0,0.0,613.77,1133.41,87.55,0.0,0.0,0.0,11.37,0.0,0.0,0.0
42,CN9,2M,8,4,0.0,0.0,0.0,0.0,0.0,0.0,584.86,1069.6,102.94,0.0,0.0,0.0,12.95,0.0,0.0,0.0
43,CN9,2M,8,8,0.0,0.0,0.0,0.0,0.0,0.0,623.23,1133.58,109.72,0.0,0.0,0.0,13.71,0.0,0.0,0.0
44,CN9,2M,8,16,0.0,0.0,0.0,0.0,0.0,0.0,621.5,1132.04,114.34,0.0,0.0,0.0,14.62,0.0,0.0,0.0
45,CN9,2M,16,1,0.0,0.0,0.0,0.0,0.0,0.0,632.02,1199.35,198.12,0.0,0.0,0.0,23.93,0.0,0.0,0.0
46,CN9,2M,16,2,0.0,0.0,0.0,0.0,0.0,0.0,644.13,1232.5,178.7,0.0,0.0,0.0,21.9,0.0,0.0,0.0
47,CN9,2M,16,4,0.0,0.0,0.0,0.0,0.0,0.0,590.78,1133.51,156.84,0.0,0.0,0.0,19.1,0.0,0.0,0.0
48,CN9,2M,16,8,0.0,0.0,0.0,0.0,0.0,0.0,535.87,1031.5,160.69,0.0,0.0,0.0,19.34,0.0,0.0,0.0
49,CN9,2M,16,16,0.0,0.0,0.0,0.0,0.0,0.0,676.76,1292.19,166.09,0.0,0.0,0.0,20.45,0.0,0.0,0.0
50,CN9,4M,1,1,0.0,0.0,0.0,0.0,0.0,0.0,226.45,736.47,110.02,0.0,0.0,0.0,13.76,0.0,0.0,0.0
51,CN9,4M,1,2,0.0,0.0,0.0,0.0,0.0,0.0,219.58,726.97,127.39,0.0,0.0,0.0,16.04,0.0,0.0,0.0
52,CN9,4M,1,4,0.0,0.0,0.0,0.0,0.0,0.0,230.68,730.35,106.7,0.0,0.0,0.0,13.75,0.0,0.0,0.0
53,CN9,4M,1,8,0.0,0.0,0.0,0.0,0.0,0.0,232.26,720.77,99.61,0.0,0.0,0.0,12.61,0.0,0.0,0.0
54,CN9,4M,1,16,0.0,0.0,0.0,0.0,0.0,0.0,224.99,731.34,115.9,0.0,0.0,0.0,14.9,0.0,0.0,0.0
55,CN9,4M,2,1,0.0,0.0,0.0,0.0,0.0,0.0,105.56,396.8,171.77,0.0,0.0,0.0,21.64,0.0,0.0,0.0
56,CN9,4M,2,2,0.0,0.0,0.0,0.0,0.0,0.0,109.43,413.86,170.83,0.0,0.0,0.0,21.64,0.0,0.0,0.0
57,CN9,4M,2,4,0.0,0.0,0.0,0.0,0.0,0.0,108.46,409.89,157.57,0.0,0.0,0.0,20.1,0.0,0.0,0.0
58,CN9,4M,2,8,0.0,0.0,0.0,0.0,0.0,0.0,106.61,394.7,171.44,0.0,0.0,0.0,21.64,0.0,0.0,0.0
59,CN9,4M,2,16,0.0,0.0,0.0,0.0,0.0,0.0,111.11,418.05,160.22,0.0,0.0,0.0,20.09,0.0,0.0,0.0
60,CN9,4M,4,1,0.0,0.0,0.0,0.0,0.0,0.0,198.37,757.34,207.59,0.0,0.0,0.0,26.43,0.0,0.0,0.0
61,CN9,4M,4,2,0.0,0.0,0.0,0.0,0.0,0.0,192.91,729.63,171.24,0.0,0.0,0.0,21.41,0.0,0.0,0.0
62,CN9,4M,4,4,0.0,0.0,0.0,0.0,0.0,0.0,191.73,724.45,214.0,0.0,0.0,0.0,27.23,0.0,0.0,0.0
63,CN9,4M,4,8,0.0,0.0,0.0,0.0,0.0,0.0,197.59,736.85,231.58,0.0,0.0,0.0,29.14,0.0,0.0,0.0
