,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,1M,32,1,0.0,0.0,0.0,0.0,0.0,0.0,597.82,568.85,184.05,0.0,0.0,0.0,22.16,0.0,0.0,0.0
1,CN7,1M,32,2,0.0,0.0,0.0,0.0,0.0,0.0,601.3,594.82,162.42,0.0,0.0,0.0,19.7,0.0,0.0,0.0
2,CN7,1M,32,4,0.0,0.0,0.0,0.0,0.0,0.0,603.44,537.72,154.29,0.0,0.0,0.0,19.23,0.0,0.0,0.0
3,CN7,1M,32,8,0.0,0.0,0.0,0.0,0.0,0.0,559.37,539.7,163.74,0.0,0.0,0.0,20.09,0.0,0.0,0.0
4,CN7,1M,32,16,0.0,0.0,0.0,0.0,0.0,0.0,458.93,439.85,173.51,0.0,0.0,0.0,21.04,0.0,0.0,0.0
5,CN7,1M,64,1,0.0,0.0,0.0,0.0,0.0,0.0,714.92,678.29,295.89,0.0,0.0,0.0,36.57,0.0,0.0,0.0
6,CN7,1M,64,2,0.0,0.0,0.0,0.0,0.0,0.0,719.09,684.76,303.88,0.0,0.0,0.0,37.43,0.0,0.0,0.0
7,CN7,1M,64,4,0.0,0.0,0.0,0.0,0.0,0.0,680.29,652.11,214.55,0.0,0.0,0.0,26.49,0.0,0.0,0.0
8,CN7,1M,64,8,0.0,0.0,0.0,0.0,0.0,0.0,590.75,574.34,289.2,0.0,0.0,0.0,34.94,0.0,0.0,0.0
9,CN7,1M,64,16,0.0,0.0,0.0,0.0,0.0,0.0,744.8,717.68,230.92,0.0,0.0,0.0,27.51,0.0,0.0,0.0
10,CN7,2M,32,1,0.0,0.0,0.0,0.0,0.0,0.0,442.81,851.25,296.63,0.0,0.0,0.0,34.09,0.0,0.0,0.0
11,CN7,2M,32,2,0.0,0.0,0.0,0.0,0.0,0.0,436.09,841.51,318.87,0.0,0.0,0.0,36.6,0.0,0.0,0.0
12,CN7,2M,32,4,0.0,0.0,0.0,0.0,0.0,0.0,422.06,825.27,317.91,0.0,0.0,0.0,36.0,0.0,0.0,0.0
13,CN7,2M,32,8,0.0,0.0,0.0,0.0,0.0,0.0,482.77,940.42,294.12,0.0,0.0,0.0,34.25,0.0,0.0,0.0
14,CN7,2M,32,16,0.0,0.0,0.0,0.0,0.0,0.0,459.47,897.01,292.81,0.0,0.0,0.0,32.97,0.0,0.0,0.0
15,CN7,2M,64,1,0.0,0.0,0.0,0.0,0.0,0.0,701.87,1310.25,741.04,0.0,0.0,0.0,89.1,0.0,0.0,0.0
16,CN7,2M,64,2,0.0,0.0,0.0,0.0,0.0,0.0,582.99,1138.2,460.82,0.0,0.0,0.0,54.71,0.0,0.0,0.0
17,CN7,2M,64,4,0.0,0.0,0.0,0.0,0.0,0.0,713.39,1341.4,677.13,0.0,0.0,0.0,81.71,0.0,0.0,0.0
18,CN7,2M,64,8,0.0,0.0,0.0,0.0,0.0,0.0,611.42,1187.35,508.62,0.0,0.0,0.0,63.17,0.0,0.0,0.0
19,CN7,2M,64,16,0.0,0.0,0.0,0.0,0.0,0.0,613.67,1173.14,559.24,0.0,0.0,0.0,68.8,0.0,0.0,0.0
20,CN7,4M,32,1,0.0,0.0,0.0,0.0,0.0,0.0,305.23,1150.69,1133.09,0.0,0.0,0.0,140.92,0.0,0.0,0.0
21,CN7,4M,32,2,0.0,0.0,0.0,0.0,0.0,0.0,302.18,1193.12,1144.22,0.0,0.0,0.0,142.81,0.0,0.0,0.0
22,CN7,4M,32,4,0.0,0.0,0.0,0.0,0.0,0.0,335.47,1270.84,1145.22,0.0,0.0,0.0,142.81,0.0,0.0,0.0
23,CN7,4M,32,8,0.0,0.0,0.0,0.0,0.0,0.0,297.32,1122.31,1142.94,0.0,0.0,0.0,142.81,0.0,0.0,0.0
24,CN7,4M,32,16,0.0,0.0,0.0,0.0,0.0,0.0,299.71,1158.78,1145.39,0.0,0.0,0.0,142.81,0.0,0.0,0.0
25,CN7,4M,64,1,0.0,0.0,0.0,0.0,0.0,0.0,491.38,1921.01,1764.0,0.0,0.0,0.0,219.99,0.0,0.0,0.0
26,CN7,4M,64,2,0.0,0.0,0.0,0.0,0.0,0.0,391.47,1557.24,1761.93,0.0,0.0,0.0,219.98,0.0,0.0,0.0
27,CN7,4M,64,4,0.0,0.0,0.0,0.0,0.0,0.0,510.71,1989.23,1676.56,0.0,0.0,0.0,207.88,0.0,0.0,0.0
28,CN7,4M,64,8,0.0,0.0,0.0,0.0,0.0,0.0,410.36,1618.34,1847.09,0.0,0.0,0.0,230.16,0.0,0.0,0.0
29,CN7,4M,64,16,0.0,0.0,0.0,0.0,0.0,0.0,461.2,1836.76,1621.7,0.0,0.0,0.0,202.53,0.0,0.0,0.0
30,CN7,8M,32,1,0.0,0.0,0.0,0.0,0.0,0.0,251.88,1948.68,2038.92,0.0,0.0,0.0,254.29,0.0,0.0,0.0
31,CN7,8M,32,2,0.0,0.0,0.0,0.0,0.0,0.0,238.62,1869.83,2047.91,0.0,0.0,0.0,255.75,0.0,0.0,0.0
32,CN7,8M,32,4,0.0,0.0,0.0,0.0,0.0,0.0,231.92,1804.05,2251.08,0.0,0.0,0.0,280.75,0.0,0.0,0.0
33,CN7,8M,32,8,0.0,0.0,0.0,0.0,0.0,0.0,262.22,2026.85,2043.49,0.0,0.0,0.0,254.8,0.0,0.0,0.0
34,CN7,8M,32,16,0.0,0.0,0.0,0.0,0.0,0.0,255.65,1980.43,2102.87,0.0,0.0,0.0,261.47,0.0,0.0,0.0
35,CN7,8M,64,1,0.0,0.0,0.0,0.0,0.0,0.0,281.3,2197.48,2585.06,0.0,0.0,0.0,322.4,0.0,0.0,0.0
36,CN7,8M,64,2,0.0,0.0,0.0,0.0,0.0,0.0,288.51,2285.52,2685.51,0.0,0.0,0.0,335.03,0.0,0.0,0.0
37,CN7,8M,64,4,0.0,0.0,0.0,0.0,0.0,0.0,277.1,2215.97,2646.5,0.0,0.0,0.0,330.38,0.0,0.0,0.0
