,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN9,1M,32,32,0.0,0.0,0.0,0.0,0.0,0.0,621.19,591.32,168.89,0.0,0.0,0.0,20.6,0.0,0.0,0.0
1,CN9,1M,32,64,0.0,0.0,0.0,0.0,0.0,0.0,593.64,541.22,155.54,0.0,0.0,0.0,18.67,0.0,0.0,0.0
2,CN9,1M,64,32,0.0,0.0,0.0,0.0,0.0,0.0,598.68,569.45,288.98,0.0,0.0,0.0,35.41,0.0,0.0,0.0
3,CN9,1M,64,64,0.0,0.0,0.0,0.0,0.0,0.0,697.93,663.13,310.18,0.0,0.0,0.0,38.73,0.0,0.0,0.0
4,CN9,2M,32,32,0.0,0.0,0.0,0.0,0.0,0.0,408.41,787.14,194.73,0.0,0.0,0.0,23.18,0.0,0.0,0.0
5,CN9,2M,32,64,0.0,0.0,0.0,0.0,0.0,0.0,461.61,910.13,313.4,0.0,0.0,0.0,37.26,0.0,0.0,0.0
6,CN9,2M,64,32,0.0,0.0,0.0,0.0,0.0,0.0,587.54,1146.28,538.31,0.0,0.0,0.0,64.63,0.0,0.0,0.0
7,CN9,2M,64,64,0.0,0.0,0.0,0.0,0.0,0.0,658.67,1232.78,480.88,0.0,0.0,0.0,56.78,0.0,0.0,0.0
8,CN9,4M,32,32,0.0,0.0,0.0,0.0,0.0,0.0,286.84,1130.22,1203.69,0.0,0.0,0.0,149.4,0.0,0.0,0.0
9,CN9,4M,32,64,0.0,0.0,0.0,0.0,0.0,0.0,261.6,1006.93,1071.75,0.0,0.0,0.0,133.65,0.0,0.0,0.0
10,CN9,4M,64,32,0.0,0.0,0.0,0.0,0.0,0.0,370.84,1434.94,1846.68,0.0,0.0,0.0,230.25,0.0,0.0,0.0
11,CN9,4M,64,64,0.0,0.0,0.0,0.0,0.0,0.0,342.14,1325.19,1759.49,0.0,0.0,0.0,219.79,0.0,0.0,0.0
12,CN9,8M,32,32,0.0,0.0,0.0,0.0,0.0,0.0,216.77,1651.31,2182.38,0.0,0.0,0.0,272.36,0.0,0.0,0.0
13,CN9,8M,32,64,0.0,0.0,0.0,0.0,0.0,0.0,208.38,1623.81,2419.59,0.0,0.0,0.0,301.91,0.0,0.0,0.0
14,CN9,8M,64,32,0.0,0.0,0.0,0.0,0.0,0.0,263.51,2088.03,2735.07,0.0,0.0,0.0,341.16,0.0,0.0,0.0
15,CN9,8M,64,64,0.0,0.0,0.0,0.0,0.0,0.0,273.16,2096.54,2709.14,0.0,0.0,0.0,337.95,0.0,0.0,0.0
16,CN9,16M,32,32,0.0,0.0,0.0,0.0,0.0,0.0,132.97,2016.56,2675.2,0.0,0.0,0.0,333.9,0.0,0.0,0.0
