,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,4G,1,1,867.0,1068.0,1456.0,4348.0,1347.0,1499.0,1434.0,1511.0,1940.21,8.69,1993.92,1973.1,226.63,0.91,229.2,227.67
1,CN7,4G,1,2,818.0,1041.0,1150.0,1822.0,1328.0,1512.0,1447.93,1524.33,2200.07,1118.36,1065.93,2110.01,229.77,116.11,112.13,223.31
2,CN7,4G,1,4,837.0,1040.0,1204.0,1827.0,1286.0,1505.0,1440.27,1517.67,1552.97,1578.43,1558.94,1535.58,162.53,163.11,163.06,162.24
3,CN7,4G,1,8,813.0,1032.0,1641.0,1778.0,1346.0,1519.0,1458.07,1534.33,1651.27,1668.61,1665.51,1652.82,170.31,170.29,172.45,170.81
4,CN7,4G,1,16,815.0,1054.0,1663.0,1876.0,1343.0,1520.0,1451.07,1527.67,1694.23,1689.34,1666.02,1670.11,171.08,172.08,171.5,171.19
5,CN7,4G,2,1,771.0,987.0,1248.0,1876.0,1295.0,1460.0,1419.97,2966.0,1977.52,2002.52,4105.38,3976.63,227.68,229.83,457.29,457.12
6,CN7,4G,2,2,739.0,941.0,1139.0,1794.0,1365.0,1505.0,1455.03,3026.0,3233.82,3239.77,3196.19,3225.11,342.4,343.25,341.47,342.34
7,CN7,4G,2,4,807.0,982.0,1259.0,1898.0,1316.0,1429.0,1391.53,2908.33,3293.46,3295.8,3249.61,3233.3,342.38,340.49,341.01,340.26
8,CN7,4G,2,8,818.0,1004.0,1592.0,1994.0,1230.0,1414.0,1368.98,2850.67,3212.98,3231.55,3228.02,3204.61,340.42,339.96,341.16,339.64
9,CN7,4G,2,16,801.0,968.0,1619.0,1860.0,1282.0,1434.0,1400.0,2923.33,3297.96,3293.08,3336.94,3326.64,340.54,340.54,342.46,341.39
10,CN7,4G,4,1,793.0,1023.0,1385.0,1789.0,1352.0,1494.0,1448.38,5960.0,6087.72,6004.78,6242.09,6219.34,681.62,685.16,684.79,685.9
11,CN7,4G,4,2,914.0,1117.0,1456.0,1778.0,1228.0,1422.0,1356.02,5555.67,6106.61,6089.83,6124.64,6100.29,679.93,681.27,681.09,682.54
12,CN7,4G,4,4,927.0,1073.0,1576.0,2802.0,1222.0,1403.0,1335.24,5389.67,6272.79,6214.48,6251.91,6202.76,681.87,682.45,679.71,681.66
13,CN7,4G,4,8,932.0,1117.0,1680.0,3588.0,1228.0,1388.0,1334.23,5357.67,6314.38,6272.61,6307.31,6353.51,681.4,685.07,680.96,684.63
14,CN7,4G,4,16,914.0,1133.0,1860.0,3534.0,1244.0,1385.0,1338.64,5496.67,5990.02,5928.19,5965.39,5872.88,648.91,649.41,648.6,647.76
15,CN7,4G,8,1,4380.0,5210.0,6041.0,25974.0,636.0,1361.0,789.07,6534.0,9495.64,9361.85,9320.5,9260.77,1026.29,1028.68,1032.49,1029.72
16,CN7,4G,8,2,4533.0,5582.0,6543.0,18110.0,618.0,1276.0,784.53,6497.0,9477.75,8911.95,9237.46,9181.72,994.09,990.19,994.98,989.82
17,CN7,4G,8,4,4664.0,6281.0,8137.0,9721.0,613.0,1248.0,775.73,6413.67,8651.43,8445.94,8358.37,8496.39,921.96,918.48,921.98,922.77
18,CN7,4G,8,8,4664.0,6346.0,11775.0,21540.0,610.0,1242.0,770.02,6328.67,8807.01,8519.53,8507.28,8569.84,922.33,918.51,919.62,921.98
19,CN7,4G,8,16,4686.0,6412.0,17018.0,30933.0,585.0,1232.0,767.13,6346.33,9035.95,8709.39,8621.67,8811.21,923.54,921.98,922.78,920.8
20,CN7,4G,16,1,6783.0,7613.0,8629.0,9634.0,298.0,966.0,356.91,5924.0,10531.79,10177.45,10202.78,10270.41,1105.68,1104.71,1104.69,1105.97
21,CN7,4G,16,2,7417.0,8498.0,10159.0,13085.0,286.0,943.0,349.59,5813.33,10987.89,10460.9,10627.16,10531.08,1110.17,1107.21,1107.94,1106.79
22,CN7,4G,16,4,11512.0,13566.0,15707.0,18722.0,303.0,945.0,354.01,5909.67,11095.29,10369.5,10615.15,10749.08,1114.07,1107.13,1108.9,1109.92
23,CN7,4G,16,8,11338.0,13610.0,15751.0,18481.0,300.0,930.0,352.36,5883.33,11237.15,10813.71,10686.38,10707.92,1113.0,1111.55,1110.94,1110.45
24,CN7,4G,16,16,11294.0,13566.0,15707.0,18219.0,303.0,883.0,352.13,5876.33,11672.14,11112.85,11396.6,10639.72,1109.6,1110.04,1110.51,1107.94
25,CN7,4G,32,1,8760.0,9677.0,14833.0,23025.0,142.0,588.0,167.41,5581.33,11844.84,11851.0,11771.08,11659.08,1188.6,1188.61,1188.06,1188.14
26,CN7,4G,32,2,14964.0,16537.0,19093.0,24161.0,146.0,700.0,167.65,5596.33,12103.89,11733.24,11750.89,11736.58,1194.02,1191.16,1192.15,1191.46
27,CN7,4G,32,4,22676.0,25560.0,28792.0,31589.0,150.0,590.0,170.21,5695.0,12475.22,11865.39,12143.24,12056.39,1227.26,1223.13,1225.77,1226.21
28,CN7,4G,32,8,22326.0,25384.0,28443.0,30540.0,149.0,641.0,170.15,5678.0,12595.34,12254.83,12292.98,11789.8,1223.82,1223.7,1222.16,1219.35
29,CN7,4G,32,16,22239.0,25385.0,28880.0,33292.0,150.0,538.0,169.8,5677.33,13055.57,12484.8,12452.12,13074.17,1220.69,1218.87,1217.29,1221.29
30,CN7,8G,1,1,758.0,1023.0,1636.0,2783.0,1358.0,1534.0,1468.64,1540.0,2793.8,2612.65,22.91,2650.01,305.78,305.77,1.08,305.45
31,CN7,8G,1,2,720.0,902.0,1094.0,1854.0,1352.0,1553.0,1489.17,1561.67,1568.93,1533.68,3126.29,3034.25,152.28,154.04,307.94,306.28
32,CN7,8G,1,4,771.0,996.0,1128.0,1865.0,1275.0,1534.0,1471.6,1543.67,2267.13,2273.91,2283.72,2242.9,228.49,230.61,229.92,228.79
33,CN7,8G,1,8,758.0,941.0,1215.0,1822.0,1331.0,1521.0,1457.03,1528.67,2269.41,2291.45,2295.82,2253.48,228.16,229.03,229.18,227.22
34,CN7,8G,1,16,758.0,957.0,1488.0,1816.0,1316.0,1525.0,1463.51,1535.33,2260.62,2284.03,2279.87,2261.42,227.96,229.68,228.36,228.75
35,CN7,8G,2,1,788.0,924.0,1521.0,2605.0,1330.0,1477.0,1401.82,2906.67,2940.71,2674.9,5366.23,5389.12,305.76,306.58,611.56,610.08
36,CN7,8G,2,2,823.0,955.0,1395.0,1887.0,1304.0,1492.0,1392.63,2881.0,4335.71,5688.49,4261.64,2988.01,456.97,610.9,458.31,304.32
37,CN7,8G,2,4,818.0,946.0,1150.0,1750.0,1265.0,1440.0,1384.32,2873.67,4564.37,4562.42,4589.65,4523.04,454.99,456.67,455.71,456.46
38,CN7,8G,2,8,832.0,963.0,1275.0,1718.0,1294.0,1462.0,1382.93,2857.33,4565.74,4538.98,4662.73,4515.97,454.31,454.42,459.33,454.15
39,CN7,8G,2,16,783.0,908.0,1466.0,1723.0,1290.0,1490.0,1426.18,2986.67,4610.15,4557.39,4691.25,4557.97,454.96,454.86,458.17,455.87
40,CN7,8G,4,1,783.0,946.0,1428.0,1811.0,1328.0,1506.0,1448.97,5920.0,8560.98,8209.44,8327.41,8349.94,915.52,912.69,916.14,914.77
41,CN7,8G,4,2,905.0,1103.0,5527.0,34603.0,1034.0,1447.0,1317.77,5331.33,6744.05,8739.82,8799.1,6752.96,745.7,1020.56,1020.3,745.09
42,CN7,8G,4,4,900.0,1074.0,1526.0,2562.0,1217.0,1450.0,1362.28,5430.33,8005.16,7951.71,8126.74,8017.56,853.41,856.96,858.89,853.14
43,CN7,8G,4,8,903.0,1080.0,1690.0,2561.0,1218.0,1424.0,1351.88,5530.0,8248.23,8121.09,8442.49,8264.17,884.62,888.18,885.87,887.29
44,CN7,8G,4,16,903.0,1090.0,1701.0,2780.0,1207.0,1398.0,1347.11,5578.33,8868.68,8477.89,8799.16,8691.09,919.61,914.57,920.65,917.77
45,CN7,8G,8,1,4337.0,5189.0,6259.0,22916.0,608.0,1371.0,729.02,6068.67,10465.99,10221.8,10092.36,10319.01,1127.06,1124.55,1125.45,1127.61
46,CN7,8G,8,2,4599.0,5582.0,6739.0,8520.0,614.0,1290.0,723.46,5993.0,10301.29,10323.32,9973.11,10122.22,1102.14,1101.73,1101.46,1101.08
47,CN7,8G,8,4,4773.0,6303.0,8028.0,10071.0,612.0,1235.0,719.21,5960.0,10461.85,10456.33,10188.64,10324.91,1105.25,1103.72,1104.71,1103.82
48,CN7,8G,8,8,4882.0,6434.0,8050.0,9852.0,599.0,1236.0,715.89,5936.67,11009.85,10231.88,10517.65,10323.37,1111.55,1105.22,1107.49,1106.39
49,CN7,8G,8,16,4904.0,6499.0,8345.0,10683.0,616.0,1223.0,714.63,5913.0,11482.76,10632.16,11002.87,10600.69,1111.58,1106.89,1108.88,1105.42
50,CN7,8G,16,1,6783.0,7613.0,8629.0,10289.0,296.0,949.0,342.66,5695.33,12059.46,11775.06,11757.2,11826.69,1228.2,1226.77,1227.87,1227.54
51,CN7,8G,16,2,7504.0,8586.0,9984.0,11819.0,285.0,958.0,337.7,5639.33,11787.46,11594.87,11401.52,11707.86,1187.51,1185.5,1185.21,1187.28
52,CN7,8G,16,4,11512.0,13697.0,15926.0,22064.0,298.0,936.0,340.59,5697.33,12360.13,11826.06,12156.34,12002.96,1234.49,1232.14,1234.48,1233.14
53,CN7,8G,16,8,11643.0,13741.0,16253.0,34472.0,292.0,896.0,341.36,5717.0,12589.02,11721.29,12001.67,11678.32,1240.75,1235.29,1237.15,1235.05
54,CN7,8G,16,16,11338.0,13478.0,15795.0,18220.0,300.0,887.0,340.59,5702.0,12503.42,11847.34,11585.91,11836.67,1236.25,1233.61,1231.39,1232.56
55,CN7,8G,32,1,8717.0,9677.0,12823.0,21365.0,139.0,665.0,163.91,5429.0,12430.97,12258.1,12216.77,12195.01,1231.41,1233.55,1232.96,1231.9
56,CN7,8G,32,2,14702.0,16319.0,18394.0,22151.0,145.0,678.0,164.73,5516.67,12667.35,12510.38,12338.98,12527.34,1257.42,1257.67,1257.74,1257.73
57,CN7,8G,32,4,22676.0,25734.0,28967.0,31501.0,146.0,628.0,166.69,5587.0,12868.17,12593.13,12183.29,12263.34,1279.11,1276.96,1275.7,1274.04
58,CN7,8G,32,8,22763.0,25821.0,29055.0,31851.0,150.0,659.0,167.27,5601.0,12538.01,11983.87,12086.69,12227.85,1284.13,1278.89,1280.19,1279.66
59,CN7,8G,32,16,22938.0,25822.0,29054.0,31763.0,146.0,532.0,166.48,5579.67,12999.77,12140.07,12279.48,12487.83,1272.49,1265.71,1266.94,1267.5
60,CN7,16G,1,1,706.0,897.0,1876.0,4844.0,1364.0,1530.0,1484.45,1557.0,3298.48,3261.1,21.64,3376.23,392.1,391.95,1.03,392.71
61,CN7,16G,1,2,695.0,864.0,1090.0,1707.0,1368.0,1550.0,1496.54,1570.33,1996.21,1994.54,3980.56,4031.39,198.32,197.72,395.06,393.9
62,CN7,16G,1,4,714.0,873.0,1106.0,1800.0,1314.0,1546.0,1484.4,1556.67,2944.24,2958.22,2950.06,2954.09,295.9,293.98,294.3,293.55
63,CN7,16G,1,8,701.0,873.0,1111.0,1778.0,1324.0,1537.0,1489.68,1562.33,2932.97,2981.32,2942.26,2962.35,295.01,294.49,292.25,293.07
64,CN7,16G,1,16,692.0,867.0,1210.0,1821.0,1316.0,1538.0,1499.14,1572.33,2950.07,2996.39,2958.9,2950.0,295.91,295.76,293.62,293.27
65,CN7,16G,2,1,755.0,845.0,1712.0,3337.0,1306.0,1473.0,1425.8,2972.0,3174.87,3082.69,6464.63,6747.34,367.73,366.36,757.02,759.05
66,CN7,16G,2,2,813.0,930.0,1781.0,2777.0,1282.0,1450.0,1386.52,2886.67,5130.24,6832.78,5069.09,3694.56,551.01,733.98,550.72,367.42
67,CN7,16G,2,4,788.0,905.0,1095.0,1685.0,1295.0,1470.0,1419.87,2960.67,5554.05,5535.34,5600.63,5554.98,551.92,549.36,551.55,549.01
68,CN7,16G,2,8,780.0,875.0,1084.0,1728.0,1272.0,1454.0,1416.64,2965.67,5507.86,5585.68,5622.88,5575.85,550.81,551.16,551.08,549.84
69,CN7,16G,2,16,777.0,875.0,1270.0,1756.0,1307.0,1458.0,1417.18,2963.33,5500.97,5665.55,5672.48,5668.49,553.69,552.17,551.98,551.8
70,CN7,16G,4,1,829.0,975.0,1827.0,2933.0,1156.0,1497.0,1395.13,5711.33,10001.87,9537.08,10004.41,9746.29,1102.25,1097.47,1101.86,1099.27
71,CN7,16G,4,2,993.0,1216.0,5958.0,32179.0,940.0,1452.0,1281.73,5164.33,7418.05,9891.56,9922.64,7372.59,819.9,1158.38,1159.4,817.52
72,CN7,16G,4,4,1038.0,1297.0,1630.0,2190.0,932.0,1424.0,1296.23,5155.0,9460.24,9450.62,9513.5,9460.6,997.85,993.36,994.44,992.94
73,CN7,16G,4,8,1037.0,1303.0,1718.0,2452.0,956.0,1405.0,1297.53,5159.33,9718.11,9565.67,9813.22,9653.96,1016.95,1011.82,1016.89,1014.37
74,CN7,16G,4,16,1050.0,1319.0,1734.0,2518.0,1027.0,1392.0,1287.36,5230.33,10035.29,9823.18,10171.71,9876.07,1039.51,1035.51,1039.57,1036.3
75,CN7,16G,8,1,4293.0,5167.0,6259.0,7897.0,628.0,1337.0,703.28,5870.67,11179.95,10769.18,10830.25,10970.01,1222.99,1221.97,1222.49,1222.1
76,CN7,16G,8,2,4490.0,5538.0,6783.0,8487.0,602.0,1288.0,695.19,5763.0,11344.0,11018.41,10839.57,11227.93,1225.99,1222.19,1223.82,1224.06
77,CN7,16G,8,4,4839.0,6390.0,8138.0,9896.0,593.0,1226.0,689.6,5727.67,11286.43,11089.29,11005.19,11278.2,1213.17,1210.31,1210.87,1212.25
78,CN7,16G,8,8,4861.0,6434.0,8181.0,9852.0,584.0,1230.0,688.57,5724.33,11326.9,11224.58,11211.35,11516.73,1230.34,1226.97,1227.09,1229.53
79,CN7,16G,8,16,4882.0,6434.0,8269.0,10246.0,598.0,1228.0,687.58,5739.0,11460.85,11153.54,11110.72,11507.34,1237.47,1229.04,1229.5,1232.45
80,CN7,16G,16,1,6739.0,7613.0,8717.0,10115.0,296.0,955.0,335.44,5594.33,12030.21,12031.87,11894.08,12139.69,1274.34,1275.21,1272.6,1274.07
81,CN7,16G,16,2,6914.0,8116.0,20032.0,75476.0,213.0,840.0,308.69,5095.67,9308.39,8554.69,13582.39,8640.34,1068.14,966.41,1588.55,975.5
82,CN7,16G,16,4,11687.0,13741.0,16013.0,18481.0,296.0,934.0,335.01,5613.67,12332.13,12227.35,12291.55,12559.09,1283.55,1278.54,1279.55,1280.25
83,CN7,16G,16,8,11469.0,13610.0,15926.0,18569.0,299.0,969.0,335.88,5626.0,12227.76,12200.33,12181.73,12410.43,1286.6,1281.65,1281.4,1282.08
84,CN7,16G,16,16,11600.0,13741.0,16144.0,18394.0,296.0,839.0,334.64,5609.33,12255.12,12086.55,12107.65,12308.43,1287.17,1280.26,1280.29,1280.59
85,CN7,16G,32,1,8760.0,9677.0,11513.0,19093.0,139.0,629.0,162.05,5399.33,12485.69,12587.92,12502.28,12646.1,1264.19,1264.38,1264.09,1264.47
86,CN7,16G,32,2,14746.0,16319.0,18394.0,21103.0,145.0,671.0,163.5,5473.67,12825.29,12743.06,12938.43,12603.99,1286.11,1283.28,1285.27,1280.34
87,CN7,16G,32,4,23287.0,26171.0,29230.0,31589.0,148.0,632.0,165.42,5546.67,12924.61,12905.01,12971.68,12782.6,1315.34,1309.94,1311.75,1309.49
88,CN7,16G,32,8,23112.0,25996.0,29230.0,32025.0,144.0,616.0,165.54,5553.67,12790.54,12839.7,12932.29,12678.15,1321.08,1315.36,1315.67,1312.68
89,CN7,16G,32,16,23462.0,26433.0,29492.0,32725.0,146.0,545.0,164.74,5524.67,12795.64,12697.82,12982.4,12699.81,1323.07,1315.76,1316.23,1312.55
90,CN7,32G,1,1,690.0,832.0,1800.0,4550.0,1316.0,1532.0,1487.16,1559.67,3780.68,3721.4,3765.24,18.71,440.2,439.81,439.81,1.07
91,CN7,32G,1,2,676.0,739.0,1005.0,1133.0,1394.0,1542.0,1509.78,1583.33,4466.01,2258.63,2240.35,4512.62,442.8,221.82,221.56,442.61
92,CN7,32G,1,4,684.0,793.0,1072.0,1652.0,1374.0,1552.0,1510.9,1584.0,3349.59,3327.58,3370.29,3342.42,332.04,331.32,332.08,330.89
93,CN7,32G,1,8,709.0,821.0,1095.0,1740.0,1318.0,1573.0,1496.98,1570.33,3324.58,3363.23,3367.78,3347.44,331.84,330.57,331.84,331.31
94,CN7,32G,1,16,700.0,799.0,1100.0,1690.0,1259.0,1546.0,1493.65,1566.33,3337.11,3372.31,3419.11,3379.38,332.34,331.09,334.07,330.57
95,CN7,32G,2,1,783.0,851.0,1526.0,2321.0,1274.0,1478.0,1397.3,2912.33,7512.5,3776.28,3457.15,7253.72,817.69,409.01,407.02,815.78
96,CN7,32G,2,2,968.0,1117.0,1450.0,2379.0,978.0,1449.0,1336.45,2797.0,3942.64,5672.95,7556.82,5648.61,395.67,591.09,789.41,591.38
97,CN7,32G,2,4,1128.0,1412.0,1603.0,1789.0,817.0,1473.0,1317.44,2736.0,5848.02,5960.49,5997.31,5983.3,585.65,584.85,587.43,585.91
98,CN7,32G,2,8,1101.0,1406.0,1587.0,1718.0,808.0,1490.0,1321.19,2736.33,5864.29,6028.77,6057.16,6025.43,585.45,585.47,587.7,586.3
99,CN7,32G,2,16,1139.0,1412.0,1592.0,1729.0,826.0,1438.0,1306.25,2721.0,5918.46,6103.0,6149.8,6197.32,586.92,587.54,588.41,588.81
100,CN7,32G,4,1,867.0,1031.0,1942.0,3676.0,1034.0,1503.0,1369.15,5579.0,10927.9,10959.44,10617.81,10641.13,1195.12,1195.77,1194.71,1194.36
101,CN7,32G,4,2,971.0,1122.0,7067.0,16603.0,1017.0,1433.0,1263.81,5015.0,7855.72,7927.78,10484.93,10437.45,886.97,887.37,1239.38,1237.64
102,CN7,32G,4,4,1095.0,1319.0,1608.0,2163.0,996.0,1434.0,1261.31,5147.67,10566.99,10866.56,10882.13,10874.91,1105.18,1106.95,1107.86,1105.93
103,CN7,32G,4,8,1079.0,1308.0,1598.0,2059.0,1027.0,1399.0,1262.24,5217.33,10775.76,11027.74,11244.15,11108.74,1121.4,1120.36,1122.89,1120.75
104,CN7,32G,4,16,1090.0,1313.0,1669.0,2485.0,1005.0,1425.0,1256.26,5170.67,10897.8,11071.84,11446.34,11308.31,1114.64,1110.61,1113.62,1111.85
105,CN7,32G,8,1,4271.0,5123.0,6193.0,8083.0,630.0,1368.0,690.01,5749.33,11883.78,11690.43,12016.81,11855.78,1295.75,1296.32,1297.32,1296.7
106,CN7,32G,8,2,4468.0,5516.0,6783.0,8673.0,594.0,1284.0,682.56,5680.0,11991.83,11658.21,11842.0,11601.46,1281.99,1280.77,1283.38,1280.82
107,CN7,32G,8,4,4817.0,6346.0,8094.0,9984.0,600.0,1246.0,679.36,5658.67,11960.87,11883.33,11966.83,11880.16,1277.66,1275.16,1277.06,1274.99
108,CN7,32G,8,8,4839.0,6368.0,8225.0,10420.0,597.0,1236.0,680.48,5650.33,11905.1,11922.1,12115.47,11885.48,1279.14,1276.6,1279.53,1275.36
109,CN7,32G,8,16,4839.0,6390.0,8323.0,10770.0,599.0,1262.0,680.5,5649.0,11932.64,11936.0,12232.14,12030.49,1283.95,1278.78,1282.45,1280.01
110,CN7,32G,16,1,4434.0,5046.0,5855.0,7034.0,195.0,552.0,222.47,4283.0,8309.59,12450.16,8202.19,8190.5,866.87,1404.32,866.27,866.4
111,CN7,32G,16,2,7460.0,8542.0,114994.0,150995.0,192.0,642.0,220.66,4941.0,10957.13,13275.21,10291.88,9911.24,1121.65,1448.5,1047.72,1011.39
112,CN7,32G,16,4,11600.0,13653.0,15926.0,18482.0,295.0,938.0,332.17,5565.33,12605.34,12976.23,13055.51,12764.03,1308.21,1308.22,1307.8,1304.63
