,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,4G,1,1,2409.0,2496.0,2638.0,4064.0,417.0,471.0,446.77,468.33,1154.82,17.8,638.95,1155.73,119.46,1.88,66.08,119.57
1,CN7,4G,1,2,2365.0,2474.0,2572.0,4107.0,426.0,498.0,464.62,487.0,1215.36,646.09,646.0,1214.89,125.62,66.84,66.79,125.57
2,CN7,4G,1,4,2398.0,2485.0,2638.0,4047.0,425.0,482.0,450.31,472.33,878.18,878.1,878.17,877.71,90.62,90.68,90.63,90.59
3,CN7,4G,1,8,2354.0,2452.0,3053.0,4069.0,429.0,484.0,452.44,474.33,878.27,878.24,878.2,877.83,90.78,90.83,90.79,90.75
4,CN7,4G,1,16,2441.0,2529.0,3086.0,4025.0,418.0,500.0,440.11,461.33,833.46,833.51,833.37,833.06,86.13,86.18,86.14,86.1
5,CN7,4G,1,32,2485.0,2605.0,3206.0,4173.0,402.0,444.0,430.11,451.0,811.58,810.79,809.52,810.66,83.79,83.84,83.79,83.76
6,CN7,4G,1,64,2485.0,2867.0,3217.0,4074.0,394.0,460.0,434.71,456.67,835.07,835.15,833.95,834.32,86.14,86.18,86.13,86.1
7,CN7,4G,2,1,2321.0,2430.0,2638.0,4358.0,441.0,515.0,478.94,994.67,2406.56,2405.16,1164.48,1162.79,248.68,248.73,120.27,120.22
8,CN7,4G,2,2,2321.0,2463.0,2649.0,4151.0,446.0,508.0,474.07,982.67,1731.65,1731.28,1731.52,1731.2,178.96,179.01,178.97,178.93
9,CN7,4G,2,4,2387.0,2682.0,2999.0,4080.0,444.0,506.0,471.98,985.0,1727.46,1725.1,1727.39,1725.68,179.06,179.07,179.07,179.0
10,CN7,4G,2,8,2441.0,2715.0,3053.0,4047.0,422.0,486.0,447.48,933.67,1729.3,1728.44,1728.56,1728.99,179.1,179.13,179.09,179.07
11,CN7,4G,2,16,2387.0,2736.0,3064.0,4156.0,429.0,502.0,468.68,979.0,1779.86,1778.16,1779.59,1779.33,184.48,184.51,184.5,184.45
12,CN7,4G,2,32,2354.0,2638.0,2933.0,4129.0,447.0,524.0,479.84,1000.33,1780.73,1781.47,1781.66,1778.28,184.51,184.57,184.54,184.45
13,CN7,4G,2,64,2365.0,2682.0,3348.0,6903.0,443.0,522.0,481.66,999.33,1780.88,1780.61,1780.45,1780.17,184.49,184.53,184.5,184.46
14,CN7,4G,4,1,2201.0,2365.0,2616.0,4080.0,451.0,582.0,537.91,2075.33,3646.58,3645.8,3646.45,3646.43,377.2,377.23,377.21,377.17
15,CN7,4G,4,2,2386.0,2660.0,2955.0,4184.0,427.0,562.0,511.01,2031.33,3510.28,3507.97,3506.65,3506.93,366.11,366.1,366.05,366.01
16,CN7,4G,4,4,2277.0,2638.0,3129.0,4194.0,472.0,565.0,527.1,2182.33,3873.15,3875.03,3878.23,3875.67,402.89,402.98,403.0,402.92
17,CN7,4G,4,8,2179.0,2551.0,3064.0,4271.0,512.0,575.0,546.88,2290.33,3987.15,3985.74,3986.76,3986.35,413.84,413.86,413.84,413.79
18,CN7,4G,4,16,2169.0,2605.0,3075.0,4184.0,509.0,572.0,544.95,2283.33,3863.91,3862.63,3862.87,3859.74,400.91,400.97,400.94,400.84
19,CN7,4G,4,32,2212.0,2627.0,3064.0,4446.0,492.0,570.0,541.63,2268.33,3861.34,3862.54,3859.49,3861.37,400.87,400.95,400.87,400.84
20,CN7,4G,4,64,2452.0,2802.0,3250.0,4992.0,420.0,560.0,509.47,2018.67,3666.14,3666.05,3669.13,3533.85,382.66,382.72,382.7,368.05
21,CN7,4G,8,1,2398.0,2682.0,3031.0,4577.0,431.0,534.0,501.62,4117.33,7365.19,7371.64,7371.11,7382.12,771.96,772.17,772.15,772.19
22,CN7,4G,8,2,2627.0,2944.0,3457.0,4686.0,434.0,511.0,477.99,3934.67,6673.59,6649.34,6648.55,6653.09,706.44,706.18,706.14,706.14
23,CN7,4G,8,4,2671.0,3031.0,3523.0,4309.0,429.0,502.0,474.85,3914.0,6663.6,6624.71,6657.47,6648.76,706.45,705.93,706.4,706.03
24,CN7,4G,8,8,2660.0,3031.0,3556.0,4555.0,439.0,510.0,477.88,3952.67,6686.83,6656.16,6666.61,6681.54,706.87,706.5,706.64,706.8
25,CN7,4G,8,16,2594.0,2955.0,3479.0,5145.0,424.0,518.0,487.61,4043.67,7106.44,7098.58,7096.63,7094.33,750.01,750.02,749.97,749.89
26,CN7,4G,8,32,2496.0,2813.0,3293.0,4686.0,447.0,521.0,495.91,4104.0,7341.03,7323.64,7329.9,7326.12,771.75,771.6,771.69,771.61
27,CN7,4G,8,64,2529.0,2867.0,3523.0,5734.0,440.0,521.0,493.12,4074.33,7174.34,7148.31,7037.28,7160.97,754.2,752.17,740.22,754.09
28,CN7,4G,16,1,3774.0,4156.0,4686.0,6259.0,302.0,362.0,327.11,5374.33,9779.06,9793.81,9784.19,9785.47,1054.58,1054.66,1054.71,1054.71
29,CN7,4G,16,2,3851.0,4271.0,4861.0,7340.0,309.0,348.0,326.11,5427.33,9762.55,9733.44,9741.7,9751.23,1054.68,1054.4,1054.36,1054.5
30,CN7,4G,16,4,3829.0,4228.0,4861.0,9809.0,309.0,341.0,325.4,5431.33,9732.72,9685.24,9704.11,9682.39,1054.56,1054.03,1054.21,1053.85
31,CN7,4G,16,8,3829.0,4249.0,4882.0,7493.0,309.0,343.0,325.04,5433.67,9713.86,9676.54,9688.97,9698.94,1054.77,1054.38,1054.5,1054.62
32,CN7,4G,16,16,3818.0,4228.0,4861.0,7209.0,305.0,343.0,325.95,5446.0,9726.14,9707.72,9710.73,9701.72,1055.19,1054.97,1054.99,1054.84
33,CN7,4G,16,32,3796.0,4228.0,4970.0,6827.0,302.0,345.0,327.45,5469.0,9719.41,9728.08,9722.84,9721.14,1054.98,1055.09,1055.07,1055.03
34,CN7,4G,16,64,3840.0,4271.0,5101.0,6783.0,292.0,342.0,325.4,5440.33,9799.78,9772.94,9535.2,9800.21,1063.2,1061.75,1032.05,1063.24
35,CN7,8G,1,1,2376.0,2441.0,2540.0,4659.0,426.0,478.0,448.14,469.67,1315.64,1256.39,14.03,1315.35,136.02,129.93,1.46,136.01
36,CN7,8G,1,2,2387.0,2474.0,2551.0,4058.0,425.0,464.0,441.61,463.0,634.42,634.76,1256.69,1255.94,65.59,65.62,129.82,129.8
37,CN7,8G,1,4,2299.0,2398.0,2518.0,4036.0,437.0,478.0,460.71,483.33,976.72,976.61,977.64,976.51,100.9,100.92,100.91,100.88
38,CN7,8G,1,8,2365.0,2452.0,2638.0,3993.0,426.0,483.0,457.5,480.0,992.03,992.0,992.56,991.76,102.56,102.59,102.57,102.55
39,CN7,8G,1,16,2398.0,2463.0,2966.0,3971.0,420.0,475.0,444.15,465.67,975.48,975.58,976.33,975.49,100.85,100.88,100.86,100.85
40,CN7,8G,1,32,2332.0,2430.0,3021.0,3862.0,421.0,480.0,458.21,480.33,992.13,992.15,993.31,991.86,102.54,102.57,102.56,102.52
41,CN7,8G,1,64,2431.0,2573.0,3031.0,4047.0,393.0,454.0,436.22,457.33,945.53,945.58,946.46,945.55,97.75,97.77,97.77,97.73
42,CN7,8G,2,1,2289.0,2387.0,2572.0,4042.0,448.0,517.0,475.61,988.67,2747.03,2746.89,1316.39,1316.09,284.04,284.06,136.09,136.06
43,CN7,8G,2,2,2419.0,2638.0,2846.0,4036.0,444.0,520.0,474.15,993.33,2045.84,1348.74,1981.68,2702.91,213.22,139.44,206.47,280.55
44,CN7,8G,2,4,2343.0,2606.0,2856.0,3998.0,446.0,519.0,472.73,986.67,1994.79,1994.08,1995.34,1993.86,206.69,206.71,206.69,206.66
45,CN7,8G,2,8,2354.0,2562.0,2878.0,3752.0,438.0,514.0,468.64,976.67,1996.19,1995.3,1997.07,1995.9,206.71,206.72,206.73,206.69
46,CN7,8G,2,16,2365.0,2616.0,2922.0,3938.0,430.0,491.0,458.67,956.0,1963.08,1962.67,1964.03,1964.02,203.29,203.31,203.3,203.28
47,CN7,8G,2,32,2376.0,2638.0,2933.0,4298.0,429.0,515.0,469.27,976.0,1994.35,1994.69,1995.4,1995.88,206.7,206.72,206.71,206.68
48,CN7,8G,2,64,2365.0,2649.0,2944.0,3992.0,430.0,514.0,473.47,991.33,2028.52,2028.11,2029.66,2029.91,210.08,210.11,210.11,210.09
49,CN7,8G,4,1,1980.0,2147.0,2387.0,3566.0,533.0,594.0,564.54,2365.0,4571.42,4571.95,4572.41,4572.16,472.73,472.77,472.75,472.72
50,CN7,8G,4,2,2343.0,2649.0,2977.0,3632.0,437.0,570.0,518.89,2097.33,4695.15,3609.84,3612.56,4698.06,492.66,374.77,374.79,492.69
51,CN7,8G,4,4,2278.0,2584.0,3010.0,4004.0,454.0,600.0,530.34,2157.67,4382.08,4383.94,4385.26,4386.01,455.82,455.88,455.88,455.86
52,CN7,8G,4,8,2204.0,2529.0,2955.0,3943.0,474.0,574.0,540.66,2215.67,4398.02,4399.26,4400.39,4398.46,456.76,456.83,456.83,456.75
