,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,4G,1,1,968.0,5385.0,7504.0,8127.0,1112.0,1441.0,1313.17,1381.33,75.28,1517.75,1515.72,1512.2,7.91,187.96,187.67,187.29
1,CN7,4G,1,2,946.0,1117.0,3566.0,4184.0,1285.0,1552.0,1407.98,1469.33,1691.5,1893.31,981.66,981.48,209.7,235.08,121.2,121.14
2,CN7,4G,1,4,941.0,1111.0,1794.0,2758.0,1320.0,1613.0,1439.67,1497.33,1437.72,1437.81,1437.33,1436.7,178.1,178.19,178.1,178.03
3,CN7,4G,1,8,938.0,1112.0,1805.0,3605.0,1278.0,1607.0,1464.0,1522.33,1437.89,1437.98,1437.44,1436.87,178.12,178.2,178.11,178.04
4,CN7,4G,1,16,924.0,1112.0,1767.0,2867.0,1328.0,1593.0,1471.0,1520.33,1438.06,1438.09,1437.73,1437.1,178.13,178.2,178.12,178.04
5,CN7,4G,1,32,935.0,1199.0,1849.0,2463.0,1336.0,1579.0,1451.73,1499.33,1438.0,1438.09,1437.84,1436.88,178.12,178.2,178.11,178.04
6,CN7,4G,1,64,974.0,1543.0,1849.0,2277.0,1324.0,1550.0,1411.87,1463.0,1438.67,1438.88,1438.23,1437.6,178.09,178.19,178.09,178.02
7,CN7,4G,2,1,892.0,1039.0,1161.0,2289.0,1296.0,1604.0,1439.3,2909.67,1893.39,1893.6,3714.96,3714.33,234.99,235.1,462.55,462.47
8,CN7,4G,2,2,1106.0,1467.0,1805.0,6303.0,1120.0,1572.0,1356.94,2751.67,2804.4,3715.55,2804.19,1892.28,348.78,462.65,348.79,234.93
9,CN7,4G,2,4,1144.0,1461.0,1838.0,4992.0,1119.0,1630.0,1362.02,2772.67,2804.3,2804.73,2803.92,2803.18,348.77,348.88,348.77,348.7
10,CN7,4G,2,8,1183.0,1554.0,1914.0,3430.0,1052.0,1654.0,1358.51,2749.33,2806.58,2805.35,2804.48,2803.74,348.79,348.89,348.8,348.72
11,CN7,4G,2,16,1368.0,1805.0,2430.0,4555.0,890.0,1633.0,1322.22,2670.0,2805.2,2808.69,2808.71,2807.86,348.8,348.89,348.82,348.72
12,CN7,4G,2,32,1412.0,1909.0,2540.0,3020.0,873.0,1644.0,1325.45,2667.67,2805.54,2805.42,2804.89,2803.98,348.81,348.89,348.8,348.72
13,CN7,4G,2,64,1270.0,1625.0,2092.0,4626.0,1018.0,1566.0,1312.5,2657.33,2804.83,2806.71,2804.45,2805.71,348.83,348.91,348.82,348.76
14,CN7,4G,4,1,856.0,1023.0,1182.0,2357.0,1321.0,1511.0,1392.67,5712.33,5538.9,5538.72,5537.74,5542.22,690.16,690.24,690.14,690.05
15,CN7,4G,4,2,1259.0,3534.0,7024.0,9328.0,823.0,1444.0,1171.46,4689.0,4204.78,5402.84,5378.22,4199.32,523.75,673.4,670.22,523.02
16,CN7,4G,4,4,1100.0,1417.0,1750.0,2321.0,1167.0,1486.0,1291.42,5302.0,5538.27,5538.43,5537.68,5537.03,690.14,690.23,690.14,690.04
