,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,4G,1,1,785.0,970.0,1193.0,10137.0,1379.0,1478.0,1439.8,1508.67,1907.6,1905.46,1904.91,81.96,236.9,236.72,236.65,9.04
1,CN7,4G,1,4,769.0,952.0,1729.0,9711.0,1356.0,1540.0,1458.53,1530.67,1447.71,1447.58,1447.47,1447.07,179.52,179.59,179.54,179.47
2,CN7,4G,1,16,750.0,911.0,1718.0,4620.0,1360.0,1535.0,1470.4,1548.33,1447.76,1447.8,1447.75,1447.12,179.53,179.6,179.56,179.48
3,CN7,4G,2,1,785.0,998.0,1199.0,9700.0,1297.0,1464.0,1403.47,2931.33,1903.43,3725.53,3725.47,1902.73,236.42,464.04,463.98,236.37
4,CN7,4G,2,4,782.0,1010.0,1685.0,15882.0,1342.0,1441.0,1411.5,2957.0,2814.72,2816.59,2814.37,2813.57,350.21,350.28,350.21,350.14
5,CN7,4G,2,16,785.0,1028.0,1805.0,21278.0,1348.0,1448.0,1402.53,2938.67,2815.5,2820.71,2816.21,2815.3,350.21,350.28,350.23,350.17
6,CN7,4G,4,1,722.0,985.0,1215.0,2166.0,1274.0,1442.0,1407.95,5860.33,5547.84,5548.22,5548.22,5547.58,691.53,691.6,691.54,691.48
7,CN7,4G,4,4,965.0,1172.0,1751.0,2938.0,1150.0,1333.0,1287.33,5258.33,5547.91,5548.18,5547.68,5547.11,691.55,691.64,691.56,691.5
8,CN7,4G,4,16,965.0,1183.0,1772.0,2485.0,1174.0,1346.0,1289.64,5221.67,5548.38,5547.2,5547.75,5547.23,691.57,691.65,691.58,691.52
9,CN7,4G,8,1,2387.0,2747.0,3272.0,68944.0,436.0,1296.0,656.81,5290.33,6953.27,7030.71,7027.91,7087.95,867.44,877.23,876.71,884.57
10,CN7,4G,8,4,4364.0,5778.0,7875.0,90702.0,437.0,1149.0,655.3,5419.67,6815.59,6821.42,6828.05,6830.87,849.98,850.76,851.56,851.94
11,CN7,4G,8,16,4337.0,5888.0,7788.0,71478.0,401.0,1152.0,658.43,5465.33,6614.49,6613.61,6615.18,6614.64,824.61,824.66,824.64,824.61
12,CN7,8G,1,1,1038.0,1150.0,1292.0,47623.0,951.0,1502.0,1350.39,1412.33,2481.57,2481.86,54.26,2462.8,309.03,309.08,5.93,306.67
13,CN7,8G,1,4,736.0,886.0,1128.0,23637.0,1361.0,1559.0,1507.0,1566.67,1876.46,1876.41,1876.69,1876.51,233.48,233.53,233.49,233.45
14,CN7,8G,1,16,733.0,848.0,1647.0,6740.0,1347.0,1550.0,1494.27,1571.33,1876.8,1876.67,1877.11,1877.0,233.51,233.54,233.51,233.48
15,CN7,8G,2,1,772.0,954.0,1193.0,41987.0,1277.0,1468.0,1414.83,2929.33,4911.3,4912.3,2484.41,2484.63,612.59,612.62,309.35,309.32
16,CN7,8G,2,4,763.0,922.0,1232.0,35499.0,1214.0,1470.0,1409.11,2954.33,3700.41,3699.18,3699.31,3700.53,461.06,461.11,461.07,461.04
17,CN7,8G,2,16,766.0,938.0,1609.0,44652.0,1202.0,1470.0,1407.24,2947.0,3700.57,3699.08,3699.95,3700.68,461.07,461.11,461.1,461.05
18,CN7,8G,4,1,1095.0,1243.0,1543.0,43647.0,911.0,1438.0,1306.97,5326.67,6869.03,6970.31,7027.26,6948.34,856.95,869.48,876.63,866.78
19,CN7,8G,4,4,973.0,1330.0,2551.0,66934.0,1047.0,1347.0,1278.09,5215.33,6611.92,6610.68,6609.72,6611.85,824.6,824.62,824.59,824.57
20,CN7,8G,4,16,979.0,1325.0,2215.0,69556.0,1063.0,1331.0,1266.35,5195.67,6610.21,6609.77,6611.98,6610.65,824.62,824.66,824.64,824.59
21,CN7,8G,8,1,2420.0,2802.0,3348.0,68070.0,437.0,1318.0,597.6,4859.67,7460.56,7460.54,7460.63,7453.49,931.17,931.2,931.17,930.29
22,CN7,8G,8,4,4642.0,6019.0,8433.0,93148.0,384.0,1150.0,569.23,4748.67,7424.6,7424.3,7420.39,7426.44,926.57,926.52,925.99,926.87
23,CN7,8G,8,16,4751.0,6193.0,8313.0,88954.0,380.0,1168.0,568.65,4749.0,7317.56,7318.22,7318.86,7318.55,913.29,913.34,913.32,913.3
24,CN7,16G,1,1,1117.0,1210.0,1330.0,43778.0,922.0,1502.0,1200.78,1257.0,2601.73,28.98,2602.29,2602.15,324.43,3.18,324.46,324.43
25,CN7,16G,1,4,714.0,818.0,1112.0,19093.0,1341.0,1554.0,1506.89,1580.0,2378.31,2378.31,2378.24,2378.26,296.42,296.44,296.42,296.4
26,CN7,16G,1,16,744.0,829.0,1636.0,17083.0,1342.0,1541.0,1467.11,1538.33,2378.12,2378.05,2377.98,2378.19,296.42,296.45,296.43,296.41
27,CN7,16G,2,1,1023.0,1133.0,1335.0,49895.0,955.0,1489.0,1251.58,2566.67,5336.8,2763.81,2763.9,5336.69,665.92,344.66,344.65,665.9
28,CN7,16G,2,4,788.0,875.0,1144.0,38535.0,1082.0,1446.0,1348.4,2826.33,4315.89,4315.16,4315.87,4314.98,538.32,538.33,538.31,538.3
29,CN7,16G,2,16,777.0,834.0,1565.0,40458.0,1192.0,1479.0,1369.24,2869.33,4315.37,4315.06,4314.9,4315.88,538.33,538.34,538.31,538.31
30,CN7,16G,4,1,1270.0,1488.0,1945.0,58109.0,763.0,1436.0,1101.63,4511.33,7060.74,7060.77,7060.64,7060.73,881.24,881.26,881.24,881.23
31,CN7,16G,4,4,1516.0,2231.0,3993.0,71391.0,783.0,1380.0,1088.39,4502.0,6932.39,6933.44,6932.88,6933.2,865.22,865.23,865.23,865.2
32,CN7,16G,4,16,1620.0,2452.0,4178.0,68157.0,743.0,1360.0,1076.99,4479.67,6932.72,6934.81,6932.91,6934.85,865.23,865.27,865.24,865.25
33,CN7,16G,8,1,2496.0,2878.0,3534.0,74973.0,375.0,1310.0,552.15,4477.33,7738.42,7736.97,7738.22,7738.29,966.02,965.91,966.01,966.02
34,CN7,16G,8,4,4839.0,6237.0,9066.0,92100.0,379.0,1162.0,527.5,4420.67,7726.7,7727.23,7720.84,7727.1,964.62,964.65,963.86,964.62
35,CN7,16G,8,16,4970.0,6455.0,9372.0,85109.0,392.0,1158.0,525.73,4396.67,7582.22,7579.85,7586.88,7584.71,946.45,946.13,947.02,946.71
36,CN7,32G,1,1,1111.0,1210.0,1324.0,44827.0,950.0,1500.0,1141.14,1196.33,15.43,2666.42,2749.35,2749.43,1.69,332.72,343.04,343.05
37,CN7,32G,1,4,731.0,791.0,1017.0,17367.0,1320.0,1562.0,1488.31,1560.67,2644.4,2642.85,2644.45,2644.5,329.88,329.89,329.88,329.89
38,CN7,32G,1,16,733.0,791.0,1023.0,16777.0,1332.0,1546.0,1482.71,1554.67,2643.84,2643.86,2643.79,2644.05,329.83,329.85,329.84,329.84
39,CN7,32G,2,1,1064.0,1177.0,1384.0,51817.0,865.0,1495.0,1177.86,2442.0,2837.84,2838.13,5570.59,5571.52,354.1,354.14,695.36,695.45
40,CN7,32G,2,4,886.0,944.0,1102.0,39933.0,1046.0,1454.0,1288.16,2696.0,4604.01,4604.32,4603.78,4604.02,574.6,574.61,574.59,574.61
41,CN7,32G,2,16,931.0,1016.0,1276.0,39759.0,992.0,1476.0,1296.76,2714.0,4604.51,4604.77,4604.12,4604.01,574.62,574.62,574.62,574.6
42,CN7,32G,4,1,1286.0,1488.0,1963.0,66410.0,750.0,1436.0,1036.55,4290.67,7501.0,7502.46,7515.62,7516.79,936.41,936.6,938.38,938.38
43,CN7,32G,4,4,1690.0,2496.0,4244.0,71478.0,740.0,1370.0,1007.2,4214.67,7303.71,7303.81,7304.05,7303.75,911.82,911.84,911.83,911.81
44,CN7,32G,4,16,1647.0,2419.0,4288.0,71828.0,736.0,1382.0,1010.11,4220.33,7304.62,7304.24,7304.52,7304.15,911.82,911.83,911.83,911.82
45,CN7,32G,8,1,2507.0,2878.0,3545.0,83711.0,332.0,1312.0,540.42,4390.67,8001.18,8001.36,8001.71,8000.95,998.99,999.01,999.01,998.92
46,CN7,32G,8,4,4904.0,6303.0,9285.0,97693.0,346.0,1119.0,510.89,4283.0,7765.75,7765.65,7764.76,7766.02,969.57,969.59,969.59,969.58
47,CN7,32G,8,16,4861.0,6259.0,9066.0,88255.0,317.0,1130.0,511.94,4292.67,7841.96,7840.51,7842.85,7843.14,979.01,978.93,979.12,979.15
48,CN7,4G,1,1,766.0,935.0,1177.0,4413.0,1400.0,1542.0,1464.53,1536.33,1907.9,1907.55,1907.72,84.81,236.97,237.03,236.97,9.36
49,CN7,4G,1,4,774.0,966.0,1543.0,4850.0,1342.0,1525.0,1462.13,1536.0,1451.18,1451.66,1451.01,1450.64,179.96,180.04,179.98,179.91
50,CN7,4G,1,16,774.0,952.0,1701.0,5341.0,1371.0,1527.0,1458.4,1529.33,1451.18,1451.05,1451.45,1450.87,179.96,180.03,179.97,179.92
51,CN7,4G,2,1,752.0,979.0,1188.0,11852.0,1334.0,1520.0,1456.13,3022.0,1906.68,3728.94,3729.12,1906.36,236.85,464.48,464.42,236.81
52,CN7,4G,2,4,777.0,993.0,1685.0,17848.0,1298.0,1513.0,1431.8,2997.0,2818.07,2818.12,2817.58,2817.87,350.64,350.72,350.65,350.6
53,CN7,4G,2,16,772.0,955.0,1701.0,9683.0,1305.0,1472.0,1412.87,2955.33,2818.47,2817.85,2818.36,2817.54,350.63,350.71,350.66,350.63
54,CN7,4G,4,1,733.0,949.0,1199.0,12236.0,1296.0,1466.0,1416.88,5816.33,5551.92,5551.86,5551.54,5550.83,691.99,692.06,691.99,691.94
55,CN7,4G,4,4,876.0,1045.0,1865.0,8788.0,1218.0,1377.0,1331.63,5454.0,5286.87,5287.96,5287.06,5286.6,659.04,659.14,659.06,659.0
