,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,4G,1,1,2420.0,2518.0,2616.0,4058.0,417.0,460.0,440.17,462.0,1218.24,1219.01,79.95,1218.91,127.11,127.23,9.49,127.21
1,CN7,4G,1,4,2365.0,2463.0,2802.0,4129.0,432.0,468.0,450.42,472.33,934.66,935.34,935.28,935.46,97.68,97.68,97.67,97.66
2,CN7,4G,1,16,2398.0,2529.0,3140.0,3992.0,415.0,470.0,450.02,472.0,934.97,935.01,935.39,935.49,97.85,97.84,97.83,97.83
3,CN7,4G,2,1,2321.0,2431.0,2715.0,4178.0,448.0,505.0,472.1,983.0,2357.77,2358.62,1219.92,1219.82,244.96,244.97,127.23,127.22
4,CN7,4G,2,4,2409.0,2627.0,2955.0,4135.0,436.0,524.0,473.3,986.67,1783.0,1783.65,1784.5,1783.77,186.05,186.05,186.04,186.02
5,CN7,4G,2,16,2354.0,2594.0,3010.0,4085.0,442.0,526.0,475.07,992.33,1840.75,1840.34,1841.91,1842.34,191.78,191.77,191.77,191.78
6,CN7,4G,4,1,2122.0,2288.0,2551.0,3916.0,491.0,566.0,536.76,2202.0,3939.63,3940.3,3940.54,3940.44,408.67,408.69,408.67,408.66
7,CN7,4G,4,4,2130.0,2441.0,2998.0,3982.0,504.0,565.0,544.84,2267.0,4054.33,4054.86,4054.82,4057.07,422.0,422.02,422.0,422.03
8,CN7,4G,4,16,2376.0,2692.0,3108.0,3905.0,441.0,564.0,514.79,2073.33,3680.69,3684.82,3682.93,3685.77,384.44,384.5,384.46,384.53
9,CN7,4G,8,1,2343.0,2605.0,2966.0,4752.0,461.0,536.0,507.64,4192.67,7441.51,7448.43,7441.52,7438.02,779.76,779.94,779.82,779.77
10,CN7,4G,8,4,2518.0,2824.0,3228.0,4905.0,446.0,518.0,491.19,4008.67,6959.12,6966.85,6958.66,6953.7,735.44,735.7,735.59,735.44
11,CN7,4G,8,16,2507.0,2835.0,3283.0,4948.0,449.0,523.0,494.42,4134.0,7385.94,7395.35,7375.41,7385.85,779.24,779.39,779.14,779.26
12,CN7,4G,16,1,3774.0,4167.0,4752.0,6707.0,305.0,359.0,328.15,5430.33,9812.36,9812.53,9786.63,9800.66,1059.53,1059.54,1059.11,1059.72
13,CN7,4G,16,4,3829.0,4228.0,4882.0,7220.0,308.0,343.0,326.13,5446.67,9763.78,9739.37,9732.3,9725.15,1059.74,1059.41,1059.3,1059.08
14,CN7,4G,16,16,3807.0,4228.0,4926.0,6805.0,309.0,344.0,326.42,5457.0,9768.58,9739.61,9775.57,9757.93,1060.45,1060.09,1060.52,1060.29
15,CN7,8G,1,1,2376.0,2474.0,2594.0,5636.0,416.0,466.0,445.64,467.33,1290.72,47.92,1290.42,1349.06,133.76,5.3,133.78,139.8
16,CN7,8G,1,4,2332.0,2409.0,2551.0,4047.0,425.0,485.0,461.26,484.0,1009.28,1008.07,1008.88,1007.85,104.85,104.83,104.83,104.82
17,CN7,8G,1,16,2420.0,2496.0,2999.0,4025.0,413.0,474.0,437.65,459.0,992.26,991.29,991.98,991.29,103.18,103.17,103.17,103.16
18,CN7,8G,2,1,2256.0,2387.0,2562.0,4042.0,450.0,528.0,486.03,1014.33,2716.52,1485.93,1486.38,2716.71,281.61,154.37,154.37,281.6
19,CN7,8G,2,4,2441.0,2682.0,2944.0,4025.0,416.0,485.0,450.67,938.67,1964.46,1964.43,1965.34,1965.14,204.13,204.13,204.12,204.12
20,CN7,8G,2,16,2398.0,2627.0,2977.0,4173.0,430.0,492.0,455.65,949.0,1997.11,1996.43,1996.79,1997.37,207.34,207.33,207.32,207.32
21,CN7,8G,4,1,2193.0,2332.0,2551.0,3878.0,431.0,585.0,530.2,2108.67,4235.83,4235.82,4235.83,4236.41,438.74,438.74,438.72,438.73
22,CN7,8G,4,4,2496.0,2802.0,3130.0,3905.0,345.0,550.0,495.79,1907.0,3840.61,3846.81,3841.59,3838.92,402.34,402.38,402.33,402.29
23,CN7,8G,4,16,2182.0,2529.0,2955.0,3938.0,479.0,580.0,543.75,2259.0,4510.98,4514.27,4512.75,4511.34,468.87,468.9,468.89,468.86
24,CN7,8G,8,1,2332.0,2595.0,2889.0,4751.0,465.0,540.0,510.11,4205.0,8291.66,8295.74,8295.35,8285.33,867.2,867.26,867.3,867.08
25,CN7,8G,8,4,2507.0,2835.0,3250.0,5975.0,429.0,526.0,493.13,4074.67,8072.15,8056.9,8061.2,8056.18,851.32,850.87,851.13,851.05
26,CN7,8G,8,16,2485.0,2802.0,3228.0,5210.0,442.0,524.0,496.51,4122.67,8079.67,8061.02,8083.04,8079.9,851.65,851.39,851.69,851.6
27,CN7,8G,16,1,3752.0,4145.0,4686.0,7253.0,302.0,430.0,329.29,5413.33,10921.37,10930.54,10943.13,10925.06,1179.48,1179.59,1179.59,1179.38
28,CN7,8G,16,4,3829.0,4249.0,4839.0,9295.0,307.0,346.0,325.35,5440.0,10983.33,10967.43,10943.84,10951.48,1192.99,1192.83,1192.44,1192.53
29,CN7,8G,16,16,3818.0,4228.0,4817.0,8924.0,305.0,344.0,325.72,5449.67,11121.38,11100.01,11125.36,11125.23,1207.84,1207.53,1207.85,1207.86
30,CN7,16G,1,1,2409.0,2485.0,2584.0,6390.0,416.0,482.0,442.5,464.33,27.2,1360.13,1393.96,1393.47,2.87,140.77,144.19,144.18
31,CN7,16G,1,4,2332.0,2431.0,2540.0,3446.0,417.0,494.0,461.47,484.0,1089.09,1088.09,1088.89,1089.07,112.85,112.85,112.84,112.86
