,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,4G,1,1,862.0,1084.0,1221.0,2299.0,1355.0,1484.0,1418.53,1496.33,1457.41,1820.94,1820.85,0.28,182.58,228.09,228.09,0.53
1,CN7,4G,1,4,802.0,1006.0,1346.0,5156.0,1349.0,1525.0,1452.0,1527.33,1366.2,1366.03,1366.11,1365.98,171.35,171.34,171.36,171.34
2,CN7,4G,1,16,794.0,1009.0,1690.0,4992.0,1366.0,1491.0,1439.47,1515.0,1365.92,1366.48,1366.11,1366.04,171.36,171.36,171.37,171.35
3,CN7,4G,2,1,793.0,987.0,1188.0,2332.0,1353.0,1452.0,1404.67,2919.0,1820.99,3645.57,3645.2,1822.55,228.25,455.83,455.82,228.25
4,CN7,4G,2,4,804.0,1037.0,1625.0,13883.0,1264.0,1459.0,1391.6,2920.33,2731.53,2733.05,2734.4,2732.2,342.05,342.07,342.08,342.04
5,CN7,4G,2,16,801.0,1043.0,1745.0,23287.0,1262.0,1456.0,1392.9,2901.0,2732.04,2735.45,2733.8,2733.37,342.06,342.08,342.12,342.07
6,CN7,4G,4,1,755.0,1009.0,1221.0,6415.0,1225.0,1426.0,1372.53,5672.0,5462.47,5468.33,5466.63,5467.19,683.43,683.44,683.44,683.39
7,CN7,4G,4,4,987.0,1193.0,1587.0,2092.0,1138.0,1326.0,1276.53,5196.67,5463.77,5466.84,5468.53,5463.71,683.49,683.47,683.47,683.44
8,CN7,4G,4,16,976.0,1210.0,1761.0,10879.0,1144.0,1322.0,1267.1,5143.0,5459.11,5461.74,5463.54,5458.92,682.99,682.9,683.02,682.85
9,CN7,4G,8,1,2376.0,2780.0,3315.0,64138.0,426.0,1313.0,663.34,5261.33,7041.03,6940.89,6944.6,6995.12,880.47,867.95,868.36,874.65
10,CN7,4G,8,4,5014.0,6608.0,10115.0,67022.0,444.0,1147.0,642.31,5303.67,6954.49,6929.94,6930.68,6904.08,868.74,866.32,866.35,863.24
11,CN7,4G,8,16,4948.0,6434.0,8476.0,42031.0,438.0,1114.0,646.66,5353.33,6729.69,6690.75,6708.6,6665.33,840.37,836.23,837.91,833.18
12,CN7,8G,1,1,1006.0,1128.0,1286.0,41856.0,1011.0,1518.0,1348.81,1411.33,2431.79,2411.11,2.38,2429.98,304.09,301.79,0.68,304.09
13,CN7,8G,1,4,755.0,897.0,1139.0,18045.0,1349.0,1525.0,1442.0,1513.0,1824.33,1823.49,1824.81,1823.33,228.24,228.26,228.25,228.24
