,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,4G,1,1,876.0,1060.0,1172.0,7340.0,1263.0,1418.0,1355.03,1424.0,2163.01,337.51,338.67,3986.46,270.23,42.3,42.42,497.88
1,CN7,4G,1,2,900.0,1090.0,1226.0,3703.0,1206.0,1436.0,1343.94,1412.67,2160.86,1247.62,1248.55,2161.26,270.0,155.95,156.08,270.05
2,CN7,4G,1,4,946.0,1101.0,1761.0,3599.0,1190.0,1421.0,1346.72,1413.0,1705.54,1703.23,1704.16,1705.78,213.11,212.85,212.97,213.17
3,CN7,4G,1,8,949.0,1117.0,1784.0,4517.0,1220.0,1436.0,1342.72,1414.33,1705.32,1703.18,1704.34,1705.79,213.11,212.84,212.97,213.16
4,CN7,4G,1,16,856.0,1047.0,1756.0,5030.0,1263.0,1443.0,1373.83,1447.0,1705.39,1703.47,1704.57,1706.02,213.09,212.84,212.97,213.17
5,CN7,4G,2,1,824.0,1001.0,1172.0,8192.0,1255.0,1389.0,1344.43,2800.33,2160.62,2158.59,3981.87,3983.53,269.97,269.72,497.4,497.6
6,CN7,4G,2,2,815.0,982.0,1166.0,9405.0,1266.0,1408.0,1353.21,2802.67,3071.8,3069.72,3070.96,3072.45,383.75,383.49,383.63,383.82
7,CN7,4G,2,4,848.0,1023.0,1537.0,7979.0,1280.0,1406.0,1349.05,2813.0,3073.55,3069.96,3072.53,3072.64,383.75,383.5,383.62,383.82
8,CN7,4G,2,8,834.0,1030.0,1641.0,8077.0,1244.0,1385.0,1344.83,2815.33,3069.34,3066.87,3068.39,3069.55,383.39,383.12,383.26,383.44
9,CN7,4G,2,16,851.0,1028.0,1756.0,12605.0,1267.0,1411.0,1344.5,2795.0,3076.98,3073.45,3071.46,3072.97,383.75,383.51,383.63,383.83
10,CN7,4G,4,1,785.0,963.0,1188.0,10759.0,1280.0,1454.0,1394.62,5693.67,5806.35,5803.32,5805.11,5805.94,725.12,724.83,724.98,725.15
