,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,4G,1,1,881.0,1046.0,1292.0,4391.0,1332.0,1482.0,1409.8,1486.33,2396.1,2352.99,391.38,2355.0,277.38,276.14,49.04,277.45
1,CN7,4G,1,2,867.0,1038.0,1128.0,1843.0,1304.0,1486.0,1407.73,1484.67,2489.22,1427.17,1420.56,2444.66,278.08,163.24,163.06,277.23
2,CN7,4G,1,4,878.0,1034.0,1264.0,2223.0,1256.0,1490.0,1404.53,1480.33,1856.23,1869.45,1842.87,1850.4,210.99,210.42,211.14,210.75
3,CN7,4G,1,8,856.0,1027.0,1756.0,1881.0,1309.0,1476.0,1419.87,1498.0,1933.18,1946.73,1918.65,1944.57,219.19,218.45,218.7,219.48
4,CN7,4G,1,16,873.0,1056.0,1647.0,2362.0,1274.0,1499.0,1402.6,1481.67,1948.96,1962.07,1959.77,1939.41,219.64,218.87,219.71,219.61
5,CN7,4G,2,1,804.0,1004.0,1308.0,1871.0,1323.0,1468.0,1404.6,2916.0,2319.52,2375.3,4298.11,4373.92,277.05,276.6,504.93,507.39
6,CN7,4G,2,2,793.0,944.0,1117.0,1876.0,1351.0,1457.0,1412.0,2934.67,3502.92,3520.81,3505.14,3476.62,390.96,390.81,391.7,391.08
7,CN7,4G,2,4,824.0,990.0,1303.0,2529.0,1317.0,1444.0,1401.83,2919.0,3479.94,3525.67,3487.99,3529.19,389.82,389.72,389.34,391.9
8,CN7,4G,2,8,804.0,968.0,1587.0,2370.0,1316.0,1470.0,1413.94,2954.67,3457.74,3505.13,3426.01,3502.83,389.0,391.04,387.7,390.21
9,CN7,4G,2,16,845.0,1012.0,1641.0,1933.0,1278.0,1430.0,1380.27,2872.67,3509.93,3462.32,3485.15,3561.51,389.5,388.37,388.75,392.66
10,CN7,4G,4,1,813.0,1054.0,2163.0,3517.0,1300.0,1471.0,1423.63,5860.0,6463.38,6452.41,6505.36,6427.62,730.97,728.52,731.51,727.72
11,CN7,4G,4,2,941.0,1134.0,1450.0,2998.0,1221.0,1406.0,1342.57,5473.33,6660.89,6595.07,6597.9,6593.04,734.35,733.2,729.22,731.23
12,CN7,4G,4,4,987.0,1177.0,1631.0,4691.0,1198.0,1370.0,1309.49,5304.0,6624.17,6558.73,6642.22,6543.31,735.42,731.59,735.59,730.31
13,CN7,4G,4,8,1015.0,1259.0,1865.0,4435.0,1167.0,1350.0,1274.58,5211.33,6675.1,6664.54,6647.44,6667.82,735.38,735.63,735.49,734.82
14,CN7,4G,4,16,998.0,1330.0,2979.0,4839.0,1186.0,1378.0,1309.64,5319.33,6852.55,6725.36,6811.06,6671.56,733.91,731.47,733.15,730.3
15,CN7,4G,8,1,5145.0,7679.0,10770.0,14527.0,489.0,1344.0,607.71,5034.67,8266.14,8054.12,8295.98,7995.57,883.69,887.76,885.14,884.9
16,CN7,4G,8,2,5647.0,8476.0,11600.0,14615.0,465.0,1284.0,598.16,4961.33,8035.69,7831.79,8037.92,7808.93,854.82,858.92,856.94,856.12
17,CN7,4G,8,4,6849.0,10421.0,14615.0,17782.0,457.0,1231.0,576.32,4784.33,7937.71,7832.5,8130.82,7882.99,861.33,857.05,857.33,859.74
18,CN7,4G,8,8,6783.0,11294.0,22981.0,40108.0,455.0,1204.0,596.65,4961.33,7962.78,7895.95,7996.41,7902.55,860.81,859.38,859.57,862.58
19,CN7,4G,8,16,7460.0,11163.0,14921.0,19530.0,434.0,1162.0,554.78,4606.0,7603.82,7571.47,7638.24,7575.56,809.96,806.34,808.2,810.26
20,CN7,4G,16,1,8979.0,11644.0,15270.0,21190.0,224.0,963.0,279.68,4657.0,8737.0,8767.15,8746.89,8745.59,958.7,958.96,958.27,958.43
21,CN7,4G,16,2,10289.0,13304.0,17520.0,21452.0,221.0,877.0,272.83,4548.33,8349.09,8351.5,8341.15,8323.81,909.9,910.74,910.02,908.54
22,CN7,4G,16,4,13959.0,18569.0,23637.0,27307.0,233.0,882.0,276.86,4631.33,8685.24,8684.46,8623.07,8637.59,945.92,946.71,945.28,945.74
23,CN7,4G,16,8,13916.0,18569.0,23637.0,28181.0,216.0,874.0,255.8,4276.0,8411.84,8351.52,8371.99,8335.2,896.71,893.99,897.31,894.87
24,CN7,4G,16,16,16188.0,21365.0,26346.0,29142.0,207.0,818.0,242.19,4049.67,8108.4,8043.68,8063.8,8080.96,850.02,850.98,849.73,850.33
25,CN7,4G,32,1,13347.0,16362.0,20491.0,25559.0,111.0,578.0,130.88,4362.0,8911.45,8925.99,8876.94,8931.74,969.13,970.37,968.46,969.83
26,CN7,4G,32,2,19006.0,22850.0,27219.0,32331.0,107.0,598.0,125.94,4199.67,8723.86,8804.83,8716.28,8722.19,938.18,938.52,937.13,938.23
27,CN7,4G,32,4,26608.0,33467.0,39933.0,44652.0,105.0,555.0,122.32,4096.33,8584.25,8585.13,8586.89,8590.75,918.06,917.67,919.15,918.67
28,CN7,4G,32,8,30015.0,37312.0,43604.0,49371.0,100.0,544.0,116.52,3900.33,8399.27,8413.82,8462.01,8445.04,885.16,883.93,885.93,884.61
29,CN7,4G,32,16,31152.0,38710.0,45351.0,49196.0,0.0,0.0,0.0,3773.33,8261.61,8220.8,8214.39,8245.63,851.01,851.01,851.78,851.46
30,CN7,8G,1,1,812.0,1029.0,1406.0,2395.0,1317.0,1518.0,1439.06,1508.67,2943.46,266.38,2941.88,2913.47,338.64,32.74,338.58,340.11
31,CN7,8G,1,2,783.0,966.0,1106.0,1881.0,1338.0,1510.0,1452.79,1524.67,3026.99,1660.74,1673.0,3054.82,337.28,185.76,185.67,337.82
32,CN7,8G,1,4,777.0,987.0,1144.0,2370.0,1282.0,1514.0,1445.97,1516.67,2361.6,2363.74,2356.03,2348.68,261.79,261.8,262.77,262.08
33,CN7,8G,1,8,747.0,919.0,1128.0,1849.0,1328.0,1525.0,1466.12,1537.33,2369.39,2356.23,2376.87,2350.11,260.79,259.34,261.41,261.16
34,CN7,8G,1,16,807.0,1017.0,1636.0,2586.0,1282.0,1541.0,1441.33,1513.33,2329.32,2359.08,2357.41,2349.13,260.55,260.66,260.72,260.47
35,CN7,8G,2,1,783.0,954.0,1423.0,2097.0,1292.0,1466.0,1403.68,2935.33,2943.14,2946.79,5463.65,5345.33,337.97,336.55,643.06,641.23
36,CN7,8G,2,2,788.0,889.0,1068.0,1827.0,1282.0,1462.0,1391.97,2903.0,4397.81,4410.14,4441.31,4395.62,487.95,487.33,490.23,487.79
37,CN7,8G,2,4,826.0,960.0,1188.0,2245.0,1276.0,1476.0,1391.14,2895.0,4445.24,4427.83,4379.55,4408.16,487.86,485.86,487.87,487.8
38,CN7,8G,2,8,810.0,946.0,1450.0,2739.0,1303.0,1418.0,1387.18,2900.33,4450.01,4419.81,4373.61,4418.08,486.43,487.33,487.06,487.02
39,CN7,8G,2,16,834.0,995.0,1576.0,3326.0,1280.0,1440.0,1373.82,2866.33,4434.07,4445.95,4421.3,4452.84,487.72,487.4,488.58,489.08
40,CN7,8G,4,1,1075.0,2605.0,5298.0,10464.0,1066.0,1485.0,1297.51,5386.0,8224.37,8317.1,8257.2,8322.77,915.63,913.25,917.04,915.82
41,CN7,8G,4,2,1339.0,2930.0,5696.0,8170.0,988.0,1416.0,1216.14,5042.33,7801.28,7762.72,7811.0,7814.07,854.03,851.97,854.56,852.48
42,CN7,8G,4,4,1128.0,4255.0,7351.0,10289.0,939.0,1400.0,1166.96,4742.67,7812.71,7878.11,7928.43,7835.22,853.6,855.61,857.53,855.65
