,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,4G,1,1,8345.0,9328.0,10377.0,11687.0,161.0,192.0,180.29,189.0,4163.7,4159.03,4175.44,75.67,91.1,94.21,94.85,9.05
1,CN7,4G,1,2,8280.0,9415.0,10464.0,11425.0,169.0,189.0,180.64,189.67,4089.11,2110.35,2040.45,4085.27,87.34,50.98,47.02,91.04
2,CN7,4G,1,4,8334.0,9896.0,10901.0,12474.0,172.0,188.0,180.17,189.0,3081.81,3344.13,3229.4,3062.29,68.37,72.0,67.21,67.84
3,CN7,4G,1,8,8138.0,9677.0,10857.0,12911.0,168.0,192.0,183.96,193.33,3147.7,3360.37,3151.23,2961.91,66.37,68.29,66.23,67.03
4,CN7,4G,1,16,8181.0,9634.0,11032.0,12212.0,159.0,190.0,182.12,191.0,3137.53,3406.33,3113.78,2936.23,65.27,66.02,65.61,65.55
5,CN7,4G,2,1,7723.0,8804.0,10202.0,10814.0,170.0,211.0,196.69,410.33,9005.4,4335.77,4444.73,8576.95,178.8,95.88,101.19,182.83
6,CN7,4G,2,2,5439.0,6422.0,8258.0,10005.0,112.0,134.0,125.46,393.33,4442.05,6605.83,8895.85,6661.51,92.62,135.79,171.09,133.69
7,CN7,4G,2,4,7810.0,9241.0,11032.0,16865.0,180.0,203.0,194.0,406.67,6916.48,6867.76,7040.62,6735.85,130.89,135.14,135.32,130.04
8,CN7,4G,2,8,7941.0,9459.0,11119.0,13042.0,177.0,204.0,191.22,401.33,6299.03,6709.06,6815.12,6426.63,129.69,128.23,130.94,126.54
9,CN7,4G,2,16,7897.0,9459.0,11338.0,14702.0,170.0,202.0,191.41,401.67,6733.06,6883.14,6932.85,6322.35,129.47,128.84,136.34,131.31
10,CN7,4G,4,1,5024.0,5811.0,6641.0,10770.0,94.0,147.0,133.31,810.0,15272.45,14115.42,14660.99,14211.8,278.81,262.89,255.73,265.71
11,CN7,4G,4,2,9066.0,11600.0,14396.0,19989.0,145.0,188.0,169.29,690.33,10818.6,10066.56,14548.14,15945.13,190.96,206.98,257.92,277.74
12,CN7,4G,4,4,8050.0,9808.0,12736.0,18460.0,170.0,202.0,188.0,787.0,15203.35,14727.44,14591.74,14622.68,254.38,253.84,255.95,258.13
13,CN7,4G,4,8,8028.0,9852.0,12518.0,19421.0,170.0,204.0,188.23,787.0,15387.31,14487.23,14554.69,15428.88,249.72,259.92,250.82,250.33
14,CN7,4G,4,16,8028.0,9808.0,12780.0,18022.0,165.0,203.0,189.46,791.0,15467.47,14713.12,14016.01,14969.82,260.58,247.51,249.73,245.77
15,CN7,4G,8,1,10071.0,11731.0,14440.0,25865.0,82.0,104.0,92.75,1129.67,25028.3,23843.49,23533.8,24002.58,368.54,384.04,365.78,370.94
16,CN7,4G,8,2,10333.0,12518.0,15576.0,23986.0,124.0,165.0,144.28,1193.67,21057.28,22858.43,21528.93,21129.18,385.05,380.95,376.3,378.51
17,CN7,4G,8,4,10683.0,12998.0,15969.0,27918.0,114.0,179.0,142.92,1173.33,21385.13,21824.06,21277.79,20906.21,374.67,372.58,368.47,368.72
18,CN7,4G,8,8,10726.0,12911.0,15663.0,24030.0,112.0,167.0,143.29,1185.33,19043.15,22269.96,18886.13,19743.06,388.74,375.66,379.32,387.3
19,CN7,4G,8,16,10202.0,12474.0,15445.0,32244.0,120.0,182.0,149.39,1214.33,18454.19,19595.75,17511.37,18483.74,386.0,374.46,381.38,378.23
20,CN7,4G,16,1,11512.0,13260.0,15926.0,41157.0,0.0,0.0,0.0,1881.33,18974.89,18538.81,17869.19,19372.51,544.29,546.83,545.2,548.43
21,CN7,4G,16,2,12518.0,14920.0,18394.0,31982.0,0.0,0.0,0.0,1906.67,18270.3,18040.24,16919.23,17826.79,549.0,542.9,534.85,540.16
22,CN7,4G,16,4,13478.0,16231.0,19967.0,26346.0,0.0,0.0,0.0,1838.67,17678.08,17737.39,16999.53,18159.87,522.33,531.36,521.03,523.16
23,CN7,4G,16,8,9306.0,11207.0,14418.0,23986.0,0.0,0.0,0.0,1796.33,17834.22,18233.16,17087.82,18058.45,517.28,517.44,507.99,510.3
24,CN7,4G,16,16,13741.0,16690.0,21103.0,33642.0,0.0,0.0,0.0,1805.67,18156.73,18393.29,17535.62,17945.65,512.78,510.64,500.85,504.25
25,CN7,4G,32,1,15620.0,17695.0,21452.0,33161.0,0.0,0.0,0.0,2670.33,16704.85,16782.52,16019.52,16566.18,705.85,711.37,708.77,708.75
26,CN7,4G,32,2,12496.0,15030.0,19486.0,33729.0,0.0,0.0,0.0,2557.33,16499.77,16865.99,15819.13,16441.45,681.74,682.74,681.47,680.07
27,CN7,4G,32,4,13544.0,16865.0,24117.0,43428.0,0.0,0.0,0.0,2427.67,16152.57,16348.34,15528.32,15956.49,652.61,652.89,653.18,647.45
28,CN7,4G,32,8,6685.0,8257.0,11796.0,18263.0,0.0,0.0,0.0,2427.33,16103.66,16280.08,15807.75,15627.75,642.37,649.17,646.66,640.14
29,CN7,4G,32,16,20404.0,25472.0,35564.0,60118.0,0.0,0.0,0.0,2438.67,16538.63,16212.25,15937.88,15839.33,638.52,641.92,634.01,632.11
30,CN7,8G,1,1,5451.0,6160.0,6991.0,7821.0,108.0,129.0,118.33,187.33,4857.08,4785.72,4742.2,43.43,89.88,102.27,90.9,4.85
31,CN7,8G,1,2,8268.0,9372.0,10377.0,11294.0,163.0,185.0,174.19,182.67,4572.52,5390.47,2325.31,2328.39,87.09,116.91,45.82,45.91
32,CN7,8G,1,4,8323.0,9459.0,10726.0,12255.0,163.0,187.0,176.66,185.33,3739.88,4107.7,3657.63,3703.09,66.75,87.43,66.3,65.1
33,CN7,8G,1,8,8542.0,9677.0,10857.0,13304.0,155.0,184.0,172.83,181.33,3934.04,4192.65,3490.8,3235.92,66.33,90.79,65.95,64.34
34,CN7,8G,1,16,8444.0,9721.0,10945.0,12736.0,156.0,184.0,174.31,182.67,3787.95,4027.53,3637.55,3206.56,65.74,80.64,64.26,64.49
35,CN7,8G,2,1,7635.0,8848.0,9984.0,10726.0,138.0,215.0,195.32,404.33,10650.08,4957.41,5514.1,10187.18,185.39,98.43,96.06,195.35
36,CN7,8G,2,2,7701.0,9022.0,10246.0,14680.0,162.0,206.0,192.74,399.67,7817.1,7986.47,7736.45,7269.05,138.98,139.43,139.28,146.35
37,CN7,8G,2,4,7810.0,9241.0,11163.0,17673.0,164.0,205.0,190.36,399.0,7643.98,7473.25,7894.92,7056.7,138.33,137.28,138.28,137.6
38,CN7,8G,2,8,7897.0,9328.0,11032.0,13129.0,174.0,200.0,190.13,398.67,7326.15,8016.47,8234.94,7510.84,136.6,139.72,140.18,143.25
39,CN7,8G,2,16,7810.0,9197.0,10901.0,13566.0,173.0,210.0,194.84,408.33,7500.36,7465.23,7826.04,7195.4,138.2,139.38,140.9,143.29
