,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm2_nvme0_io,pm2_nvme1_io,pm2_nvme2_io,pm2_nvme3_io,pm3_nvme0_io,pm3_nvme1_io,pm3_nvme2_io,pm3_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write,pm2_nvme0_write,pm2_nvme1_write,pm2_nvme2_write,pm2_nvme3_write,pm3_nvme0_write,pm3_nvme1_write,pm3_nvme2_write,pm3_nvme3_write
0,CN7,4G,1,1,958.0,1122.0,1348.0,3103.0,1258.0,1481.0,1377.86,1458.0,2029.4,936.97,2185.24,2029.34,936.6,937.08,2185.05,2029.12,1116.91,2206.99,2203.67,2202.4,253.64,117.14,273.19,253.68,117.19,117.15,273.14,253.64,130.19,266.74,266.67,266.71
1,CN7,4G,1,4,948.0,1129.0,1303.0,2349.0,1274.0,1446.0,1374.32,1453.2,1093.1,2029.52,2184.93,1092.79,2029.16,2028.84,2185.86,1093.44,2209.01,2206.84,2204.15,1110.26,136.62,253.68,273.18,136.65,253.73,253.68,273.14,136.61,266.73,266.74,266.68,130.18
2,CN7,4G,1,16,940.0,1113.0,1273.0,2317.0,1267.0,1514.0,1405.64,1480.8,2185.17,2185.29,1092.6,2185.0,2185.15,2185.17,1092.57,2185.2,2381.31,1287.51,1283.68,2374.44,273.15,273.18,136.65,273.18,273.23,273.19,136.62,273.15,287.45,150.94,150.87,287.43
3,CN7,4G,2,1,879.0,1017.0,1162.0,3349.0,1232.0,1426.0,1361.37,2789.8,2810.39,2966.43,3902.34,2809.64,2810.31,2809.87,3746.46,2810.21,2848.16,3548.85,3546.78,2726.41,351.18,370.7,487.74,351.19,351.25,351.21,468.19,351.17,347.88,435.67,435.61,333.24
4,CN7,4G,2,4,901.0,1037.0,1214.0,2349.0,1245.0,1397.0,1339.94,2757.6,4213.85,3122.34,3277.56,4213.48,3121.48,3121.89,3276.25,4212.71,2977.89,2976.37,2973.4,3908.28,526.72,390.23,409.72,526.75,390.27,390.23,409.51,526.53,363.44,363.45,363.39,480.45
5,CN7,4G,2,16,879.0,1002.0,1142.0,2356.0,1252.0,1420.0,1358.83,2785.4,2813.22,4060.53,3124.94,2811.7,4060.05,4060.38,3123.74,2811.55,3790.42,2852.97,2850.61,2732.02,351.19,507.25,390.24,351.21,507.29,507.25,390.18,351.18,465.23,348.21,348.16,333.55
6,CN7,4G,4,1,881.0,1039.0,1299.0,4227.0,1230.0,1423.0,1337.49,5448.8,6555.94,5619.53,6555.74,6555.19,5619.04,5618.94,6555.05,6554.94,5424.12,6242.51,6238.73,6120.29,819.31,702.32,819.34,819.31,702.35,702.31,819.29,819.3,669.75,772.15,772.08,757.49
7,CN7,4G,4,4,884.0,1045.0,1319.0,3824.0,1216.0,1394.0,1330.44,5461.4,6399.46,7336.32,7491.14,6398.33,6710.86,6712.19,6866.85,5775.02,6482.39,6598.76,6596.65,5657.97,799.81,916.88,936.35,799.82,838.87,838.86,858.29,721.8,801.6,816.42,816.37,699.37
8,CN7,4G,4,16,892.0,1044.0,1230.0,2428.0,1213.0,1392.0,1328.02,5405.4,6711.77,6867.4,5775.87,6711.61,6555.49,6555.8,5619.39,6556.16,6359.32,5305.59,5302.69,6120.5,838.82,858.35,721.83,838.84,819.39,819.35,702.27,819.32,786.76,655.13,655.06,757.48
9,CN7,4G,8,1,919.0,1371.0,20729.0,25310.0,710.0,1403.0,1275.36,7493.06,9922.37,9921.82,10741.02,9921.85,9925.31,9925.94,10744.09,9925.11,9840.85,10657.58,10656.4,9909.46,1239.89,1239.89,1342.24,1239.86,1240.37,1240.38,1342.62,1240.32,1222.84,1325.25,1325.22,1231.9
