,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,4G,1,1,892.0,1067.0,1198.0,2949.0,1252.0,1470.0,1387.52,1466.8,2383.62,2317.74,2418.84,2312.29,198.96,198.87,199.66,199.35
1,CN7,4G,1,4,882.0,1056.0,1365.0,2366.0,1291.0,1486.0,1403.16,1482.4,2252.17,2275.84,2333.59,2236.66,199.79,199.73,200.77,200.57
2,CN7,4G,1,16,837.0,1041.0,1833.0,2974.0,1302.0,1476.0,1408.28,1486.0,2504.08,2455.27,2510.34,2463.46,207.92,207.65,208.14,208.64
3,CN7,4G,2,1,981.0,1162.0,1407.0,1925.0,1198.0,1347.0,1273.02,2653.8,3960.91,3834.9,4028.35,3882.45,343.94,343.49,344.02,344.61
4,CN7,4G,2,4,972.0,1172.0,1591.0,2530.0,1206.0,1360.0,1286.28,2676.0,4007.92,4051.34,4126.7,4094.6,344.48,344.35,345.38,344.74
5,CN7,4G,2,16,971.0,1204.0,1830.0,3359.0,1199.0,1342.0,1284.55,2670.2,4206.5,4156.88,4323.17,4154.18,346.8,346.06,348.18,346.81
6,CN7,4G,4,1,1444.0,2631.0,5515.0,11321.0,928.0,1209.0,1081.35,4410.8,7282.94,7188.07,7362.18,7248.81,664.91,664.53,666.11,665.42
7,CN7,4G,4,4,2073.0,3372.0,7052.0,9673.0,797.0,1228.0,958.4,3942.6,6580.23,6598.03,6606.32,6616.31,590.01,589.55,590.72,590.43
8,CN7,4G,4,16,2146.0,3464.0,6626.0,13179.0,812.0,1194.0,955.92,3945.0,6612.31,6543.85,6655.49,6539.35,589.66,589.71,590.31,590.17
9,CN7,4G,8,1,4335.0,6993.0,13330.0,18809.0,408.0,776.0,471.52,3942.4,8121.91,8156.8,8173.9,8174.26,736.12,736.16,737.2,736.63
10,CN7,4G,8,4,4312.0,7379.0,12832.0,21496.0,408.0,736.0,470.97,3939.0,8050.07,8145.34,8094.86,8139.29,727.92,727.85,728.84,728.18
11,CN7,4G,8,16,4529.0,6993.0,15598.0,51957.0,384.0,733.0,456.99,3825.4,7999.15,7946.45,8035.46,7947.47,712.82,712.31,713.26,713.02
12,CN7,4G,16,1,8566.0,11705.0,15375.0,18547.0,192.0,354.0,213.34,3580.4,8584.09,8605.07,8693.0,8573.32,753.36,752.95,755.08,754.06
13,CN7,4G,16,4,8769.0,13094.0,18009.0,21837.0,186.0,361.0,208.64,3496.6,8540.96,8643.96,8617.48,8596.53,758.18,757.95,759.19,758.53
14,CN7,4G,16,16,8618.0,13173.0,20526.0,36281.0,174.0,332.0,202.54,3393.4,8273.39,8308.22,8309.25,8273.56,720.72,720.56,721.44,720.83
15,CN7,8G,1,1,797.0,1012.0,1136.0,1912.0,1293.0,1486.0,1420.35,1491.0,2867.32,3166.41,2964.71,3105.6,258.42,258.59,259.7,258.26
16,CN7,8G,1,4,795.0,1018.0,1165.0,1971.0,1259.0,1482.0,1418.67,1489.0,2938.0,3065.02,2969.44,3027.59,258.58,258.48,259.07,258.29
17,CN7,8G,1,16,807.0,1009.0,1693.0,1978.0,1280.0,1508.0,1424.78,1495.6,3073.76,3133.85,3087.05,3046.82,259.86,260.05,260.22,259.32
18,CN7,8G,2,1,971.0,1155.0,1424.0,1896.0,1196.0,1343.0,1279.37,2680.2,5246.55,5310.32,5351.91,5247.91,459.03,459.52,460.49,459.86
