,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,4G,1,1,872.0,1067.0,1237.0,3587.0,1290.0,1478.0,1406.32,1485.6,1201.49,2641.97,1192.03,1217.27,139.86,304.49,138.45,139.97
1,CN7,4G,1,4,863.0,1049.0,1401.0,2549.0,1302.0,1471.0,1403.12,1475.2,1693.96,1671.12,1646.27,1677.98,185.28,184.2,184.18,184.5
2,CN7,4G,1,16,842.0,1060.0,1775.0,2196.0,1310.0,1491.0,1413.56,1490.4,1726.8,1699.32,1685.48,1747.53,186.95,186.63,186.91,188.07
3,CN7,4G,2,1,828.0,1004.0,1230.0,1948.0,1266.0,1408.0,1357.83,2835.6,3634.27,3638.55,2365.42,2413.57,413.84,414.0,275.45,277.78
4,CN7,4G,2,4,851.0,1013.0,1417.0,2674.0,1261.0,1406.0,1353.04,2830.4,3129.35,3119.75,3106.96,3093.34,344.42,342.85,343.53,342.65
5,CN7,4G,2,16,840.0,1043.0,1794.0,2782.0,1254.0,1434.0,1371.73,2854.0,3126.69,3145.93,3116.3,3132.85,342.73,343.6,342.81,343.5
6,CN7,4G,4,1,809.0,1011.0,1421.0,2453.0,1297.0,1488.0,1427.39,5870.2,6134.13,6179.27,6185.67,6099.44,683.69,685.33,687.85,682.02
7,CN7,4G,4,4,969.0,1158.0,1683.0,4434.0,1216.0,1393.0,1315.7,5334.4,6245.06,6326.95,6265.56,6270.86,685.76,685.69,685.66,688.23
8,CN7,4G,4,16,1037.0,1352.0,2592.0,4633.0,1154.0,1363.0,1273.67,5197.4,6486.28,6438.25,6494.71,6525.5,686.86,687.2,685.86,687.87
9,CN7,4G,8,1,4765.0,6875.0,9503.0,12819.0,491.0,1347.0,642.61,5316.6,8556.8,8626.89,8588.85,8575.54,911.0,908.64,906.96,907.61
10,CN7,4G,8,4,6102.0,8920.0,12439.0,17511.0,482.0,1226.0,626.26,5186.8,8163.2,8374.38,8420.33,8335.15,871.64,871.89,870.39,868.34
11,CN7,4G,8,16,6744.0,9765.0,13881.0,18429.0,447.0,1185.0,583.52,4839.0,8079.74,8462.49,8115.35,8583.48,837.17,829.05,841.96,833.67
12,CN7,4G,16,1,8022.0,10001.0,12806.0,15703.0,237.0,938.0,296.83,4942.2,9249.45,9709.27,9250.59,9425.59,994.32,994.29,995.26,994.07
13,CN7,4G,16,4,13278.0,17210.0,21260.0,24825.0,236.0,915.0,289.69,4833.6,9344.25,9421.22,9356.51,9368.48,989.49,990.93,989.51,988.33
14,CN7,4G,16,16,14851.0,19111.0,23567.0,27289.0,219.0,854.0,263.35,4404.4,8874.9,8887.43,8890.27,8925.36,908.75,909.86,908.05,909.76
15,CN7,8G,1,1,786.0,1036.0,1575.0,2776.0,1311.0,1490.0,1440.27,1510.6,1810.21,3371.86,1581.15,1573.52,208.83,391.92,184.53,185.1
