,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,4G,1,1,879.0,1066.0,1306.0,3652.0,1312.0,1485.0,1415.28,1492.0,1200.59,2413.07,1201.94,1167.25,136.95,273.94,136.93,136.87
1,CN7,4G,1,4,865.0,1050.0,1224.0,2189.0,1271.0,1488.0,1411.72,1487.0,1579.34,1553.23,1566.75,1550.18,163.49,162.53,163.12,163.06
2,CN7,4G,1,16,827.0,1054.0,1775.0,2266.0,1325.0,1494.0,1416.96,1494.0,1695.19,1680.34,1692.66,1672.15,170.99,170.67,170.57,171.66
3,CN7,4G,2,1,796.0,1002.0,1227.0,2101.0,1282.0,1462.0,1394.32,2903.0,3577.93,3697.78,2382.31,2494.93,408.66,408.54,274.21,273.9
4,CN7,4G,2,4,832.0,997.0,1224.0,2838.0,1278.0,1418.0,1369.58,2866.6,3196.3,3258.21,3249.36,3231.94,339.06,340.06,339.83,339.3
5,CN7,4G,2,16,819.0,973.0,1810.0,3150.0,1262.0,1413.0,1373.91,2884.0,3301.57,3294.98,3305.03,3334.35,339.51,340.72,339.59,340.05
6,CN7,4G,4,1,794.0,1015.0,1755.0,2412.0,1270.0,1481.0,1427.29,5899.0,6266.29,6224.03,6258.19,6355.01,729.68,727.97,730.35,729.96
7,CN7,4G,4,4,887.0,1083.0,1793.0,3913.0,1217.0,1404.0,1349.93,5573.4,6054.39,6018.92,6166.1,6241.69,682.34,685.43,682.25,681.11
8,CN7,4G,4,16,878.0,1139.0,2415.0,4329.0,1246.0,1415.0,1358.22,5630.8,6239.43,6046.85,6297.06,6338.06,684.98,684.3,687.12,683.33
9,CN7,4G,8,1,3687.0,5341.0,30422.0,61938.0,539.0,1330.0,775.63,6380.2,9207.69,9162.46,9291.61,9338.24,1027.28,1029.91,1029.93,1026.09
10,CN7,4G,8,4,4201.0,6416.0,15624.0,23252.0,587.0,1274.0,791.43,6520.8,9135.69,9060.82,9172.52,9226.93,1032.82,1033.96,1033.46,1034.46
11,CN7,4G,8,16,5616.0,7727.0,10315.0,16594.0,516.0,1228.0,682.27,5614.6,9266.42,9273.85,9325.87,9449.71,923.86,918.59,929.81,925.03
12,CN7,4G,16,1,6953.0,8303.0,15650.0,32165.0,267.0,935.0,342.68,5690.6,10697.01,10581.09,10537.66,10760.78,1126.17,1125.36,1125.5,1126.12
13,CN7,4G,16,4,12203.0,15139.0,20854.0,29413.0,257.0,929.0,324.1,5413.2,10711.1,10732.83,10887.73,10679.36,1069.32,1069.53,1068.84,1066.86
14,CN7,4G,16,16,12649.0,15821.0,19058.0,21313.0,240.0,857.0,304.62,5096.2,11134.52,11175.09,11209.57,11419.49,1021.35,1020.63,1019.65,1019.55
15,CN7,8G,1,1,768.0,1018.0,1437.0,2225.0,1314.0,1510.0,1450.47,1521.6,1977.33,3485.95,1778.4,1986.02,214.63,397.01,191.13,214.47
16,CN7,8G,1,4,777.0,1004.0,1155.0,1935.0,1266.0,1502.0,1444.57,1515.6,2414.07,2350.17,2359.31,2395.85,243.13,242.39,241.88,241.21
17,CN7,8G,1,16,774.0,989.0,1706.0,2363.0,1246.0,1518.0,1446.69,1518.2,2444.19,2406.94,2438.85,2467.06,246.76,246.62,246.55,246.58
18,CN7,8G,2,1,782.0,938.0,1332.0,1945.0,1297.0,1488.0,1408.1,2936.6,4920.28,4896.76,3523.57,3413.85,555.81,556.29,374.8,372.7
19,CN7,8G,2,4,850.0,961.0,1172.0,3313.0,1241.0,1406.0,1344.72,2810.6,4632.44,4546.31,4606.02,4556.96,461.98,460.9,462.06,461.11
20,CN7,8G,2,16,827.0,939.0,1640.0,3516.0,1267.0,1429.0,1367.16,2866.0,4652.05,4605.09,4627.06,4619.12,462.01,461.82,461.4,462.09
21,CN7,8G,4,1,796.0,1025.0,2192.0,3300.0,1247.0,1486.0,1419.59,5863.6,8345.82,8306.67,8217.77,8244.44,945.53,947.12,943.48,946.15
22,CN7,8G,4,4,871.0,1087.0,1853.0,3552.0,1247.0,1441.0,1370.9,5652.6,8481.76,8406.05,8770.22,8475.32,922.85,922.28,925.98,923.07
