,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm2_nvme0_io,pm2_nvme1_io,pm2_nvme2_io,pm2_nvme3_io,pm3_nvme0_io,pm3_nvme1_io,pm3_nvme2_io,pm3_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write,pm2_nvme0_write,pm2_nvme1_write,pm2_nvme2_write,pm2_nvme3_write,pm3_nvme0_write,pm3_nvme1_write,pm3_nvme2_write,pm3_nvme3_write
0,CN8,4G,1,12,928.0,1162.0,1869.0,1971.0,1196.0,1378.0,1313.43,1379.2,1910.38,1907.55,1890.39,1928.63,1971.74,1969.48,1952.94,1966.02,1775.1,1794.56,1781.06,1778.66,208.91,209.15,209.05,208.69,203.48,203.46,203.44,203.56,182.96,183.6,183.44,182.7
1,CN8,4G,1,24,902.0,1198.0,1781.0,1958.0,1218.0,1385.0,1310.53,1375.6,1937.72,1944.47,1938.69,1967.96,2099.9,2057.68,2026.84,2038.64,1840.49,1830.35,1835.45,1827.65,213.17,213.47,214.32,213.61,211.49,211.34,211.31,211.08,188.78,188.72,188.73,188.24
2,CN8,4G,1,48,897.0,1368.0,1774.0,1902.0,1193.0,1380.0,1314.8,1381.2,1911.78,1881.36,1848.86,1930.91,2023.88,2034.11,1967.64,1980.43,1790.32,1792.8,1768.25,1778.97,207.36,205.2,203.75,207.98,205.2,203.43,203.7,203.53,182.75,181.15,181.0,180.86
3,CN8,4G,2,12,856.0,1028.0,1758.0,2138.0,1212.0,1376.0,1318.6,2756.4,3609.89,3577.28,3597.98,3625.35,3707.48,3743.34,3716.49,3707.01,3370.7,3348.72,3365.34,3359.6,394.9,392.8,393.6,394.55,390.75,391.06,391.58,390.8,348.42,348.63,348.42,348.22
4,CN8,4G,2,24,868.0,1037.0,1709.0,2988.0,1192.0,1350.0,1299.59,2721.2,4065.65,4066.49,4085.46,4066.29,4188.38,4226.86,4209.89,4251.23,3865.53,3694.72,3784.17,3727.98,442.89,443.33,441.4,441.67,440.63,439.65,440.28,440.96,386.86,384.21,384.95,386.01
5,CN8,4G,2,48,881.0,1306.0,2092.0,6221.0,1167.0,1348.0,1284.07,2686.4,4331.84,4288.65,4322.32,4305.45,3900.41,3886.21,3951.05,3855.05,4232.75,3940.48,4052.16,3993.46,459.56,458.51,460.37,460.83,394.32,393.18,394.23,389.24,402.96,398.65,399.88,399.54
6,CN8,4G,4,12,967.0,1198.0,1866.0,4483.0,1200.0,1357.0,1296.13,5339.4,7035.35,7220.06,7136.17,7228.18,6557.7,6558.3,6430.89,6563.2,6493.0,6489.12,6439.64,6470.96,849.81,873.37,862.58,874.22,772.84,771.86,753.42,773.36,741.49,750.49,738.78,741.41
7,CN8,4G,4,24,946.0,1237.0,1873.0,2957.0,1192.0,1348.0,1301.08,5387.2,7137.06,7099.91,7127.81,7148.11,6667.12,6612.77,6743.06,6666.42,6320.15,6373.37,6351.96,6332.53,863.08,857.48,863.13,863.59,765.28,759.59,765.29,764.83,749.35,757.61,749.04,749.92
8,CN8,4G,4,48,956.0,1410.0,2808.0,7681.0,1134.0,1355.0,1283.49,5244.2,6951.53,6951.49,6934.97,6932.57,6263.02,6303.76,6314.59,6281.55,6170.97,6197.29,6307.03,6234.82,838.52,836.2,836.11,836.28,743.3,743.87,741.48,742.51,725.85,727.4,732.97,729.39
9,CN8,4G,8,12,2576.0,13972.0,32401.0,47894.0,360.0,1359.0,795.32,6247.8,8724.99,8931.43,8605.57,8765.35,9526.17,9257.62,9314.76,9491.58,9791.79,9614.86,9643.68,9503.27,1060.48,1083.2,1046.53,1064.1,1108.6,1076.74,1083.1,1113.97,1180.29,1160.85,1162.45,1146.73
10,CN8,4G,8,24,1076.0,5743.0,33987.0,39191.0,480.0,1328.0,958.59,7669.6,8957.8,9102.68,9029.27,9050.87,9743.76,9641.74,9865.61,9469.53,9834.92,9920.96,9851.29,9839.16,1082.76,1095.99,1093.2,1092.38,1162.24,1149.98,1173.75,1125.97,1173.4,1180.21,1173.48,1171.54
11,CN8,4G,8,48,1386.0,11738.0,36622.0,63963.0,421.0,1325.0,871.79,6915.8,8870.95,8926.46,8867.34,8834.67,9346.82,9499.71,9216.58,9718.4,9899.43,9735.39,9985.66,9966.71,1068.42,1069.99,1064.03,1060.12,1101.92,1117.07,1080.4,1145.5,1160.08,1142.44,1174.38,1169.37
12,CN8,4G,16,12,14674.0,36884.0,155294.0,663958.0,46.0,471.0,142.27,5376.2,10398.84,10386.0,10369.58,10480.83,10591.5,10749.45,10695.83,10904.21,10434.21,10651.56,10779.08,10713.28,1268.3,1264.4,1266.2,1275.39,1267.39,1285.69,1276.58,1302.54,1249.4,1273.97,1290.56,1282.38
13,CN8,4G,16,24,16351.0,38850.0,149107.0,372245.0,100.0,938.0,278.28,5349.4,10233.71,10275.98,10254.04,10337.18,10872.23,10668.64,10889.53,10623.13,10635.98,10810.87,10718.69,10660.17,1236.66,1238.78,1242.1,1244.31,1280.61,1255.23,1280.49,1249.45,1259.97,1273.88,1270.42,1258.0
14,CN8,4G,16,48,14123.0,37618.0,225444.0,555011.0,92.0,649.0,197.22,5238.6,10006.06,10082.82,10102.08,10036.37,10913.97,10843.81,10929.18,10926.34,10665.57,10774.53,10597.18,10546.33,1196.44,1205.74,1215.33,1198.31,1251.15,1242.85,1243.92,1249.87,1233.86,1237.98,1231.05,1220.6
15,CN8,8G,1,12,817.0,1046.0,1699.0,1948.0,1166.0,1441.0,1373.42,1440.4,2818.8,2795.76,2806.23,2779.86,2878.27,2829.64,2894.19,2901.46,2796.34,2804.17,2763.21,2789.82,301.54,301.62,303.5,303.25,288.07,287.82,288.42,291.66,281.13,280.04,280.95,281.68
16,CN8,8G,1,24,822.0,1056.0,1752.0,1978.0,1208.0,1415.0,1339.9,1405.6,2640.67,2596.35,2566.3,2620.91,2768.8,2725.16,2827.33,2835.51,2697.6,2730.81,2660.88,2702.86,281.94,282.84,276.81,284.52,276.43,274.95,281.77,278.17,270.85,269.62,269.97,270.02
17,CN8,8G,1,48,814.0,1102.0,1742.0,2294.0,1215.0,1411.0,1347.9,1414.0,2646.83,2563.87,2588.09,2536.07,2757.53,2677.64,2758.59,2775.94,2586.66,2716.46,2588.04,2612.39,283.47,279.52,280.67,279.12,269.17,264.88,267.66,268.45,258.29,265.57,260.91,261.34
18,CN8,8G,2,12,882.0,996.0,1611.0,1873.0,1197.0,1348.0,1283.47,2683.0,5138.34,5227.06,5090.34,5226.36,5477.68,5432.59,5492.31,5543.14,5325.36,5404.97,5345.72,5279.96,556.95,556.34,556.85,560.63,543.79,540.95,541.11,542.55,536.73,535.36,536.4,535.37
19,CN8,8G,2,24,883.0,990.0,1620.0,2464.0,1201.0,1350.0,1279.43,2669.8,5132.51,5202.47,5049.76,5131.13,5105.97,5101.13,5151.18,5215.81,5022.72,5239.64,5127.42,5119.07,552.92,552.47,551.62,554.61,499.36,499.14,499.5,500.35,503.01,503.82,504.25,503.76
20,CN8,8G,2,48,863.0,992.0,1702.0,3516.0,1138.0,1382.0,1294.42,2710.2,5438.15,5448.59,5432.99,5419.36,5829.81,5767.01,5754.89,5903.6,5783.1,5965.66,5791.12,5699.54,574.03,569.72,571.33,574.51,541.77,543.51,540.88,543.61,543.47,542.41,546.0,545.03
21,CN8,8G,4,12,953.0,1162.0,1784.0,2880.0,1205.0,1358.0,1298.43,5377.6,8848.36,8853.23,8954.64,8843.65,8573.17,8649.17,8692.49,8672.04,8810.86,8662.17,8488.69,8489.59,1077.33,1077.52,1090.49,1077.58,1022.43,1034.54,1036.81,1037.58,1066.22,1040.32,1026.32,1025.74
22,CN8,8G,4,24,980.0,1266.0,1915.0,3765.0,1162.0,1354.0,1286.28,5284.0,8951.53,8908.15,8960.56,9022.88,8843.58,9009.78,9129.31,8986.89,8703.99,8767.08,8706.67,8618.94,1093.21,1082.34,1095.36,1101.57,1051.13,1070.3,1077.27,1067.3,1052.06,1046.36,1046.63,1039.17
23,CN8,8G,4,48,991.0,1322.0,2480.0,5250.0,1118.0,1353.0,1280.43,5308.2,9025.64,9015.83,9017.51,8980.39,9222.02,9155.56,9307.04,9282.66,9066.86,9153.26,9028.58,9054.84,1095.66,1096.08,1098.17,1092.89,1091.96,1088.6,1095.7,1097.11,1082.98,1080.9,1077.12,1082.81
24,CN8,8G,8,12,4268.0,14811.0,68865.0,662595.0,84.0,532.0,247.13,4912.4,10102.43,10125.92,10085.54,10166.03,10064.05,10170.32,9957.59,10054.21,9886.21,10152.16,9986.12,10151.35,1238.22,1240.38,1237.25,1247.95,1213.31,1224.42,1195.7,1210.17,1184.72,1207.31,1193.58,1214.89
25,CN8,8G,8,24,3359.0,14470.0,69835.0,539492.0,193.0,1084.0,531.26,5226.0,10133.16,10141.43,10166.91,10208.33,10277.51,10333.43,10255.48,10419.78,10220.06,10198.58,10274.58,10182.94,1238.71,1237.67,1243.89,1249.92,1222.98,1229.72,1219.32,1237.47,1218.68,1210.78,1227.93,1217.49
26,CN8,8G,8,48,3695.0,15755.0,44617.0,474271.0,202.0,1041.0,537.4,5218.2,10179.92,10260.86,10179.11,10153.9,10423.1,10525.3,10599.39,10593.76,10458.2,10519.99,10439.22,10351.18,1239.73,1247.81,1241.65,1238.42,1218.45,1230.72,1240.11,1242.45,1233.72,1233.89,1235.19,1225.47
27,CN8,8G,16,12,18940.0,38928.0,229429.0,719952.0,33.0,225.0,61.89,4933.8,10552.88,10617.95,10583.94,10616.24,11095.66,10957.61,10927.11,11025.16,10724.06,10764.19,10700.19,10834.44,1295.24,1300.91,1297.93,1301.14,1317.87,1307.92,1303.98,1312.93,1282.57,1286.8,1282.0,1298.48
28,CN8,8G,16,24,13592.0,35993.0,484442.0,924425.0,0.0,0.0,0.0,4683.8,10517.89,10566.08,10469.49,10624.32,10870.68,10937.75,10891.68,10898.88,10673.63,10713.88,10749.16,10793.58,1285.97,1289.15,1280.61,1298.45,1269.79,1281.94,1273.96,1268.64,1261.13,1259.29,1271.01,1273.12
29,CN8,8G,16,48,16364.0,38247.0,411356.0,719114.0,28.0,238.0,57.68,4627.2,10883.84,10813.69,10896.06,10848.69,11415.58,11411.16,11400.51,11463.05,11201.77,11356.24,11233.05,11216.74,1322.29,1312.77,1321.45,1317.92,1303.7,1305.9,1303.88,1307.15,1291.07,1292.15,1292.12,1291.85
30,CN8,16G,1,12,786.0,946.0,1224.0,1856.0,1212.0,1448.0,1395.5,1463.8,3267.18,3439.89,3289.02,3328.24,3448.58,3421.59,3470.89,3454.15,3433.99,3425.45,3369.81,3190.04,355.46,372.39,355.6,355.6,340.25,340.74,341.35,340.64,336.32,335.07,336.42,318.77
31,CN8,16G,1,24,789.0,928.0,1555.0,1966.0,1237.0,1458.0,1385.12,1453.2,3322.95,3228.14,3214.71,3226.69,3364.07,3318.71,3370.57,3328.64,3332.2,3251.44,3358.83,3338.43,357.56,347.57,347.19,346.7,328.83,328.25,330.85,328.7,330.46,321.8,332.17,331.66
32,CN8,16G,1,48,792.0,948.0,1597.0,1846.0,1215.0,1453.0,1380.67,1447.8,3228.27,3239.71,3198.07,3201.84,3543.28,3499.5,3556.53,3562.29,3490.3,3526.53,3480.62,3450.67,345.56,346.64,346.47,345.05,341.58,340.29,340.32,339.15,338.43,338.0,338.95,338.33
33,CN8,16G,2,12,853.0,941.0,1181.0,1814.0,1223.0,1398.0,1321.89,2767.6,6227.35,6213.93,6228.25,6203.31,6824.63,6846.6,6865.62,6857.21,6672.37,6774.88,6648.95,6630.79,668.64,671.78,669.27,670.37,666.9,667.09,667.86,666.9,654.67,654.29,654.09,652.77
34,CN8,16G,2,24,846.0,933.0,1427.0,1834.0,1249.0,1420.0,1333.57,2788.0,6312.0,6367.39,6189.96,6239.35,7091.15,7007.33,7086.01,7048.56,6722.2,6829.45,6714.2,6662.84,671.09,680.68,663.97,671.35,669.25,668.32,670.51,668.92,640.86,641.66,641.7,641.19
35,CN8,16G,2,48,858.0,958.0,1542.0,2667.0,1167.0,1421.0,1319.82,2753.4,6460.77,6450.94,6537.92,6412.59,7396.94,7307.36,7397.2,7358.53,7253.78,7319.95,7142.96,7086.21,679.85,680.61,684.31,680.55,667.24,662.68,661.12,668.19,646.27,650.91,651.07,645.92
36,CN8,16G,4,12,1244.0,1725.0,2946.0,7563.0,862.0,1392.0,1215.32,4988.2,10271.3,10251.78,10296.76,10231.68,10054.8,10042.43,10055.68,9900.23,10199.0,10314.19,10157.43,10168.51,1260.67,1260.27,1261.12,1255.5,1217.0,1215.85,1215.97,1200.53,1219.69,1234.57,1219.41,1219.85
37,CN8,16G,4,24,1270.0,1778.0,4771.0,12459.0,824.0,1374.0,1185.91,4893.0,10321.7,10297.8,10248.79,10282.64,10321.8,10315.38,10379.8,10337.94,9919.08,9906.81,9809.64,9862.8,1260.83,1264.57,1253.1,1259.56,1238.36,1243.68,1252.58,1244.31,1200.11,1193.13,1185.61,1192.69
38,CN8,16G,4,48,1286.0,1797.0,3215.0,103521.0,712.0,1344.0,1160.68,4725.6,9778.47,9759.6,9750.42,9739.28,9900.26,9812.91,9862.97,9842.8,9788.43,9777.76,9802.81,9804.08,1193.28,1193.75,1189.68,1189.92,1171.43,1163.79,1167.63,1170.59,1168.51,1166.35,1169.26,1169.27
39,CN8,16G,8,12,8192.0,19058.0,46190.0,92380.0,264.0,1364.0,574.03,4479.8,10321.92,10637.98,10540.11,10390.23,10585.07,10421.76,10384.02,10535.51,10414.16,10225.64,10182.14,10310.05,1267.33,1305.35,1291.58,1275.76,1264.47,1240.83,1231.11,1256.03,1251.72,1220.36,1220.91,1242.41
40,CN8,16G,8,24,6770.0,17747.0,49860.0,267911.0,210.0,1090.0,483.74,4801.0,10854.86,10821.86,10913.11,10876.15,11224.36,11282.55,11173.17,11244.45,11230.13,11214.34,11218.58,11216.08,1331.37,1328.21,1340.01,1335.57,1341.59,1347.89,1335.52,1343.07,1343.95,1338.03,1343.8,1343.63
41,CN8,16G,8,48,5077.0,17655.0,67948.0,373713.0,126.0,540.0,231.49,4769.0,10689.21,10711.9,10686.99,10599.1,11243.25,11279.79,11212.37,11295.12,11059.82,11050.96,11059.62,11006.11,1308.81,1311.91,1308.4,1296.99,1320.28,1318.97,1315.72,1322.0,1299.1,1299.1,1301.18,1294.54
42,CN8,16G,16,12,14641.0,30986.0,375181.0,853960.0,0.0,0.0,0.0,4858.8,11314.52,11289.91,11126.02,11226.02,11476.0,11617.34,11468.5,11463.41,11655.87,11361.29,11482.78,11696.64,1389.7,1385.37,1364.31,1377.22,1367.2,1387.98,1370.62,1370.9,1396.83,1351.23,1367.67,1401.31
43,CN8,16G,16,24,16935.0,36438.0,350749.0,881643.0,0.0,0.0,0.0,4633.2,11113.7,11235.21,11219.96,11211.87,11538.01,11535.8,11539.83,11509.71,11450.79,11480.81,11474.84,11462.94,1361.91,1375.13,1374.36,1374.28,1359.43,1356.09,1355.94,1355.42,1350.5,1354.46,1354.29,1349.85
44,CN8,16G,16,48,13789.0,33896.0,457389.0,866124.0,0.0,0.0,0.0,4637.6,11316.12,11279.54,11321.27,11271.54,11894.62,11974.53,11984.13,11987.26,11957.16,11888.62,12010.47,11873.0,1379.19,1373.95,1379.14,1374.14,1365.09,1369.0,1370.97,1366.03,1362.65,1362.05,1365.88,1366.59
45,CN8,32G,1,12,776.0,838.0,1142.0,1804.0,1260.0,1467.0,1398.79,1467.2,3633.71,3647.8,3618.88,3616.01,3973.79,4011.09,3978.84,3979.44,3964.04,3993.2,3965.87,3891.15,387.32,387.37,387.99,387.1,386.09,387.1,386.3,385.95,383.86,385.29,382.59,382.8
46,CN8,32G,1,24,789.0,850.0,1208.0,1856.0,1267.0,1447.0,1381.61,1448.8,3632.65,3643.01,3642.08,3641.87,4021.09,4020.18,3982.6,4021.08,4020.26,4081.7,4018.5,4000.58,388.38,389.61,388.99,388.96,384.58,384.02,384.11,384.62,386.89,388.94,386.87,386.39
