,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm2_nvme0_io,pm2_nvme1_io,pm2_nvme2_io,pm2_nvme3_io,pm3_nvme0_io,pm3_nvme1_io,pm3_nvme2_io,pm3_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write,pm2_nvme0_write,pm2_nvme1_write,pm2_nvme2_write,pm2_nvme3_write,pm3_nvme0_write,pm3_nvme1_write,pm3_nvme2_write,pm3_nvme3_write
0,CN9,4G,1,12,904.0,1231.0,1745.0,1915.0,1273.0,1420.0,1359.12,1434.6,1875.45,1875.18,1889.31,1894.06,1883.95,1893.98,1923.76,1895.28,1571.19,1573.1,1593.87,1587.14,204.88,205.01,204.96,205.29,204.81,205.06,205.68,205.09,170.0,169.62,170.23,170.2
1,CN9,4G,2,12,884.0,1071.0,1670.0,1925.0,1201.0,1421.0,1331.05,2765.2,4141.18,4088.39,4077.74,4071.58,4034.77,3964.02,3999.89,4034.43,3541.04,3518.88,3533.16,3518.47,444.13,446.15,444.76,441.38,431.96,431.94,431.5,432.93,382.31,379.49,380.33,379.47
2,CN9,4G,4,12,1062.0,1348.0,2058.0,4014.0,1134.0,1312.0,1239.62,5118.0,6802.22,6768.65,6791.83,6819.32,5907.98,5892.03,5942.54,5961.74,5881.73,5893.56,5871.85,5865.51,810.31,809.1,809.77,809.58,702.76,704.89,705.04,705.26,704.0,704.72,705.06,703.13
3,CN9,4G,8,12,1250.0,25205.0,31038.0,35783.0,367.0,1288.0,760.69,6091.4,8702.98,8751.66,8533.33,8730.15,8739.77,8861.35,8863.83,8806.39,8770.46,8754.15,8786.26,8789.36,1039.17,1046.53,1018.58,1036.85,1048.8,1054.92,1059.37,1049.18,1060.4,1057.59,1060.72,1057.03
4,CN9,4G,16,12,22571.0,44407.0,67319.0,98881.0,121.0,1140.0,310.68,4805.4,9791.7,9729.27,9815.29,9820.21,9760.73,9709.23,9800.39,9740.71,9644.91,9837.27,9583.09,9616.51,1185.91,1179.39,1191.41,1190.21,1188.69,1174.98,1192.59,1185.7,1176.98,1199.05,1166.3,1169.95
5,CN9,8G,1,12,797.0,1028.0,1637.0,1946.0,1312.0,1493.0,1405.38,1471.8,2706.21,2668.88,2720.44,2702.55,2656.36,2725.13,2730.53,2675.19,2635.22,2639.13,2644.33,2658.86,288.55,286.97,289.57,288.06,286.33,288.13,289.11,287.84,282.08,282.64,282.61,282.57
6,CN9,8G,2,12,869.0,1016.0,1555.0,1817.0,1215.0,1438.0,1334.14,2768.0,5424.36,5396.13,5415.36,5552.94,5315.28,5330.48,5240.77,5323.31,4856.01,4919.37,4942.13,4989.6,578.98,578.16,578.16,577.62,566.65,565.9,565.87,566.22,522.71,524.12,526.15,525.22
7,CN9,8G,4,12,1068.0,1378.0,4253.0,6311.0,1061.0,1314.0,1226.56,5049.8,8510.38,8561.25,8448.46,8539.47,8669.23,8573.47,8726.24,8838.7,8175.63,8155.29,8229.96,8273.62,1018.61,1023.63,1015.34,1012.8,1041.2,1024.84,1040.36,1051.67,996.58,985.15,997.07,998.34
8,CN9,8G,8,12,4470.0,22099.0,31143.0,43464.0,395.0,1289.0,614.88,5055.6,9583.42,9722.39,9628.15,9659.49,9471.22,9433.89,9464.16,9511.26,9515.54,9616.57,9630.12,9491.27,1156.12,1170.59,1162.71,1163.44,1139.43,1132.88,1137.35,1139.68,1164.56,1170.05,1171.03,1162.81
9,CN9,8G,16,12,24825.0,43883.0,72457.0,103704.0,118.0,903.0,227.16,4540.8,10363.46,10145.99,10230.13,10079.52,10176.25,10199.27,10170.81,10253.02,10121.52,10144.64,10095.1,9965.46,1264.76,1237.91,1252.35,1232.25,1241.63,1245.69,1242.1,1253.05,1241.52,1242.15,1238.14,1222.62
