,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm2_nvme0_io,pm2_nvme1_io,pm2_nvme2_io,pm2_nvme3_io,pm3_nvme0_io,pm3_nvme1_io,pm3_nvme2_io,pm3_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write,pm2_nvme0_write,pm2_nvme1_write,pm2_nvme2_write,pm2_nvme3_write,pm3_nvme0_write,pm3_nvme1_write,pm3_nvme2_write,pm3_nvme3_write
0,CN10,4G,1,12,817.0,1098.0,1820.0,3392.0,1314.0,1510.0,1434.8,1512.4,2065.42,1971.24,1851.98,1988.27,1853.94,1966.13,1978.04,1976.14,1909.38,1976.9,1906.38,1885.65,221.3,211.15,199.72,210.8,199.55,210.34,210.65,210.07,203.61,212.29,203.56,203.63
1,CN10,4G,2,12,871.0,1062.0,1702.0,2035.0,1256.0,1427.0,1357.12,2831.4,4019.65,4059.1,4037.96,4052.57,4044.74,3969.1,4063.42,4233.21,3585.56,3554.03,3547.43,3491.93,433.56,435.82,434.27,434.86,434.17,423.35,434.64,456.29,384.15,385.04,385.41,375.41
2,CN10,4G,4,12,1037.0,1299.0,1775.0,2431.0,1162.0,1333.0,1267.61,5205.0,7179.15,7213.77,7255.83,7089.01,6666.21,6682.0,6541.23,6639.5,6238.69,6227.4,6199.98,6201.16,864.58,864.96,865.23,851.44,777.0,768.4,766.55,767.68,747.23,747.36,746.95,745.72
3,CN10,4G,8,12,1439.0,23724.0,31169.0,38142.0,360.0,1320.0,746.98,5962.4,8775.31,8814.91,8778.31,8798.8,8525.09,8535.09,8548.65,8597.45,8547.57,8730.09,8827.79,8611.48,1055.32,1053.24,1056.26,1054.71,1024.55,1028.3,1028.87,1036.64,1032.82,1048.85,1066.27,1041.35
4,CN10,4G,16,12,25454.0,47763.0,73663.0,108842.0,118.0,1142.0,301.28,4723.2,9768.86,9846.53,9795.88,9846.34,9755.77,9708.59,9724.56,9658.81,9774.03,9724.73,9752.96,9713.69,1179.02,1188.63,1188.52,1191.3,1174.13,1168.09,1171.32,1167.73,1187.71,1176.1,1181.92,1179.89
5,CN10,8G,1,12,794.0,1016.0,1666.0,2173.0,1296.0,1543.0,1450.91,1522.6,2745.4,2744.08,2734.83,2716.8,2717.35,2699.41,2723.55,2706.28,2722.09,2717.87,2758.75,2746.16,291.91,292.27,291.77,291.57,291.53,292.06,291.04,292.11,291.1,291.84,292.29,293.57
6,CN10,8G,2,12,828.0,986.0,1578.0,1903.0,1280.0,1508.0,1396.05,2914.2,5339.76,5309.94,5319.42,5498.36,5289.21,5311.48,5360.26,5294.38,5238.58,5248.73,5386.93,5213.43,569.02,568.25,569.52,568.66,568.3,568.38,567.62,567.22,558.34,555.77,558.39,556.56
7,CN10,8G,4,12,1041.0,1981.0,8023.0,14508.0,991.0,1337.0,1225.5,5073.0,9080.14,8931.02,8920.27,8994.9,8507.84,8561.59,8561.49,8681.05,8318.5,8471.6,8560.05,8380.39,1084.2,1060.9,1061.15,1058.18,1011.28,1021.05,1020.48,1031.2,1008.61,1023.37,1035.01,1011.18
8,CN10,8G,8,12,5508.0,22938.0,31693.0,48366.0,373.0,1332.0,588.48,4819.6,9274.31,9305.37,9460.07,9583.46,9471.27,9618.59,9524.07,9478.23,9504.98,9421.98,9404.64,9505.5,1114.7,1120.99,1141.41,1146.49,1138.51,1158.78,1150.36,1138.29,1149.11,1137.27,1135.23,1148.41
9,CN10,8G,16,12,24091.0,44093.0,68053.0,95106.0,107.0,953.0,221.56,4418.8,10334.57,10303.07,10274.27,10409.71,10282.69,10409.3,10400.94,10285.62,10370.77,10281.73,10257.11,10352.36,1260.27,1256.9,1250.44,1261.08,1256.26,1268.64,1270.15,1256.17,1268.9,1254.44,1256.86,1265.28
10,CN10,16G,1,12,764.0,919.0,1319.0,1955.0,1313.0,1543.0,1458.66,1530.8,3556.09,3611.89,3546.03,3571.34,3435.84,3476.61,3474.22,3468.98,3374.98,3373.58,3378.08,3373.9,381.76,382.49,381.55,383.18,370.6,370.77,371.03,370.31,361.26,362.08,362.01,361.2
11,CN10,16G,2,12,814.0,932.0,1204.0,1834.0,1293.0,1500.0,1400.85,2930.4,6506.44,6546.93,6485.35,6681.17,6606.49,6335.0,6488.96,6494.96,6377.95,6426.6,6402.9,6249.25,696.1,696.46,695.24,712.44,711.4,677.21,694.75,696.31,686.44,687.4,687.11,668.54
12,CN10,16G,4,12,1339.0,2828.0,5616.0,8366.0,727.0,1333.0,1134.14,4700.2,9776.03,9638.87,9683.86,9716.3,9543.72,9428.63,9598.77,9591.32,9425.71,9364.13,9440.23,9333.47,1183.63,1165.56,1178.71,1180.53,1159.0,1143.97,1163.01,1158.72,1155.79,1142.31,1156.65,1142.51
13,CN10,16G,8,12,9555.0,22413.0,37172.0,54369.0,286.0,1336.0,535.51,4268.0,9870.24,9913.02,9925.13,9773.95,9647.56,9819.89,9819.91,9866.61,9856.07,9746.5,9760.45,9646.0,1206.6,1212.26,1212.96,1193.39,1177.81,1198.81,1199.69,1206.19,1206.98,1193.3,1198.97,1184.31
