,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm2_nvme0_io,pm2_nvme1_io,pm2_nvme2_io,pm2_nvme3_io,pm3_nvme0_io,pm3_nvme1_io,pm3_nvme2_io,pm3_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write,pm2_nvme0_write,pm2_nvme1_write,pm2_nvme2_write,pm2_nvme3_write,pm3_nvme0_write,pm3_nvme1_write,pm3_nvme2_write,pm3_nvme3_write
0,CN7,4G,1,12,843.0,1129.0,1902.0,2007.0,1274.0,1504.0,1409.72,1486.4,2133.24,2103.9,2099.17,2107.97,2130.59,2085.79,2128.38,2078.33,2077.5,2029.68,2053.19,2046.5,226.12,226.03,225.98,225.69,226.44,225.39,226.55,226.51,219.64,219.91,219.3,219.35
1,CN7,4G,2,12,841.0,1051.0,1834.0,2461.0,1261.0,1438.0,1378.19,2859.2,4128.01,4117.36,4162.98,4112.51,4125.3,4141.51,4128.86,4092.59,3647.14,3614.4,3681.37,3679.54,439.84,438.24,441.96,439.41,436.6,441.92,438.73,439.42,389.74,388.78,390.77,388.9
2,CN7,4G,4,12,985.0,1188.0,1771.0,2235.0,1184.0,1358.0,1283.49,5298.6,7056.16,7049.02,7030.62,7042.72,6644.94,6760.68,6643.58,6695.43,6105.68,6139.46,6108.53,6116.55,833.65,841.95,843.84,843.35,770.8,774.08,772.93,772.13,730.63,739.59,730.18,731.53
3,CN7,4G,8,12,1129.0,23865.0,32611.0,33397.0,398.0,1324.0,858.39,6883.0,8560.57,8672.92,8602.17,8546.96,8605.77,8882.58,8543.8,8730.21,8885.29,8722.68,8817.07,8954.05,1028.38,1046.35,1034.4,1027.86,1033.23,1062.25,1026.01,1040.06,1066.78,1049.61,1060.62,1073.82
4,CN7,4G,16,12,28862.0,33764.0,47973.0,69416.0,209.0,1153.0,335.63,5495.0,9958.01,10004.76,9935.09,10077.29,9993.58,10112.94,10204.7,10053.88,10129.86,10147.05,10165.22,10139.98,1214.19,1217.54,1210.16,1227.97,1221.47,1233.72,1243.33,1228.88,1233.28,1237.31,1234.06,1237.24
5,CN7,8G,1,12,776.0,985.0,1775.0,1984.0,1327.0,1520.0,1443.89,1515.6,2818.62,2787.54,2843.56,2805.25,2859.19,2829.8,2768.2,2796.6,2759.75,2751.29,2759.58,2775.58,299.46,297.75,300.3,298.34,298.45,298.58,298.04,299.02,293.1,293.6,292.66,294.01
6,CN7,8G,2,12,848.0,1008.0,1630.0,1976.0,1248.0,1459.0,1366.72,2838.0,5567.54,5546.04,5615.04,5464.71,5657.95,5724.36,5533.53,5547.45,5077.91,5026.46,5019.3,5049.26,594.13,594.45,595.27,579.38,594.76,607.93,592.86,594.4,537.64,538.64,535.4,538.39
7,CN7,8G,4,12,981.0,1168.0,1758.0,2502.0,1192.0,1364.0,1296.33,5334.8,8912.15,8894.04,8895.8,8847.11,8594.68,8580.74,8602.08,8416.89,8765.93,8581.48,8614.68,8624.05,1070.43,1074.84,1072.98,1063.54,1032.33,1030.33,1041.73,1013.79,1045.2,1040.07,1041.72,1041.95
8,CN7,8G,8,12,5217.0,20683.0,33030.0,45875.0,375.0,1334.0,639.1,5283.2,9565.6,9550.54,9572.98,9480.16,9316.34,9418.37,9309.04,9207.1,9289.73,9162.51,9290.64,9123.37,1163.69,1163.89,1171.19,1156.86,1122.91,1131.07,1121.14,1111.88,1130.43,1117.02,1131.17,1116.36
9,CN7,8G,16,12,18638.0,36858.0,64645.0,94896.0,184.0,1176.0,290.21,4836.4,10367.03,10187.8,10219.11,10159.64,9849.75,9970.54,9947.14,10098.96,9981.01,9955.26,10048.38,9961.64,1267.6,1247.52,1244.86,1243.51,1203.28,1218.32,1217.73,1237.29,1216.9,1219.01,1230.36,1218.8
10,CN7,16G,1,12,764.0,918.0,1381.0,1922.0,1268.0,1535.0,1452.17,1523.0,3649.5,3575.35,3385.42,3583.18,3656.63,3440.1,3283.04,3430.12,3386.38,3546.11,3400.5,3319.23,381.61,381.34,361.06,381.53,384.12,366.18,347.18,367.11,357.1,375.74,358.27,357.75
11,CN7,16G,2,12,818.0,943.0,1306.0,1860.0,1242.0,1475.0,1391.12,2907.6,6934.67,6895.47,7022.4,6837.23,6627.42,6446.89,6474.59,6593.72,6484.72,6478.97,6525.32,6506.56,723.86,740.18,744.27,724.27,704.05,687.29,686.73,706.11,688.98,689.1,687.92,689.52
